ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1957-01-01,1957-02-01,1,3.3310445338931998,3.12102437557953
1957-01-01,1957-03-01,2,3.4262122387590512,3.1078112873726638
1957-01-01,1957-04-01,3,3.456384128402493,3.1102562614320965
1957-01-01,1957-05-01,4,3.4475477136209256,3.0884544954305455
1957-01-01,1957-06-01,5,3.413349883132402,3.3101087367492994
1957-01-01,1957-07-01,6,3.364805255045635,3.214261592769625
1957-01-01,1957-08-01,7,3.307355138791095,3.4438208399579406
1957-01-01,1957-09-01,8,3.243695378392091,3.5890341939687804
1957-01-01,1957-10-01,9,3.1748404491581983,3.6115723235912616
1957-01-01,1957-11-01,10,3.1043474106491495,3.3227845120957595
1957-01-01,1957-12-01,11,3.0288918987763913,3.076807308661037
1957-01-01,1958-01-01,12,2.954123938142245,2.457156169185834
1957-01-01,1958-02-01,13,2.8973431722161025,1.48601320099466
1957-01-01,1958-03-01,14,2.8652748697859605,1.2647391408250923
1957-01-01,1958-04-01,15,2.8468399820843864,1.0375402329037384
1957-01-01,1958-05-01,16,2.835479791238764,0.8395235172348259
1957-01-01,1958-06-01,17,2.8277724544701317,0.7313258437084641
1957-01-01,1958-07-01,18,2.821956575457432,0.8713643777835417
1957-01-01,1958-08-01,19,2.8171269125502167,1.718407725390184
1957-01-01,1958-09-01,20,2.8128183536967755,2.4512910861321773
1957-01-01,1958-10-01,21,2.8087919671064165,2.629643412300532
1957-01-01,1958-11-01,22,2.804925046955001,2.651505603922397
1957-01-01,1958-12-01,23,2.8011546093257382,2.7755604125481788
1957-01-01,1959-01-01,24,2.7974483558138834,2.808166404098005
1957-01-01,1959-02-01,25,2.793789752310629,2.7506661461652198
1957-01-01,1959-03-01,26,2.7901703613313504,2.8503660107621673
1957-01-01,1959-04-01,27,2.7865859018129573,3.0038477328256064
1957-01-01,1959-05-01,28,2.78303422439204,2.9390410101001394
1957-01-01,1959-06-01,29,2.7795142710145337,3.2378921883853127
1957-01-01,1959-07-01,30,2.776025540375503,3.3048730529846475
1957-01-01,1959-08-01,31,2.7725678132954488,3.4742437643026034
1957-01-01,1959-09-01,32,2.7691410116726867,4.145324161652425
1957-01-01,1959-10-01,33,2.7657451260773174,4.129795620762581
1957-01-01,1959-11-01,34,2.762380178618126,4.205422917452544
1957-01-01,1959-12-01,35,2.7590462039347616,4.541259846090649
1957-01-01,1960-01-01,36,2.7557432395033863,4.422034898128353
1957-01-01,1960-02-01,37,2.7524713207275155,4.018914690965707
1957-01-01,1960-03-01,38,2.749230478487065,3.356440671754769
1957-01-01,1960-04-01,39,2.7460207379497863,3.301053665706216
1957-01-01,1960-05-01,40,2.7428421180306186,3.358280222207846
1957-01-01,1960-06-01,41,2.739694631183154,2.4809475517962047
1957-01-01,1960-07-01,42,2.7365782833609726,2.360015203576396
1957-01-01,1960-08-01,43,2.7334930740654295,2.32958079464887
1957-01-01,1960-09-01,44,2.730438996437081,2.519458350546073
1957-01-01,1960-10-01,45,2.727416037368702,2.3326808879303655
1957-01-01,1960-11-01,46,2.7244241776286127,2.394083481079871
1957-01-01,1960-12-01,47,2.721463391988481,2.2586631265519648
1957-01-01,1961-01-01,48,2.7185336493526404,2.2407370522375594
1957-01-01,1961-02-01,49,2.715634912887373,2.414874702828598
1957-01-01,1961-03-01,50,2.712767140149413,2.3930901440041317
1957-01-01,1961-04-01,51,2.7099302832132106,2.3164756611598705
1957-01-01,1961-05-01,52,2.7071242887968348,2.331018355152095
1957-01-01,1961-06-01,53,2.7043490983863365,2.3421338869545765
1957-01-01,1961-07-01,54,2.701604648358597,2.2321447634292846
1957-01-01,1961-08-01,55,2.6988908701025824,2.3785790497025094
1957-01-01,1961-09-01,56,2.6962076901390453,2.2854214356453024
1957-01-01,1961-10-01,57,2.6935550302386413,2.320592716135237
1957-01-01,1961-11-01,58,2.6909328075384864,2.486323007428377
1957-01-01,1961-12-01,59,2.6883409346571576,2.6102951357217066
1957-01-01,1962-01-01,60,2.685779319808146,2.737248862047774
1957-02-01,1957-03-01,1,3.246197152038648,3.1078112873726638
1957-02-01,1957-04-01,2,3.311835182668488,3.1102562614320965
1957-02-01,1957-05-01,3,3.33313736065905,3.0884544954305455
1957-02-01,1957-06-01,4,3.3203393637753122,3.3101087367492994
1957-02-01,1957-07-01,5,3.2822631398298197,3.214261592769625
1957-02-01,1957-08-01,6,3.226878926310509,3.4438208399579406
1957-02-01,1957-09-01,7,3.1597591054231775,3.5890341939687804
1957-02-01,1957-10-01,8,3.083136270203665,3.6115723235912616
1957-02-01,1957-11-01,9,3.0011342462153543,3.3227845120957595
1957-02-01,1957-12-01,10,2.9155435305403037,3.076807308661037
1957-02-01,1958-01-01,11,2.8312633308823556,2.457156169185834
1957-02-01,1958-02-01,12,2.7486825204259424,1.48601320099466
1957-02-01,1958-03-01,13,2.690314192514932,1.2647391408250923
1957-02-01,1958-04-01,14,2.6496459513991124,1.0375402329037384
1957-02-01,1958-05-01,15,2.62100441104124,0.8395235172348259
