execution_date,forecast_date,horizon,prediction,actual
1998-10-01,1998-11-01,1,3.686857950130532,3.6581194413221825
1998-10-01,1998-12-01,2,3.736755993387378,3.278280512632537
1998-10-01,1999-01-01,3,3.7853771407227406,3.091893457707997
1998-10-01,1999-02-01,4,3.8327235853003114,3.1175131149448525
1998-10-01,1999-03-01,5,3.878699372404579,3.0137693721983263
1998-10-01,1999-04-01,6,3.9230742320581795,2.637924667605538
1998-10-01,1999-05-01,7,3.9659422382757046,2.623479893110234
1998-10-01,1999-06-01,8,4.007431746748731,2.7137656521465265
1998-10-01,1999-07-01,9,4.04774486148413,2.745094959815439
1998-10-01,1999-08-01,10,4.086854348863775,2.8162513356107013
1998-10-01,1999-09-01,11,4.124750931783544,3.0513724988099016
1998-10-01,1999-10-01,12,4.16121991068921,3.449302387776054
1998-10-01,1999-11-01,13,4.196458952833316,3.4070283889776207
1998-10-01,1999-12-01,14,4.230511453527151,3.3391584054037793
1998-10-01,2000-01-01,15,,3.50195101422322
1998-10-01,2000-02-01,16,,3.637151098520409
1998-10-01,2000-03-01,17,,3.888772545377716
1998-10-01,2000-04-01,18,,4.151618481037665
1998-10-01,2000-05-01,19,,4.512279675233575
1998-10-01,2000-06-01,20,,4.642085655936866
1998-10-01,2000-07-01,21,,4.743788326337463
1998-10-01,2000-08-01,22,,4.959271028766413
1998-10-01,2000-09-01,23,,5.047046624344963
1998-10-01,2000-10-01,24,,5.194093785662202
1998-10-01,2000-11-01,25,,5.129625663664621
1998-10-01,2000-12-01,26,,4.957075055207099
1998-10-01,2001-01-01,27,,4.775892787080896
1998-10-01,2001-02-01,28,,4.811094438105258
1998-10-01,2001-03-01,29,,4.5789896619704775
1998-10-01,2001-04-01,30,,4.839470190050381
1998-10-01,2001-05-01,31,,4.544154598183099
1998-10-01,2001-06-01,32,,4.468739225886149
1998-10-01,2001-07-01,33,,4.456860464790332
1998-10-01,2001-08-01,34,,4.2751235512161765
1998-10-01,2001-09-01,35,,3.6678387008259756
1998-10-01,2001-10-01,36,,3.4962471501822563
1998-10-01,2001-11-01,37,,3.3123045420942456
1998-10-01,2001-12-01,38,,3.25596707392431
1998-10-01,2002-01-01,39,,3.337108062401379
1998-10-01,2002-02-01,40,,3.344291458315668
1998-10-01,2002-03-01,41,,3.440191104222125
1998-10-01,2002-04-01,42,,3.3801489257454382
1998-10-01,2002-05-01,43,,3.507318382185688
1998-10-01,2002-06-01,44,,3.4666105725062577
1998-10-01,2002-07-01,45,,3.399327354824735
1998-10-01,2002-08-01,46,,3.3801448745565357
1998-10-01,2002-09-01,47,,3.2986247829953994
1998-10-01,2002-10-01,48,,3.2636934824267256
1998-10-01,2002-11-01,49,,2.9772766425271646
1998-10-01,2002-12-01,50,,2.8442811101704084
1998-10-01,2003-01-01,51,,2.749223602642712
1998-10-01,2003-02-01,52,,2.4776165694227417
1998-10-01,2003-03-01,53,,2.453804512896777
1998-10-01,2003-04-01,54,,2.4742705494171937
1998-10-01,2003-05-01,55,,2.2243838744859668
1998-10-01,2003-06-01,56,,2.074322952193683
1998-10-01,2003-07-01,57,,2.0892505333694396
1998-10-01,2003-08-01,58,,2.129365620517237
1998-10-01,2003-09-01,59,,2.0816207261006805
1998-10-01,2003-10-01,60,,2.131125113091355
1998-09-01,1998-10-01,1,3.6546256942714446,3.635405244269255
1998-09-01,1998-11-01,2,3.705798811375252,3.6581194413221825
1998-09-01,1998-12-01,3,3.7554413076202318,3.278280512632537
1998-09-01,1999-01-01,4,3.803922642087927,3.091893457707997
1998-09-01,1999-02-01,5,3.8512128410897013,3.1175131149448525
1998-09-01,1999-03-01,6,3.897197519647357,3.0137693721983263
1998-09-01,1999-04-01,7,3.9416170163643187,2.637924667605538
1998-09-01,1999-05-01,8,3.984557029271022,2.623479893110234
1998-09-01,1999-06-01,9,4.026145788527842,2.7137656521465265
1998-09-01,1999-07-01,10,4.06655760759273,2.745094959815439
1998-09-01,1999-08-01,11,4.105649896343278,2.8162513356107013
1998-09-01,1999-09-01,12,4.143155597491504,3.0513724988099016
1998-09-01,1999-10-01,13,4.179450391473286,3.449302387776054
1998-09-01,1999-11-01,14,4.214577245120566,3.4070283889776207
1998-09-01,1999-12-01,15,4.248577601373692,3.3391584054037793
1998-09-01,2000-01-01,16,,3.50195101422322
1998-09-01,2000-02-01,17,,3.637151098520409
1998-09-01,2000-03-01,18,,3.888772545377716
1998-09-01,2000-04-01,19,,4.151618481037665
1998-09-01,2000-05-01,20,,4.512279675233575
1998-09-01,2000-06-01,21,,4.642085655936866
1998-09-01,2000-07-01,22,,4.743788326337463
1998-09-01,2000-08-01,23,,4.959271028766413
1998-09-01,2000-09-01,24,,5.047046624344963
1998-09-01,2000-10-01,25,,5.194093785662202
1998-09-01,2000-11-01,26,,5.129625663664621
1998-09-01,2000-12-01,27,,4.957075055207099
1998-09-01,2001-01-01,28,,4.775892787080896
1998-09-01,2001-02-01,29,,4.811094438105258
1998-09-01,2001-03-01,30,,4.5789896619704775
