execution_date,forecast_date,horizon,prediction,actual
1998-09-01,1998-10-01,1,0.8219182894752894,1.2604985552879926
1998-09-01,1998-11-01,2,0.8065007657309435,0.9920959948826761
1998-09-01,1998-12-01,3,0.7920181506756162,1.2578936554178932
1998-09-01,1999-01-01,4,0.7791825041316837,1.2367885577204274
1998-09-01,1999-02-01,5,0.767799637608868,1.6064290416195846
1998-09-01,1999-03-01,6,0.7574811853207728,1.8796641415888227
1998-09-01,1999-04-01,7,0.7475004152642876,2.043604506104369
1998-09-01,1999-05-01,8,0.7379210616757957,2.3555906125923323
1998-09-01,1999-06-01,9,0.7289111024943661,2.6976421693777732
1998-09-01,1999-07-01,10,0.7207525850603704,2.899781917875677
1998-09-01,1999-08-01,11,0.71300389817801,2.9103460517609783
1998-09-01,1999-09-01,12,0.7049318330924873,3.047979484775932
1998-09-01,1999-10-01,13,0.6972808841773577,2.6121021758818785
1998-09-01,1999-11-01,14,0.690043521236988,2.45372321372816
1998-09-01,1999-12-01,15,0.6832123495560547,2.705326603294468
1998-09-01,2000-01-01,16,,2.709153220267231
1998-09-01,2000-02-01,17,,2.4654209484310687
1998-09-01,2000-03-01,18,,1.8144039071800022
1998-09-01,2000-04-01,19,,1.5702375163339024
1998-09-01,2000-05-01,20,,0.8228359788633732
1998-09-01,2000-06-01,21,,0.7441934931291945
1998-09-01,2000-07-01,22,,0.4665726594184975
1998-09-01,2000-08-01,23,,0.37028724947948416
1998-09-01,2000-09-01,24,,0.33659298053474457
1998-09-01,2000-10-01,25,,0.15792993560525945
1998-09-01,2000-11-01,26,,0.059688893533062386
1998-09-01,2000-12-01,27,,0.3303022322026319
1998-09-01,2001-01-01,28,,0.4388326347455448
1998-09-01,2001-02-01,29,,0.3448441439861277
1998-09-01,2001-03-01,30,,0.6418957314762692
1998-09-01,2001-04-01,31,,0.558751365761502
1998-09-01,2001-05-01,32,,1.2612338744298563
1998-09-01,2001-06-01,33,,1.3154779047144498
1998-09-01,2001-07-01,34,,1.0660874210723092
1998-09-01,2001-08-01,35,,1.2469865112496574
1998-09-01,2001-09-01,36,,2.1485475770666063
1998-09-01,2001-10-01,37,,1.8982387895265977
1998-09-01,2001-11-01,38,,2.1213548563531117
1998-09-01,2001-12-01,39,,2.7183952441694914
1998-09-01,2002-01-01,40,,2.1977339540221017
1998-09-01,2002-02-01,41,,2.2806369849999335
1998-09-01,2002-03-01,42,,2.2909368323176653
1998-09-01,2002-04-01,43,,2.3522487057973662
1998-09-01,2002-05-01,44,,2.1466897844366972
1998-09-01,2002-06-01,45,,2.115606924968667
1998-09-01,2002-07-01,46,,2.1267511976391353
1998-09-01,2002-08-01,47,,1.944026688782552
1998-09-01,2002-09-01,48,,1.9066522195698912
1998-09-01,2002-10-01,49,,2.307874986058894
1998-09-01,2002-11-01,50,,2.471874434207346
1998-09-01,2002-12-01,51,,2.4601408548903745
1998-09-01,2003-01-01,52,,2.1513631693696342
1998-09-01,2003-02-01,53,,2.363601027619777
1998-09-01,2003-03-01,54,,2.5406024071257582
1998-09-01,2003-04-01,55,,2.5885642382108904
1998-09-01,2003-05-01,56,,2.4527186193103505
1998-09-01,2003-06-01,57,,2.747647454132086
1998-09-01,2003-07-01,58,,3.0179341980681715
1998-09-01,2003-08-01,59,,2.8806541175459768
1998-09-01,2003-09-01,60,,2.9097639283997743
