execution_date,forecast_date,horizon,prediction,actual
1998-08-01,1998-09-01,1,-2.2795574298460166,-1.89971760054257
1998-08-01,1998-10-01,2,-2.326657288627464,-2.9837298834387207
1998-08-01,1998-11-01,3,-2.3642022540813286,-3.0406539203111014
1998-08-01,1998-12-01,4,-2.3914778447817393,-2.731556126994787
1998-08-01,1999-01-01,5,-2.40703393289157,-2.9443321593086984
1998-08-01,1999-02-01,6,-2.41338310408272,-2.685176629416115
1998-08-01,1999-03-01,7,-2.4136740987659384,-3.705584476261924
1998-08-01,1999-04-01,8,-2.411997158687981,-3.2766715895177865
1998-08-01,1999-05-01,9,-2.408456914219146,-3.2834141120742815
1998-08-01,1999-06-01,10,-2.4030312354723766,-2.6149804379151025
1998-08-01,1999-07-01,11,-2.395242695570467,-2.022175076832245
1998-08-01,1999-08-01,12,-2.3883687579433897,-2.000685307493592
1998-08-01,1999-09-01,13,-2.3809727709734902,-2.807615015902785
1998-08-01,1999-10-01,14,-2.373149753614778,-2.460876714137138
1998-08-01,1999-11-01,15,-2.3649773493166304,-1.7805932800508917
1998-08-01,1999-12-01,16,-2.356519003350192,-1.2855923991868068
1998-08-01,2000-01-01,17,,-1.0351788511273798
1998-08-01,2000-02-01,18,,-0.9263811777589045
1998-08-01,2000-03-01,19,,-0.9868687323363241
1998-08-01,2000-04-01,20,,-0.8165213050332795
1998-08-01,2000-05-01,21,,0.24611415082364163
1998-08-01,2000-06-01,22,,-0.12127495195041899
1998-08-01,2000-07-01,23,,0.6048973939862649
1998-08-01,2000-08-01,24,,0.36888940960116473
1998-08-01,2000-09-01,25,,-0.5527774066560471
1998-08-01,2000-10-01,26,,-0.6747107919500426
1998-08-01,2000-11-01,27,,-1.2450502354834416
1998-08-01,2000-12-01,28,,-2.466102140204089
1998-08-01,2001-01-01,29,,-2.204706859197849
1998-08-01,2001-02-01,30,,-2.2149617340622276
1998-08-01,2001-03-01,31,,-2.691750829628417
1998-08-01,2001-04-01,32,,-1.7800962303896903
1998-08-01,2001-05-01,33,,-2.6657403889998155
1998-08-01,2001-06-01,34,,-2.974648618456755
1998-08-01,2001-07-01,35,,-3.0121085611742795
1998-08-01,2001-08-01,36,,-3.4661834265096054
1998-08-01,2001-09-01,37,,-4.29584439900735
1998-08-01,2001-10-01,38,,-4.365117154625673
1998-08-01,2001-11-01,39,,-3.088098818759864
1998-08-01,2001-12-01,40,,-2.9952085795548666
1998-08-01,2002-01-01,41,,-1.4425575228856309
1998-08-01,2002-02-01,42,,-1.6357273615523897
1998-08-01,2002-03-01,43,,-0.4431032423421801
1998-08-01,2002-04-01,44,,-1.2053878215301177
1998-08-01,2002-05-01,45,,-0.7032506994737011
1998-08-01,2002-06-01,46,,-1.687847428930229
1998-08-01,2002-07-01,47,,-2.6281265916369554
