execution_date,forecast_date,horizon,prediction,actual
1977-10-01,1977-11-01,1,-2.3638559014705396,-2.372636669862538
1977-10-01,1977-12-01,2,-2.0927060173466194,-1.2512256192853581
1977-10-01,1978-01-01,3,-1.945854817583892,-9.336254980656902
1977-10-01,1978-02-01,4,-1.855147473152437,-2.5844257335214023
1977-10-01,1978-03-01,5,-1.7873530697868754,-2.0458623867688868
1977-10-01,1978-04-01,6,-1.7390048185880393,-2.163112446174649
1977-10-01,1978-05-01,7,-1.6807747044312338,-9.514306707145177
1977-10-01,1978-06-01,8,-1.6182594869669082,-3.2948902085985354
1977-10-01,1978-07-01,9,-1.5787026611233739,-3.1932512358935123
1977-10-01,1978-08-01,10,-1.5387150589964687,2.095925058400277
1977-10-01,1978-09-01,11,-1.4927016312009618,1.1270288621158382
1977-10-01,1978-10-01,12,-1.4497046740684836,0.33239790848286377
1977-10-01,1978-11-01,13,-1.4222543664557938,-0.6088999142046696
1977-10-01,1978-12-01,14,-1.4113163943241487,0.9926700386219076
1977-10-01,1979-01-01,15,-1.4075145205001822,2.4481600555244207
1977-10-01,1979-02-01,16,-1.406268384355048,0.13319366702846444
1977-10-01,1979-03-01,17,-1.4058716313225397,-2.1254254302868394
1977-10-01,1979-04-01,18,-1.4057472346144244,-0.32898336930284017
1977-10-01,1979-05-01,19,-1.4057085576507822,1.1067336144415905
1977-10-01,1979-06-01,20,-1.4056965884372943,2.1762153814476846
1977-10-01,1979-07-01,21,-1.4056928941004325,3.827465560055248
1977-10-01,1979-08-01,22,-1.4056917555273558,1.2712828471484594
1977-10-01,1979-09-01,23,-1.4056914049221763,1.7443535854357757
1977-10-01,1979-10-01,24,-1.4056912970108666,-0.03702775229078005
1977-10-01,1979-11-01,25,-1.4056912638063803,-0.3302552555513179
1977-10-01,1979-12-01,26,-1.405691253590909,-0.7716723119043175
1977-10-01,1980-01-01,27,-1.4056912504483559,0.8162309659465893
1977-10-01,1980-02-01,28,-1.4056912494816691,0.57063919214272
1977-10-01,1980-03-01,29,-1.4056912491843085,1.1657170132199008
1977-10-01,1980-04-01,30,-1.4056912490928433,-1.0759106093466062
1977-10-01,1980-05-01,31,-1.4056912490647095,-1.6533604629326148
1977-10-01,1980-06-01,32,-1.4056912490560558,-1.3581270288566205
1977-10-01,1980-07-01,33,-1.4056912490533942,-1.3498431566120663
1977-10-01,1980-08-01,34,-1.4056912490525755,-1.5242438610115052
1977-10-01,1980-09-01,35,-1.4056912490523237,-2.0012933854798405
1977-10-01,1980-10-01,36,-1.4056912490522462,-1.1373893669430126
1977-10-01,1980-11-01,37,-1.4056912490522224,-1.0499346920171169
1977-10-01,1980-12-01,38,-1.4056912490522149,-0.6257651457310026
1977-10-01,1981-01-01,39,-1.4056912490522127,0.287158403212779
1977-10-01,1981-02-01,40,-1.405691249052212,-1.429603573315703
1977-10-01,1981-03-01,41,-1.4056912490522118,-3.031198698441062
1977-10-01,1981-04-01,42,-1.4056912490522118,-1.644453405382933
1977-10-01,1981-05-01,43,-1.4056912490522118,4.248370051881914
1977-10-01,1981-06-01,44,-1.4056912490522118,3.1233213053400126
1977-10-01,1981-07-01,45,-1.4056912490522118,3.0236238820576276
1977-10-01,1981-08-01,46,-1.4056912490522118,3.851440949647175
1977-10-01,1981-09-01,47,-1.4056912490522118,3.090018250188902
1977-10-01,1981-10-01,48,-1.4056912490522118,0.044266860565525985
1977-10-01,1981-11-01,49,-1.4056912490522118,-0.5346192119528282
1977-10-01,1981-12-01,50,-1.4056912490522118,-0.356175481984602
1977-10-01,1982-01-01,51,-1.4056912490522118,0.46967040258807846
1977-10-01,1982-02-01,52,-1.4056912490522118,-0.7299208357328159
1977-10-01,1982-03-01,53,-1.4056912490522118,-0.6237401565540626
1977-10-01,1982-04-01,54,-1.4056912490522118,-0.3399358485964041
1977-10-01,1982-05-01,55,-1.4056912490522118,0.23189335414741993
1977-10-01,1982-06-01,56,-1.4056912490522118,0.441571508587969
1977-10-01,1982-07-01,57,-1.4056912490522118,0.7810626396521727
1977-10-01,1982-08-01,58,-1.4056912490522118,-0.4961250385675559
1977-10-01,1982-09-01,59,-1.4056912490522118,-0.39449125219659653
1977-10-01,1982-10-01,60,-1.4056912490522118,-0.36239304791018373
1977-11-01,1977-12-01,1,-1.988531989880509,-1.2512256192853581
1977-11-01,1978-01-01,2,-1.8072795805192354,-9.336254980656902
1977-11-01,1978-02-01,3,-1.7081079757485336,-2.5844257335214023
1977-11-01,1978-03-01,4,-1.6374885521696205,-2.0458623867688868
1977-11-01,1978-04-01,5,-1.589772056523264,-2.163112446174649
1977-11-01,1978-05-01,6,-1.5343067556292547,-9.514306707145177
1977-11-01,1978-06-01,7,-1.4757390258795422,-3.2948902085985354
1977-11-01,1978-07-01,8,-1.4454610245828006,-3.1932512358935123
1977-11-01,1978-08-01,9,-1.4216338836569398,2.095925058400277
1977-11-01,1978-09-01,10,-1.3998475791834237,1.1270288621158382
1977-11-01,1978-10-01,11,-1.396783080284753,0.33239790848286377
1977-11-01,1978-11-01,12,-1.3994242545161266,-0.6088999142046696
1977-11-01,1978-12-01,13,-1.4112326113002511,0.9926700386219076
1977-11-01,1979-01-01,14,-1.4167868182888343,2.4481600555244207
1977-11-01,1979-02-01,15,-1.4188308478078837,0.13319366702846444
1977-11-01,1979-03-01,16,-1.419518061240474,-2.1254254302868394
1977-11-01,1979-04-01,17,-1.4197396010447543,-0.32898336930284017
1977-11-01,1979-05-01,18,-1.4198094987793346,1.1067336144415905
1977-11-01,1979-06-01,19,-1.4198312983006642,2.1762153814476846
1977-11-01,1979-07-01,20,-1.4198380537977564,3.827465560055248
1977-11-01,1979-08-01,21,-1.4198401398064038,1.2712828471484594
