Actuals,Predictions
0.20856533476979355,-2.298196699054704
0.6948229372608493,-2.3044030646160687
-0.3420663504547476,-2.298152144066991
0.33443911961829925,-2.3224858364069196
-0.7190792343337685,-2.294546199274685
-2.2392930580482684,-2.2968445701839855
-2.4183519802635636,-2.313573372829704
-3.6890670842567346,-2.3480427597836764
-3.005553374157733,-2.323222289218489
-4.508675659394366,-2.3494384283870953
-3.6448754937152907,-2.3293882792364307
-3.1057805015352957,-2.365850828302265
-3.5514894622190356,-2.356331074302682
-3.5889722599680622,-2.3422333738392402
-3.8822139855372417,-2.359635474442491
-3.139439911177128,-2.356215829874291
-3.3445131874025145,-2.369000268931096
-3.092962508588278,-2.3518481338623185
-4.6875339998858205,-2.357309961880491
-3.2171904553863797,-2.3484554286182404
-2.818679161843078,-2.353979725863754
-4.768750830160618,-2.352600685690682
-3.496824256789613,-2.356573852572046
-5.043557898559811,-2.365830317651405
-3.544012593594692,-2.3413369749156896
-4.5790409503906115,-2.3530714261418773
-4.000232105238769,-2.3561019517138204
-3.668959818353206,-2.3427750132373877
-5.339046140117779,-2.373209021145263
-5.724013135330812,-2.346129546578186
-2.0155687696025715,-2.301893514645994
-5.164401422732723,-2.3320804593733864
-2.9262535603310247,-2.3146676735544647
-2.646081146986724,-2.287667863134617
-3.39826189690849,-2.3158624715083067
-4.709848421647321,-2.353850707427144
-3.222646841838572,-2.2634840304848995
-2.380618783165899,-2.313618596461131
-2.967832315219982,-2.2689947299837123
-3.498288979294905,-2.2459367941419854
-4.0167292046068015,-2.2338304017041906
-4.456455576432772,-2.258489550353462
-5.09569212463453,-2.2327873240056575
-5.021842881955485,-2.2105577251651645
-4.713482447759677,-2.2167481937017586
-4.532801142155202,-2.191036644517437
-4.649188552629088,-2.1996550301475977
-4.6625835742597355,-2.208222115003139
-3.7176259322056175,-2.1592944551107154
-4.303149284486394,-2.14601353362882
-3.9922502299350153,-2.1602335318330304
-3.42826180687458,-2.153396517862979
-4.329708498682799,-2.1417330474971945
-4.323098676182132,-2.1612420355347837
-4.121993023955489,-2.158646939666875
-3.7750078574110915,-2.1739685177850245
-4.009723221902285,-2.1749086620983302
-3.6172544100315336,-2.161951193112988
-4.304254491066673,-2.186599864459356
-4.084962073128809,-2.139516365952188
-4.153135548409862,-2.10351507959447
-4.035451987805614,-2.0961898316242085
-4.3963575878591445,-2.099399672271703
-4.120908065028426,-2.1097971936981468
-4.333758833654635,-2.109976699070722
-4.460932583715236,-2.120521352956454
-4.655581502437906,-2.165066328432083
-4.35904541802488,-2.1675735690256173
-4.691131588629346,-2.1362263494023686
-4.081588469408327,-2.1618434347798474
-4.86282560280383,-2.155142942996795
-3.778841645753525,-2.168660136793844
-3.4272768666315416,-2.20939442340195
-2.8077489067765216,-2.1961130658604775
-3.66337143304613,-2.2186776650712337
-3.8167168061139383,-2.222611862700706
