ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1998-10-01,1998-11-01,1,3.6869113610073208,3.6581194413221825
1998-10-01,1998-12-01,2,3.7368596318221727,3.278280512632537
1998-10-01,1999-01-01,3,3.785527657654513,3.091893457707997
1998-10-01,1999-02-01,4,3.8329180228147695,3.1175131149448525
1998-10-01,1999-03-01,5,3.8789371290648913,3.0137693721983263
1998-10-01,1999-04-01,6,3.9233534517122104,2.6379246676055375
1998-10-01,1999-05-01,7,3.966263432789644,2.623479893110234
1998-10-01,1999-06-01,8,4.007792816769359,2.7137656521465265
1998-10-01,1999-07-01,9,4.048146695990914,2.745094959815439
1998-10-01,1999-08-01,10,4.087297342486625,2.8162513356107013
1998-10-01,1999-09-01,11,4.125234932290218,3.0513724988099016
1998-10-01,1999-10-01,12,4.161743772833638,3.449302387776054
1998-10-01,1999-11-01,13,4.1970218245492195,3.4070283889776207
1998-10-01,1999-12-01,14,4.231112472619157,3.3391584054037793
1998-10-01,2000-01-01,15,,3.50195101422322
1998-10-01,2000-02-01,16,,3.637151098520409
1998-10-01,2000-03-01,17,,3.888772545377716
1998-10-01,2000-04-01,18,,4.151618481037665
1998-10-01,2000-05-01,19,,4.512279675233575
1998-10-01,2000-06-01,20,,4.642085655936866
1998-10-01,2000-07-01,21,,4.743788326337463
1998-10-01,2000-08-01,22,,4.959271028766413
1998-10-01,2000-09-01,23,,5.047046624344963
1998-10-01,2000-10-01,24,,5.194093785662202
1998-10-01,2000-11-01,25,,5.129625663664621
1998-10-01,2000-12-01,26,,4.957075055207099
1998-10-01,2001-01-01,27,,4.775892787080896
1998-10-01,2001-02-01,28,,4.811094438105258
1998-10-01,2001-03-01,29,,4.5789896619704775
1998-10-01,2001-04-01,30,,4.839470190050381
1998-10-01,2001-05-01,31,,4.544154598183098
1998-10-01,2001-06-01,32,,4.468739225886149
1998-10-01,2001-07-01,33,,4.456860464790332
1998-10-01,2001-08-01,34,,4.2751235512161765
1998-10-01,2001-09-01,35,,3.6678387008259756
1998-10-01,2001-10-01,36,,3.4962471501822563
1998-10-01,2001-11-01,37,,3.3123045420942456
1998-10-01,2001-12-01,38,,3.25596707392431
1998-10-01,2002-01-01,39,,3.337108062401379
1998-10-01,2002-02-01,40,,3.344291458315668
1998-10-01,2002-03-01,41,,3.440191104222125
1998-10-01,2002-04-01,42,,3.3801489257454382
1998-10-01,2002-05-01,43,,3.507318382185688
1998-10-01,2002-06-01,44,,3.466610572506258
1998-10-01,2002-07-01,45,,3.3993273548247354
1998-10-01,2002-08-01,46,,3.3801448745565352
1998-10-01,2002-09-01,47,,3.2986247829953994
1998-10-01,2002-10-01,48,,3.2636934824267256
1998-10-01,2002-11-01,49,,2.9772766425271646
1998-10-01,2002-12-01,50,,2.8442811101704084
1998-10-01,2003-01-01,51,,2.749223602642712
1998-10-01,2003-02-01,52,,2.4776165694227417
1998-10-01,2003-03-01,53,,2.453804512896777
1998-10-01,2003-04-01,54,,2.4742705494171937
1998-10-01,2003-05-01,55,,2.2243838744859668
1998-10-01,2003-06-01,56,,2.074322952193683
1998-10-01,2003-07-01,57,,2.0892505333694396
1998-10-01,2003-08-01,58,,2.129365620517237
1998-10-01,2003-09-01,59,,2.0816207261006805
1998-10-01,2003-10-01,60,,2.131125113091355
1999-09-01,1999-10-01,1,3.1137801296763334,3.449302387776054
1999-09-01,1999-11-01,2,3.174610393807041,3.4070283889776207
