ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1998-11-01,1998-12-01,1,1.0104923837617312,1.2578936554178932
1998-11-01,1999-01-01,2,1.0284788923577803,1.2367885577204274
1998-11-01,1999-02-01,3,1.046064652998233,1.6064290416195846
1998-11-01,1999-03-01,4,1.0632585945379056,1.8796641415888224
1998-11-01,1999-04-01,5,1.0800694468924885,2.0436045061043684
1998-11-01,1999-05-01,6,1.0965057454710032,2.3555906125923323
1998-11-01,1999-06-01,7,1.1125758355095035,2.6976421693777732
1998-11-01,1999-07-01,8,1.1282878763082198,2.899781917875677
1998-11-01,1999-08-01,9,1.1436498453742978,2.9103460517609783
1998-11-01,1999-09-01,10,1.158669542472234,3.047979484775932
1998-11-01,1999-10-01,11,1.173354593584067,2.6121021758818785
1998-11-01,1999-11-01,12,1.1877124547813331,2.45372321372816
1998-11-01,1999-12-01,13,1.2017504160107528,2.705326603294468
1998-11-01,2000-01-01,14,1.215475604795571,2.709153220267231
1998-11-01,2000-02-01,15,1.2288949898544288,2.4654209484310687
1998-11-01,2000-03-01,16,1.2420153846396054,1.8144039071800022
1998-11-01,2000-04-01,17,1.2548434507964268,1.5702375163339024
1998-11-01,2000-05-01,18,1.267385701545597,0.8228359788633732
1998-11-01,2000-06-01,19,1.2796485049901682,0.7441934931291945
1998-11-01,2000-07-01,20,1.2916380873488322,0.4665726594184975
1998-11-01,2000-08-01,21,1.3033605361171703,0.37028724947948416
1998-11-01,2000-09-01,22,1.3148218031584704,0.33659298053474457
1998-11-01,2000-10-01,23,1.3260277077256795,0.15792993560525947
1998-11-01,2000-11-01,24,1.3369839394160243,0.059688893533062386
1998-11-01,2000-12-01,25,1.3476960610598028,0.3303022322026319
1998-11-01,2001-01-01,26,1.3581695115448111,0.4388326347455448
1998-11-01,2001-02-01,27,1.368409608577842,0.3448441439861277
1998-11-01,2001-03-01,28,1.378421551384655,0.6418957314762692
1998-11-01,2001-04-01,29,1.3882104233497892,0.558751365761502
1998-11-01,2001-05-01,30,1.397781194597562,1.2612338744298563
1998-11-01,2001-06-01,31,1.4071387245155602,1.3154779047144498
1998-11-01,2001-07-01,32,1.4162877642219063,1.0660874210723092
1998-11-01,2001-08-01,33,1.4252329589775543,1.2469865112496574
1998-11-01,2001-09-01,34,1.4339788505448379,2.1485475770666063
1998-11-01,2001-10-01,35,1.442529879493468,1.898238789526598
1998-11-01,2001-11-01,36,1.4508903874551533,2.1213548563531117
1998-11-01,2001-12-01,37,1.4590646193279855,2.7183952441694914
1998-11-01,2002-01-01,38,1.4670567254317104,2.1977339540221017
1998-11-01,2002-02-01,39,1.4748707636149785,2.2806369849999335
1998-11-01,2002-03-01,40,1.4825107013156444,2.2909368323176653
1998-11-01,2002-04-01,41,1.4899804175751632,2.3522487057973662
1998-11-01,2002-05-01,42,1.4972837050081031,2.1466897844366972
1998-11-01,2002-06-01,43,1.5044242717277787,2.115606924968667
1998-11-01,2002-07-01,44,1.5114057432289782,2.1267511976391353
1998-11-01,2002-08-01,45,1.518231664228744,1.944026688782552
1998-11-01,2002-09-01,46,1.5249055004661383,1.9066522195698912
1998-11-01,2002-10-01,47,1.5314306404619111,2.307874986058894
1998-11-01,2002-11-01,48,1.5378103972389607,2.471874434207346
1998-11-01,2002-12-01,49,1.5440480100044611,2.4601408548903745
1998-11-01,2003-01-01,50,1.5501466457945121,2.1513631693696342
1998-11-01,2003-02-01,51,1.5561094010821441,2.363601027619777
1998-11-01,2003-03-01,52,1.5619393033494982,2.5406024071257582
1998-11-01,2003-04-01,53,1.5676393126249748,2.5885642382108904
1998-11-01,2003-05-01,54,1.5732123229861357,2.4527186193103505
1998-11-01,2003-06-01,55,1.5786611640291197,2.747647454132086
1998-11-01,2003-07-01,56,1.5839886023053196,3.0179341980681715
1998-11-01,2003-08-01,57,1.5891973427260488,2.8806541175459768
1998-11-01,2003-09-01,58,1.5942900299359122,2.9097639283997743
1998-11-01,2003-10-01,59,1.599269249655576,3.052167365555275
1998-11-01,2003-11-01,60,1.6041375299946221,3.1353446206411397
1999-08-01,1999-09-01,1,2.892240996236821,3.047979484775932
1999-08-01,1999-10-01,2,2.8745434973093165,2.6121021758818785
1999-08-01,1999-11-01,3,2.85724438061392,2.45372321372816
1999-08-01,1999-12-01,4,2.8403346783070114,2.705326603294468
1999-08-01,2000-01-01,5,2.823805624416973,2.709153220267231
1999-08-01,2000-02-01,6,2.8076486502999196,2.4654209484310687
1999-08-01,2000-03-01,7,2.7918553801977235,1.8144039071800022
1999-08-01,2000-04-01,8,2.77641762689603,1.5702375163339024
1999-08-01,2000-05-01,9,2.761327387480014,0.8228359788633732
1999-08-01,2000-06-01,10,2.746576839185677,0.7441934931291945
1999-08-01,2000-07-01,11,2.7321583353445362,0.4665726594184975
1999-08-01,2000-08-01,12,2.718064401419598,0.37028724947948416
1999-08-01,2000-09-01,13,2.704287731130567,0.33659298053474457
1999-08-01,2000-10-01,14,2.690821182666278,0.15792993560525947
1999-08-01,2000-11-01,15,2.677657774982388,0.059688893533062386
1999-08-01,2000-12-01,16,2.6647906841824116,0.3303022322026319
1999-08-01,2001-01-01,17,2.652213239980219,0.4388326347455448
1999-08-01,2001-02-01,18,2.6399189222421677,0.3448441439861277
1999-08-01,2001-03-01,19,2.6279013576070716,0.6418957314762692
1999-08-01,2001-04-01,20,2.6161543161822576,0.558751365761502
1999-08-01,2001-05-01,21,2.6046717083139965,1.2612338744298563
1999-08-01,2001-06-01,22,2.5934475814306315,1.3154779047144498
1999-08-01,2001-07-01,23,2.582476116956773,1.0660874210723092
1999-08-01,2001-08-01,24,2.5717516272969547,1.2469865112496574
1999-08-01,2001-09-01,25,2.5612685528871895,2.1485475770666063
1999-08-01,2001-10-01,26,2.551021459312899,1.898238789526598
1999-08-01,2001-11-01,27,2.5410050344917168,2.1213548563531117
1999-08-01,2001-12-01,28,2.531214085919713,2.7183952441694914
1999-08-01,2002-01-01,29,2.5216435379796036,2.1977339540221017
1999-08-01,2002-02-01,30,2.512288429309557,2.2806369849999335
1999-08-01,2002-03-01,31,2.503143910231229,2.2909368323176653
1999-08-01,2002-04-01,32,2.494205240235696,2.3522487057973662
1999-08-01,2002-05-01,33,2.485467785525977,2.1466897844366972
1999-08-01,2002-06-01,34,2.4769270166148822,2.115606924968667
1999-08-01,2002-07-01,35,2.4685785059769287,2.1267511976391353
1999-08-01,2002-08-01,36,2.460417925753118,1.944026688782552
1999-08-01,2002-09-01,37,2.452441045507376,1.9066522195698912
1999-08-01,2002-10-01,38,2.444643730033502,2.307874986058894
1999-08-01,2002-11-01,39,2.4370219372114823,2.471874434207346
1999-08-01,2002-12-01,40,2.429571715912057,2.4601408548903745
1999-08-01,2003-01-01,41,2.4222892039484605,2.1513631693696342
1999-08-01,2003-02-01,42,2.4151706260742682,2.363601027619777
1999-08-01,2003-03-01,43,2.4082122920263123,2.5406024071257582
1999-08-01,2003-04-01,44,2.4014105946116535,2.5885642382108904
1999-08-01,2003-05-01,45,2.3947620078376155,2.4527186193103505
1999-08-01,2003-06-01,46,2.388263085083915,2.747647454132086
1999-08-01,2003-07-01,47,2.3819104573159366,3.0179341980681715
1999-08-01,2003-08-01,48,2.3757008313382295,2.8806541175459768
1999-08-01,2003-09-01,49,2.3696309880873185,2.9097639283997743
1999-08-01,2003-10-01,50,2.3636977809629447,3.052167365555275
1999-08-01,2003-11-01,51,2.3578981341968706,3.1353446206411397
1999-08-01,2003-12-01,52,2.3522290412584064,3.1522311253998114
1999-08-01,2004-01-01,53,2.346687563295827,3.133589934262183
1999-08-01,2004-02-01,54,2.341270827612875,3.1229082411560674
1999-08-01,2004-03-01,55,2.335976026179556,3.115472454076379
1999-08-01,2004-04-01,56,2.330800414176462,3.1699187521024306
1999-08-01,2004-05-01,57,2.3257413085718577,3.3092698286306836
1999-08-01,2004-06-01,58,2.3207960867308004,3.1616735164685386
1999-08-01,2004-07-01,59,2.315962185055569,3.0495370364122065
1999-08-01,2004-08-01,60,2.311237097656697,2.8643769813263575
