ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1999-07-01,1999-08-01,1,2.8257687330499452,2.9103460517609783
1999-07-01,1999-09-01,2,2.7549961655813973,3.047979484775932
1999-07-01,1999-10-01,3,2.6873328728730335,2.6121021758818785
1999-07-01,1999-11-01,4,2.622652653575246,2.45372321372816
1999-07-01,1999-12-01,5,2.5608342462067464,2.705326603294468
1999-07-01,2000-01-01,6,2.4994202853854057,2.709153220267231
1999-07-01,2000-02-01,7,2.4384881026974137,2.4654209484310687
1999-07-01,2000-03-01,8,2.3781096440753378,1.8144039071800022
1999-07-01,2000-04-01,9,2.318351702448621,1.5702375163339024
1999-07-01,2000-05-01,10,2.259276142409379,0.8228359788633732
1999-07-01,2000-06-01,11,2.2009401171425895,0.7441934931291945
1999-07-01,2000-07-01,12,2.143396277861034,0.4665726594184975
1999-07-01,2000-08-01,13,2.08669297597717,0.37028724947948416
1999-07-01,2000-09-01,14,2.030874458236167,0.33659298053474457
1999-07-01,2000-10-01,15,1.9759810550269488,0.15792993560525947
1999-07-01,2000-11-01,16,1.922049362080737,0.059688893533062386
1999-07-01,2000-12-01,17,1.8691124157598793,0.3303022322026319
1999-07-01,2001-01-01,18,,0.4388326347455448
1999-07-01,2001-02-01,19,,0.3448441439861277
1999-07-01,2001-03-01,20,,0.6418957314762692
1999-07-01,2001-04-01,21,,0.558751365761502
1999-07-01,2001-05-01,22,,1.2612338744298563
1999-07-01,2001-06-01,23,,1.3154779047144498
1999-07-01,2001-07-01,24,,1.0660874210723092
1999-07-01,2001-08-01,25,,1.2469865112496574
1999-07-01,2001-09-01,26,,2.1485475770666063
1999-07-01,2001-10-01,27,,1.898238789526598
1999-07-01,2001-11-01,28,,2.1213548563531117
1999-07-01,2001-12-01,29,,2.7183952441694914
1999-07-01,2002-01-01,30,,2.1977339540221017
1999-07-01,2002-02-01,31,,2.2806369849999335
1999-07-01,2002-03-01,32,,2.2909368323176653
1999-07-01,2002-04-01,33,,2.3522487057973662
1999-07-01,2002-05-01,34,,2.1466897844366972
1999-07-01,2002-06-01,35,,2.115606924968667
1999-07-01,2002-07-01,36,,2.1267511976391353
1999-07-01,2002-08-01,37,,1.944026688782552
1999-07-01,2002-09-01,38,,1.9066522195698912
1999-07-01,2002-10-01,39,,2.307874986058894
1999-07-01,2002-11-01,40,,2.471874434207346
1999-07-01,2002-12-01,41,,2.4601408548903745
1999-07-01,2003-01-01,42,,2.1513631693696342
1999-07-01,2003-02-01,43,,2.363601027619777
1999-07-01,2003-03-01,44,,2.5406024071257582
1999-07-01,2003-04-01,45,,2.5885642382108904
1999-07-01,2003-05-01,46,,2.4527186193103505
1999-07-01,2003-06-01,47,,2.747647454132086
1999-07-01,2003-07-01,48,,3.0179341980681715
1999-07-01,2003-08-01,49,,2.8806541175459768
1999-07-01,2003-09-01,50,,2.9097639283997743
1999-07-01,2003-10-01,51,,3.052167365555275
1999-07-01,2003-11-01,52,,3.1353446206411397
1999-07-01,2003-12-01,53,,3.1522311253998114
1999-07-01,2004-01-01,54,,3.133589934262183
1999-07-01,2004-02-01,55,,3.1229082411560674
1999-07-01,2004-03-01,56,,3.115472454076379
1999-07-01,2004-04-01,57,,3.1699187521024306
1999-07-01,2004-05-01,58,,3.3092698286306836
1999-07-01,2004-06-01,59,,3.1616735164685386
1999-07-01,2004-07-01,60,,3.0495370364122065
1999-02-01,1999-03-01,1,1.6029133985007418,1.8796641415888224
1999-02-01,1999-04-01,2,1.5979815617511908,2.0436045061043684
1999-02-01,1999-05-01,3,1.5917472312507726,2.3555906125923323
1999-02-01,1999-06-01,4,1.584318387441924,2.6976421693777732
1999-02-01,1999-07-01,5,1.5757975231373007,2.899781917875677
1999-02-01,1999-08-01,6,1.5662818668626604,2.9103460517609783
1999-02-01,1999-09-01,7,1.5558635980411177,3.047979484775932
1999-02-01,1999-10-01,8,1.5446300543130471,2.6121021758818785
1999-02-01,1999-11-01,9,1.532663931274495,2.45372321372816
1999-02-01,1999-12-01,10,1.5200434749060698,2.705326603294468
1999-02-01,2000-01-01,11,1.505276079062131,2.709153220267231
1999-02-01,2000-02-01,12,1.4885583440647951,2.4654209484310687
1999-02-01,2000-03-01,13,1.4700764376768554,1.8144039071800022
1999-02-01,2000-04-01,14,1.4500065278589955,1.5702375163339024
1999-02-01,2000-05-01,15,1.4285151997764414,0.8228359788633732
1999-02-01,2000-06-01,16,1.4057598576124508,0.7441934931291945
1999-02-01,2000-07-01,17,1.3818891117243295,0.4665726594184975
1999-02-01,2000-08-01,18,1.3570431516573334,0.37028724947948416
1999-02-01,2000-09-01,19,1.33135410551195,0.33659298053474457
1999-02-01,2000-10-01,20,1.3049463861415278,0.15792993560525947
1999-02-01,2000-11-01,21,1.2779370246390531,0.059688893533062386
1999-02-01,2000-12-01,22,1.2504359915549035,0.3303022322026319
1999-02-01,2001-01-01,23,,0.4388326347455448
1999-02-01,2001-02-01,24,,0.3448441439861277
1999-02-01,2001-03-01,25,,0.6418957314762692
1999-02-01,2001-04-01,26,,0.558751365761502
1999-02-01,2001-05-01,27,,1.2612338744298563
1999-02-01,2001-06-01,28,,1.3154779047144498
1999-02-01,2001-07-01,29,,1.0660874210723092
1999-02-01,2001-08-01,30,,1.2469865112496574
1999-02-01,2001-09-01,31,,2.1485475770666063
1999-02-01,2001-10-01,32,,1.898238789526598
1999-02-01,2001-11-01,33,,2.1213548563531117
1999-02-01,2001-12-01,34,,2.7183952441694914
