ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1998-12-01,1999-01-01,1,-2.524408685756514,-2.9443321593086984
1998-12-01,1999-02-01,2,-2.384066825430239,-2.685176629416115
1998-12-01,1999-03-01,3,-2.2907642186039046,-3.705584476261924
1998-12-01,1999-04-01,4,-2.2311529520620983,-3.2766715895177865
1998-12-01,1999-05-01,5,-2.209284046992165,-3.2834141120742815
1998-12-01,1999-06-01,6,-2.2012080206998523,-2.6149804379151025
1998-12-01,1999-07-01,7,-2.209413516264969,-2.022175076832245
1998-12-01,1999-08-01,8,-2.214329172456693,-2.000685307493592
1998-12-01,1999-09-01,9,-2.218537787992818,-2.807615015902785
1998-12-01,1999-10-01,10,-2.215748010658596,-2.460876714137138
1998-12-01,1999-11-01,11,-2.203234771476904,-1.7805932800508917
1998-12-01,1999-12-01,12,-2.1842606349771794,-1.2855923991868068
1998-12-01,2000-01-01,13,,-1.0351788511273798
1998-12-01,2000-02-01,14,,-0.9263811777589045
1998-12-01,2000-03-01,15,,-0.9868687323363241
1998-12-01,2000-04-01,16,,-0.8165213050332795
1998-12-01,2000-05-01,17,,0.24611415082364163
1998-12-01,2000-06-01,18,,-0.12127495195041899
1998-12-01,2000-07-01,19,,0.6048973939862647
1998-12-01,2000-08-01,20,,0.3688894096011647
1998-12-01,2000-09-01,21,,-0.5527774066560471
1998-12-01,2000-10-01,22,,-0.6747107919500426
1998-12-01,2000-11-01,23,,-1.2450502354834418
1998-12-01,2000-12-01,24,,-2.4661021402040886
1998-12-01,2001-01-01,25,,-2.204706859197849
1998-12-01,2001-02-01,26,,-2.214961734062228
1998-12-01,2001-03-01,27,,-2.691750829628417
1998-12-01,2001-04-01,28,,-1.7800962303896906
1998-12-01,2001-05-01,29,,-2.665740388999816
1998-12-01,2001-06-01,30,,-2.974648618456755
1998-12-01,2001-07-01,31,,-3.0121085611742795
1998-12-01,2001-08-01,32,,-3.466183426509606
1998-12-01,2001-09-01,33,,-4.29584439900735
