ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1999-07-01,1999-08-01,1,-1.9349627840799801,-2.000685307493592
1999-07-01,1999-09-01,2,-1.8631120670044838,-2.807615015902785
1999-07-01,1999-10-01,3,-1.8038912004186811,-2.460876714137138
1999-07-01,1999-11-01,4,-1.7550537977901726,-1.7805932800508917
1999-07-01,1999-12-01,5,-1.7147525962858976,-1.2855923991868068
1999-07-01,2000-01-01,6,-1.6802115174235104,-1.0351788511273798
1999-07-01,2000-02-01,7,-1.6504293814674393,-0.9263811777589045
1999-07-01,2000-03-01,8,-1.6245827074550576,-0.9868687323363241
1999-07-01,2000-04-01,9,-1.6019941458083784,-0.8165213050332795
1999-07-01,2000-05-01,10,-1.5821065185189964,0.24611415082364163
1999-07-01,2000-06-01,11,-1.5644614707965954,-0.12127495195041899
1999-07-01,2000-07-01,12,-1.548681915016702,0.6048973939862647
1999-07-01,2000-08-01,13,-1.5344575933167717,0.3688894096011647
1999-07-01,2000-09-01,14,-1.5215332048546308,-0.5527774066560471
1999-07-01,2000-10-01,15,-1.5096986421513752,-0.6747107919500426
1999-07-01,2000-11-01,16,-1.498780961868038,-1.2450502354834418
1999-07-01,2000-12-01,17,-1.488637781916956,-2.4661021402040886
1999-07-01,2001-01-01,18,,-2.204706859197849
1999-07-01,2001-02-01,19,,-2.214961734062228
1999-07-01,2001-03-01,20,,-2.691750829628417
1999-07-01,2001-04-01,21,,-1.7800962303896906
1999-07-01,2001-05-01,22,,-2.665740388999816
1999-07-01,2001-06-01,23,,-2.974648618456755
1999-07-01,2001-07-01,24,,-3.0121085611742795
1999-07-01,2001-08-01,25,,-3.466183426509606
1999-07-01,2001-09-01,26,,-4.29584439900735
1999-07-01,2001-10-01,27,,-4.365117154625673
1999-07-01,2001-11-01,28,,-3.088098818759864
1999-07-01,2001-12-01,29,,-2.9952085795548666
1999-07-01,2002-01-01,30,,-1.442557522885631
1999-07-01,2002-02-01,31,,-1.63572736155239
1999-07-01,2002-03-01,32,,-0.4431032423421801
1999-07-01,2002-04-01,33,,-1.2053878215301177
1999-07-01,2002-05-01,34,,-0.7032506994737011
1999-07-01,2002-06-01,35,,-1.6878474289302288
1999-07-01,2002-07-01,36,,-2.6281265916369554
1999-07-01,2002-08-01,37,,-2.7631165082130114
1999-07-01,2002-09-01,38,,-4.061391553314647
1999-07-01,2002-10-01,39,,-4.408680651069137
1999-07-01,2002-11-01,40,,-3.5273365242356314
1999-07-01,2002-12-01,41,,-4.546992652296845
1999-07-01,2003-01-01,42,,-4.522451248065245
1999-07-01,2003-02-01,43,,-4.972539113283434
1999-07-01,2003-03-01,44,,-4.668491578803069
1999-07-01,2003-04-01,45,,-4.706442363339431
1999-07-01,2003-05-01,46,,-4.718176216339897
1999-07-01,2003-06-01,47,,-4.654010544356206
1999-07-01,2003-07-01,48,,-3.7609321285528177
1999-07-01,2003-08-01,49,,-3.057133973859252
1999-07-01,2003-09-01,50,,-4.22680543551204
1999-07-01,2003-10-01,51,,-3.1073789779556193
1999-07-01,2003-11-01,52,,-2.715851340856332
1999-07-01,2003-12-01,53,,-3.463155367470153
1999-07-01,2004-01-01,54,,-3.5620188318323267
1999-07-01,2004-02-01,55,,-4.379205335342607
1999-07-01,2004-03-01,56,,-4.559389977233138
1999-07-01,2004-04-01,57,,-3.7585858355111306
1999-07-01,2004-05-01,58,,-3.4311868703064627
1999-07-01,2004-06-01,59,,-2.968460614825017
1999-07-01,2004-07-01,60,,-3.06280070892642
1999-04-01,1999-05-01,1,-2.9990226123765944,-3.2834141120742815
1999-04-01,1999-06-01,2,-2.769690380525221,-2.6149804379151025
1999-04-01,1999-07-01,3,-2.5801035050089083,-2.022175076832245
1999-04-01,1999-08-01,4,-2.4232125638431876,-2.000685307493592
1999-04-01,1999-09-01,5,-2.2932198606510834,-2.807615015902785
1999-04-01,1999-10-01,6,-2.185357167172493,-2.460876714137138
1999-04-01,1999-11-01,7,-2.095702929667273,-1.7805932800508917
1999-04-01,1999-12-01,8,-2.0210319320342007,-1.2855923991868068
1999-04-01,2000-01-01,9,-1.95763927143277,-1.0351788511273798
1999-04-01,2000-02-01,10,-1.9035503748657074,-0.9263811777589045
1999-04-01,2000-03-01,11,-1.8571411310112185,-0.9868687323363241
1999-04-01,2000-04-01,12,-1.817075659689192,-0.8165213050332795
1999-04-01,2000-05-01,13,-1.7822551310003665,0.24611415082364163
1999-04-01,2000-06-01,14,-1.751775672167171,-0.12127495195041899
1999-04-01,2000-07-01,15,-1.7248937484709794,0.6048973939862647
1999-04-01,2000-08-01,16,-1.7009976911909785,0.3688894096011647
1999-04-01,2000-09-01,17,-1.6795842810877186,-0.5527774066560471
1999-04-01,2000-10-01,18,-1.6602394897726365,-0.6747107919500426
1999-04-01,2000-11-01,19,-1.642622640692372,-1.2450502354834418
1999-04-01,2000-12-01,20,-1.6264533825435321,-2.4661021402040886
1999-04-01,2001-01-01,21,,-2.204706859197849
1999-04-01,2001-02-01,22,,-2.214961734062228
1999-04-01,2001-03-01,23,,-2.691750829628417
1999-04-01,2001-04-01,24,,-1.7800962303896906
1999-04-01,2001-05-01,25,,-2.665740388999816
1999-04-01,2001-06-01,26,,-2.974648618456755
1999-04-01,2001-07-01,27,,-3.0121085611742795
1999-04-01,2001-08-01,28,,-3.466183426509606
1999-04-01,2001-09-01,29,,-4.29584439900735
1999-04-01,2001-10-01,30,,-4.365117154625673
1999-04-01,2001-11-01,31,,-3.088098818759864
1999-04-01,2001-12-01,32,,-2.9952085795548666
1999-04-01,2002-01-01,33,,-1.442557522885631
1999-04-01,2002-02-01,34,,-1.63572736155239
1999-04-01,2002-03-01,35,,-0.4431032423421801
1999-04-01,2002-04-01,36,,-1.2053878215301177
1999-04-01,2002-05-01,37,,-0.7032506994737011
1999-04-01,2002-06-01,38,,-1.6878474289302288
1999-04-01,2002-07-01,39,,-2.6281265916369554
1999-04-01,2002-08-01,40,,-2.7631165082130114
1999-04-01,2002-09-01,41,,-4.061391553314647
1999-04-01,2002-10-01,42,,-4.408680651069137
1999-04-01,2002-11-01,43,,-3.5273365242356314
1999-04-01,2002-12-01,44,,-4.546992652296845
1999-04-01,2003-01-01,45,,-4.522451248065245
1999-04-01,2003-02-01,46,,-4.972539113283434
1999-04-01,2003-03-01,47,,-4.668491578803069
1999-04-01,2003-04-01,48,,-4.706442363339431
1999-04-01,2003-05-01,49,,-4.718176216339897
1999-04-01,2003-06-01,50,,-4.654010544356206
1999-04-01,2003-07-01,51,,-3.7609321285528177
1999-04-01,2003-08-01,52,,-3.057133973859252
1999-04-01,2003-09-01,53,,-4.22680543551204
1999-04-01,2003-10-01,54,,-3.1073789779556193
1999-04-01,2003-11-01,55,,-2.715851340856332
1999-04-01,2003-12-01,56,,-3.463155367470153
1999-04-01,2004-01-01,57,,-3.5620188318323267
1999-04-01,2004-02-01,58,,-4.379205335342607
1999-04-01,2004-03-01,59,,-4.559389977233138
1999-04-01,2004-04-01,60,,-3.7585858355111306
1999-05-01,1999-06-01,1,-2.996346832849933,-2.6149804379151025
1999-05-01,1999-07-01,2,-2.7596019812566026,-2.022175076832245
1999-05-01,1999-08-01,3,-2.5642574567116907,-2.000685307493592
1999-05-01,1999-09-01,4,-2.402973432264565,-2.807615015902785
1999-05-01,1999-10-01,5,-2.269711760950518,-2.460876714137138
1999-05-01,1999-11-01,6,-2.159505141122186,-1.7805932800508917
1999-05-01,1999-12-01,7,-2.0682672167708103,-1.2855923991868068
1999-05-01,2000-01-01,8,-1.9913777289709609,-1.0351788511273798
1999-05-01,2000-02-01,9,-1.9263187010623009,-0.9263811777589045
1999-05-01,2000-03-01,10,-1.8710185368357661,-0.9868687323363241
1999-05-01,2000-04-01,11,-1.8237728593180351,-0.8165213050332795
1999-05-01,2000-05-01,12,-1.7831793876427984,0.24611415082364163
1999-05-01,2000-06-01,13,-1.748084362570363,-0.12127495195041899
1999-05-01,2000-07-01,14,-1.7175384726806235,0.6048973939862647
1999-05-01,2000-08-01,15,-1.6907605964412107,0.3688894096011647
1999-05-01,2000-09-01,16,-1.6671079741255879,-0.5527774066560471
1999-05-01,2000-10-01,17,-1.6460516693460574,-0.6747107919500426
1999-05-01,2000-11-01,18,-1.6271563821697204,-1.2450502354834418
1999-05-01,2000-12-01,19,-1.6100638421309228,-2.4661021402040886
1999-05-01,2001-01-01,20,,-2.204706859197849
1999-05-01,2001-02-01,21,,-2.214961734062228
1999-05-01,2001-03-01,22,,-2.691750829628417
1999-05-01,2001-04-01,23,,-1.7800962303896906
1999-05-01,2001-05-01,24,,-2.665740388999816
1999-05-01,2001-06-01,25,,-2.974648618456755
1999-05-01,2001-07-01,26,,-3.0121085611742795
1999-05-01,2001-08-01,27,,-3.466183426509606
1999-05-01,2001-09-01,28,,-4.29584439900735
1999-05-01,2001-10-01,29,,-4.365117154625673
1999-05-01,2001-11-01,30,,-3.088098818759864
1999-05-01,2001-12-01,31,,-2.9952085795548666
1999-05-01,2002-01-01,32,,-1.442557522885631
1999-05-01,2002-02-01,33,,-1.63572736155239
1999-05-01,2002-03-01,34,,-0.4431032423421801
1999-05-01,2002-04-01,35,,-1.2053878215301177
1999-05-01,2002-05-01,36,,-0.7032506994737011
1999-05-01,2002-06-01,37,,-1.6878474289302288
1999-05-01,2002-07-01,38,,-2.6281265916369554
1999-05-01,2002-08-01,39,,-2.7631165082130114
1999-05-01,2002-09-01,40,,-4.061391553314647
1999-05-01,2002-10-01,41,,-4.408680651069137
1999-05-01,2002-11-01,42,,-3.5273365242356314
1999-05-01,2002-12-01,43,,-4.546992652296845
1999-05-01,2003-01-01,44,,-4.522451248065245
1999-05-01,2003-02-01,45,,-4.972539113283434
1999-05-01,2003-03-01,46,,-4.668491578803069
1999-05-01,2003-04-01,47,,-4.706442363339431
1999-05-01,2003-05-01,48,,-4.718176216339897
1999-05-01,2003-06-01,49,,-4.654010544356206
1999-05-01,2003-07-01,50,,-3.7609321285528177
1999-05-01,2003-08-01,51,,-3.057133973859252
1999-05-01,2003-09-01,52,,-4.22680543551204
1999-05-01,2003-10-01,53,,-3.1073789779556193
1999-05-01,2003-11-01,54,,-2.715851340856332
1999-05-01,2003-12-01,55,,-3.463155367470153
1999-05-01,2004-01-01,56,,-3.5620188318323267
1999-05-01,2004-02-01,57,,-4.379205335342607
1999-05-01,2004-03-01,58,,-4.559389977233138
1999-05-01,2004-04-01,59,,-3.7585858355111306
1999-05-01,2004-05-01,60,,-3.4311868703064627
1999-01-01,1999-02-01,1,-2.7200896375413475,-2.685176629416115
1999-01-01,1999-03-01,2,-2.534599084332589,-3.705584476261924
1999-01-01,1999-04-01,3,-2.3809721120967926,-3.2766715895177865
1999-01-01,1999-05-01,4,-2.253546812133665,-3.2834141120742815
1999-01-01,1999-06-01,5,-2.147669378449524,-2.6149804379151025
1999-01-01,1999-07-01,6,-2.0595146133931053,-2.022175076832245
1999-01-01,1999-08-01,7,-1.9859383922163765,-2.000685307493592
1999-01-01,1999-09-01,8,-1.9243563962881896,-2.807615015902785
1999-01-01,1999-10-01,9,-1.8726444378389386,-2.460876714137138
1999-01-01,1999-11-01,10,-1.8290565318738237,-1.7805932800508917
1999-01-01,1999-12-01,11,-1.7921575553792664,-1.2855923991868068
1999-01-01,2000-01-01,12,-1.7599102368439763,-1.0351788511273798
1999-01-01,2000-02-01,13,-1.73151404919839,-0.9263811777589045
1999-01-01,2000-03-01,14,-1.706310849870175,-0.9868687323363241
1999-01-01,2000-04-01,15,-1.6837595266209224,-0.8165213050332795
1999-01-01,2000-05-01,16,-1.663415157748565,0.24611415082364163
1999-01-01,2000-06-01,17,-1.6449118828745635,-0.12127495195041899
1999-01-01,2000-07-01,18,-1.6279488236477397,0.6048973939862647
1999-01-01,2000-08-01,19,-1.612278511328247,0.3688894096011647
1999-01-01,2000-09-01,20,-1.597697374902566,-0.5527774066560471
1999-01-01,2000-10-01,21,-1.5840379228526427,-0.6747107919500426
1999-01-01,2000-11-01,22,-1.5711623170245306,-1.2450502354834418
1999-01-01,2000-12-01,23,-1.5589570907335404,-2.4661021402040886
1999-01-01,2001-01-01,24,,-2.204706859197849
1999-01-01,2001-02-01,25,,-2.214961734062228
1999-01-01,2001-03-01,26,,-2.691750829628417
1999-01-01,2001-04-01,27,,-1.7800962303896906
1999-01-01,2001-05-01,28,,-2.665740388999816
1999-01-01,2001-06-01,29,,-2.974648618456755
1999-01-01,2001-07-01,30,,-3.0121085611742795
1999-01-01,2001-08-01,31,,-3.466183426509606
1999-01-01,2001-09-01,32,,-4.29584439900735
1999-01-01,2001-10-01,33,,-4.365117154625673
1999-01-01,2001-11-01,34,,-3.088098818759864
1999-01-01,2001-12-01,35,,-2.9952085795548666
1999-01-01,2002-01-01,36,,-1.442557522885631
1999-01-01,2002-02-01,37,,-1.63572736155239
1999-01-01,2002-03-01,38,,-0.4431032423421801
1999-01-01,2002-04-01,39,,-1.2053878215301177
1999-01-01,2002-05-01,40,,-0.7032506994737011
1999-01-01,2002-06-01,41,,-1.6878474289302288
1999-01-01,2002-07-01,42,,-2.6281265916369554
1999-01-01,2002-08-01,43,,-2.7631165082130114
1999-01-01,2002-09-01,44,,-4.061391553314647
1999-01-01,2002-10-01,45,,-4.408680651069137
1999-01-01,2002-11-01,46,,-3.5273365242356314
1999-01-01,2002-12-01,47,,-4.546992652296845
1999-01-01,2003-01-01,48,,-4.522451248065245
1999-01-01,2003-02-01,49,,-4.972539113283434
1999-01-01,2003-03-01,50,,-4.668491578803069
1999-01-01,2003-04-01,51,,-4.706442363339431
1999-01-01,2003-05-01,52,,-4.718176216339897
1999-01-01,2003-06-01,53,,-4.654010544356206
1999-01-01,2003-07-01,54,,-3.7609321285528177
1999-01-01,2003-08-01,55,,-3.057133973859252
1999-01-01,2003-09-01,56,,-4.22680543551204
1999-01-01,2003-10-01,57,,-3.1073789779556193
1999-01-01,2003-11-01,58,,-2.715851340856332
1999-01-01,2003-12-01,59,,-3.463155367470153
1999-01-01,2004-01-01,60,,-3.5620188318323267
1999-06-01,1999-07-01,1,-2.4340796900415143,-2.022175076832245
1999-06-01,1999-08-01,2,-2.284959451073049,-2.000685307493592
1999-06-01,1999-09-01,3,-2.161979693249017,-2.807615015902785
1999-06-01,1999-10-01,4,-2.0605012180082536,-2.460876714137138
1999-06-01,1999-11-01,5,-1.976708070795465,-1.7805932800508917
1999-06-01,1999-12-01,6,-1.9074614660014275,-1.2855923991868068
1999-06-01,2000-01-01,7,-1.8489392862441418,-1.0351788511273798
1999-06-01,2000-02-01,8,-1.7992621594917557,-0.9263811777589045
1999-06-01,2000-03-01,9,-1.7568840407208164,-0.9868687323363241
1999-06-01,2000-04-01,10,-1.720533065505469,-0.8165213050332795
1999-06-01,2000-05-01,11,-1.6891628984062406,0.24611415082364163
1999-06-01,2000-06-01,12,-1.6619127139960659,-0.12127495195041899
