ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1999-02-01,1999-03-01,1,-2.8211232359536895,-3.705584476261924
1999-02-01,1999-04-01,2,-2.9231156694116707,-3.2766715895177865
1999-02-01,1999-05-01,3,-2.998341818674123,-3.2834141120742815
1999-02-01,1999-06-01,4,-3.050400665666566,-2.6149804379151025
1999-02-01,1999-07-01,5,-3.079627176712883,-2.022175076832245
1999-02-01,1999-08-01,6,-3.093581040625861,-2.000685307493592
1999-02-01,1999-09-01,7,-3.0921040884860562,-2.807615015902785
1999-02-01,1999-10-01,8,-3.0774635654348677,-2.460876714137138
1999-02-01,1999-11-01,9,-3.050370704835444,-1.7805932800508917
1999-02-01,1999-12-01,10,-3.0136221309484115,-1.2855923991868068
1999-02-01,2000-01-01,11,-2.9617949757051054,-1.0351788511273798
1999-02-01,2000-02-01,12,-2.91241682364311,-0.9263811777589045
1999-02-01,2000-03-01,13,-2.860041668310737,-0.9868687323363241
1999-02-01,2000-04-01,14,-2.8057445896088096,-0.8165213050332795
1999-02-01,2000-05-01,15,-2.750322047046265,0.24611415082364163
1999-02-01,2000-06-01,16,-2.694362217559522,-0.12127495195041899
1999-02-01,2000-07-01,17,-2.638297589181882,0.6048973939862647
1999-02-01,2000-08-01,18,-2.58244428804103,0.3688894096011647
1999-02-01,2000-09-01,19,-2.5270314862732435,-0.5527774066560471
1999-02-01,2000-10-01,20,-2.472223393683172,-0.6747107919500426
1999-02-01,2000-11-01,21,-2.4181357043924647,-1.2450502354834418
1999-02-01,2000-12-01,22,-2.3648478975172944,-2.4661021402040886
1999-02-01,2001-01-01,23,,-2.204706859197849
1999-02-01,2001-02-01,24,,-2.214961734062228
1999-02-01,2001-03-01,25,,-2.691750829628417
1999-02-01,2001-04-01,26,,-1.7800962303896906
1999-02-01,2001-05-01,27,,-2.665740388999816
1999-02-01,2001-06-01,28,,-2.974648618456755
1999-02-01,2001-07-01,29,,-3.0121085611742795
