Maturity (Years),Execution Date,Horizon (Years),Metric,Value
0.25,2003-05-01,1.0,VaR,-0.008780811033518859
0.25,2003-05-01,1.0,CVaR,-0.011018268501124867
0.25,2003-05-01,1.0,Volatility,0.0037927553579410423
0.25,2003-05-01,1.0,Expected Returns,-0.002265894113757681
0.25,2003-05-01,1.0,Observed Annual Return,-8.561019936403902e-05
0.25,2003-05-01,2.0,VaR,-0.00788900107938552
0.25,2003-05-01,2.0,CVaR,-0.009674198751393769
0.25,2003-05-01,2.0,Volatility,0.003886578656029288
0.25,2003-05-01,2.0,Expected Returns,-0.0011838825489134913
0.25,2003-05-01,2.0,Observed Annual Return,4.163323705541622e-05
0.25,2003-05-01,3.0,VaR,-0.007640982893837539
0.25,2003-05-01,3.0,CVaR,-0.009825314676107644
0.25,2003-05-01,3.0,Volatility,0.0038110196551614686
0.25,2003-05-01,3.0,Expected Returns,-0.0011693983517710534
0.25,2003-05-01,3.0,Observed Annual Return,-0.0021183408234849432
0.25,2003-05-01,4.0,VaR,-0.007399041974645354
0.25,2003-05-01,4.0,CVaR,-0.009622335600690122
0.25,2003-05-01,4.0,Volatility,0.003932607632981787
0.25,2003-05-01,4.0,Expected Returns,-0.0010337739779388714
0.25,2003-05-01,4.0,Observed Annual Return,-0.0025382245418057447
0.25,2003-05-01,5.0,VaR,-0.006998346122098786
0.25,2003-05-01,5.0,CVaR,-0.009406999593266232
0.25,2003-05-01,5.0,Volatility,0.00396303036187962
0.25,2003-05-01,5.0,Expected Returns,-0.0002956088745771458
0.25,2003-05-01,5.0,Observed Annual Return,7.566422298022069e-05
0.5,2003-05-01,1.0,VaR,-0.018022371724372536
0.5,2003-05-01,1.0,CVaR,-0.02287308882986518
0.5,2003-05-01,1.0,Volatility,0.007636930271837209
0.5,2003-05-01,1.0,Expected Returns,-0.005128553852037043
0.5,2003-05-01,1.0,Observed Annual Return,-0.0005084920888059896
0.5,2003-05-01,2.0,VaR,-0.015638255706015434
0.5,2003-05-01,2.0,CVaR,-0.019299609014485006
0.5,2003-05-01,2.0,Volatility,0.007804301320430307
0.5,2003-05-01,2.0,Expected Returns,-0.002314557156145516
0.5,2003-05-01,2.0,Observed Annual Return,0.00032334272650502704
0.5,2003-05-01,3.0,VaR,-0.01527017862631661
0.5,2003-05-01,3.0,CVaR,-0.019677841718025522
0.5,2003-05-01,3.0,Volatility,0.007683773361457132
0.5,2003-05-01,3.0,Expected Returns,-0.0021988180602132705
0.5,2003-05-01,3.0,Observed Annual Return,-0.005058165608770704
0.5,2003-05-01,4.0,VaR,-0.014760615825956174
0.5,2003-05-01,4.0,CVaR,-0.01914712802664474
0.5,2003-05-01,4.0,Volatility,0.00792834597445153
0.5,2003-05-01,4.0,Expected Returns,-0.0019316098185751332
0.5,2003-05-01,4.0,Observed Annual Return,-0.005113491889966126
0.5,2003-05-01,5.0,VaR,-0.014730597592270661
0.5,2003-05-01,5.0,CVaR,-0.018878620144942918
0.5,2003-05-01,5.0,Volatility,0.00801836162918063
0.5,2003-05-01,5.0,Expected Returns,-0.0004529695259945884
0.5,2003-05-01,5.0,Observed Annual Return,0.0002613166768147268
1.0,2003-05-01,1.0,VaR,-0.037908220224105095
1.0,2003-05-01,1.0,CVaR,-0.04862203629281824
1.0,2003-05-01,1.0,Volatility,0.015943903946732743
1.0,2003-05-01,1.0,Expected Returns,-0.011790224969738965
1.0,2003-05-01,1.0,Observed Annual Return,-0.0038504017858724815
1.0,2003-05-01,2.0,VaR,-0.03161261402962763
1.0,2003-05-01,2.0,CVaR,-0.03988742377810082
1.0,2003-05-01,2.0,Volatility,0.016476167841406413
1.0,2003-05-01,2.0,Expected Returns,-0.004361394088848746
1.0,2003-05-01,2.0,Observed Annual Return,0.0031839848812637017
