Maturity (Years),Execution Date,Horizon (Years),Metric,Value
0.25,1999-07-01,0.5,RMSE,0.003402120515399619
0.25,1999-07-01,0.5,R-Squared,-0.40011264645516254
0.25,1999-07-01,1.0,RMSE,0.006808839779170713
0.25,1999-07-01,1.0,R-Squared,-0.3767666427794951
0.25,1999-07-01,2.0,RMSE,0.008937942121545906
0.25,1999-07-01,2.0,R-Squared,-0.690209621569942
0.25,1999-07-01,3.0,RMSE,0.008598426094008982
0.25,1999-07-01,3.0,R-Squared,-0.5883891466155196
0.25,1999-07-01,4.0,RMSE,0.011970560782283991
0.25,1999-07-01,4.0,R-Squared,-1.0151992576578084
0.25,1999-07-01,5.0,RMSE,0.015862171145594905
0.25,1999-07-01,5.0,R-Squared,-1.6045111502216773
0.5,1999-07-01,0.5,RMSE,0.0032797756860938492
0.5,1999-07-01,0.5,R-Squared,-1.1680447249914532
0.5,1999-07-01,1.0,RMSE,0.007355899076008987
0.5,1999-07-01,1.0,R-Squared,-0.5200548251364567
0.5,1999-07-01,2.0,RMSE,0.008536442034956297
0.5,1999-07-01,2.0,R-Squared,-0.826525938929745
0.5,1999-07-01,3.0,RMSE,0.008507409800746593
0.5,1999-07-01,3.0,R-Squared,-0.6791049389475208
0.5,1999-07-01,4.0,RMSE,0.012605305814455629
0.5,1999-07-01,4.0,R-Squared,-1.0968293592590648
0.5,1999-07-01,5.0,RMSE,0.016569355241382703
0.5,1999-07-01,5.0,R-Squared,-1.690621397855363
1.0,1999-07-01,0.5,RMSE,0.0025920521420628373
1.0,1999-07-01,0.5,R-Squared,0.1507006141718723
1.0,1999-07-01,1.0,RMSE,0.006735459368787391
1.0,1999-07-01,1.0,R-Squared,-0.19361680005974646
1.0,1999-07-01,2.0,RMSE,0.0070244700034851025
1.0,1999-07-01,2.0,R-Squared,-0.43427788129929357
1.0,1999-07-01,3.0,RMSE,0.007873962069110044
1.0,1999-07-01,3.0,R-Squared,-0.645179356096591
1.0,1999-07-01,4.0,RMSE,0.013337404420255102
1.0,1999-07-01,4.0,R-Squared,-1.255436591042551
1.0,1999-07-01,5.0,RMSE,0.017197175412827607
1.0,1999-07-01,5.0,R-Squared,-1.9575934587968398
2.0,1999-07-01,0.5,RMSE,0.00325604242535045
2.0,1999-07-01,0.5,R-Squared,-0.12403516758264677
2.0,1999-07-01,1.0,RMSE,0.005564259273382954
2.0,1999-07-01,1.0,R-Squared,-0.3370268570205541
2.0,1999-07-01,2.0,RMSE,0.005239859021133416
2.0,1999-07-01,2.0,R-Squared,-0.44540185003297283
2.0,1999-07-01,3.0,RMSE,0.007430879499468475
2.0,1999-07-01,3.0,R-Squared,-1.1305359544378586
2.0,1999-07-01,4.0,RMSE,0.014081271136939522
2.0,1999-07-01,4.0,R-Squared,-1.6843535184694116
2.0,1999-07-01,5.0,RMSE,0.017574681365636946
2.0,1999-07-01,5.0,R-Squared,-2.51550204730875
3.0,1999-07-01,0.5,RMSE,0.0032217195726619427
3.0,1999-07-01,0.5,R-Squared,-0.1804663916763869
3.0,1999-07-01,1.0,RMSE,0.004317023604854685
3.0,1999-07-01,1.0,R-Squared,-0.31352780496886345
3.0,1999-07-01,2.0,RMSE,0.004526878656685607
3.0,1999-07-01,2.0,R-Squared,-0.6118179202882779
3.0,1999-07-01,3.0,RMSE,0.007541808141785176
3.0,1999-07-01,3.0,R-Squared,-1.8401990527571672
3.0,1999-07-01,4.0,RMSE,0.014212045220794906
3.0,1999-07-01,4.0,R-Squared,-2.1878072575263046
3.0,1999-07-01,5.0,RMSE,0.017411837964687846
3.0,1999-07-01,5.0,R-Squared,-3.162581100042911
4.0,1999-07-01,0.5,RMSE,0.002518752739459056
4.0,1999-07-01,0.5,R-Squared,0.00038842854060960885
4.0,1999-07-01,1.0,RMSE,0.0029330211013095754
4.0,1999-07-01,1.0,R-Squared,0.01934562276054641
4.0,1999-07-01,2.0,RMSE,0.004379143746966274
4.0,1999-07-01,2.0,R-Squared,-1.0395958236149005
4.0,1999-07-01,3.0,RMSE,0.007412281678900461
4.0,1999-07-01,3.0,R-Squared,-2.8863788189445314
4.0,1999-07-01,4.0,RMSE,0.014063083359170218
4.0,1999-07-01,4.0,R-Squared,-2.739422965779709
4.0,1999-07-01,5.0,RMSE,0.01708095457358825
4.0,1999-07-01,5.0,R-Squared,-3.8665204420515353
5.0,1999-07-01,0.5,RMSE,0.0020135015817265805
5.0,1999-07-01,0.5,R-Squared,0.3738363681498045
5.0,1999-07-01,1.0,RMSE,0.001936554694525725
5.0,1999-07-01,1.0,R-Squared,0.4397357257853921
5.0,1999-07-01,2.0,RMSE,0.004676857586341629
5.0,1999-07-01,2.0,R-Squared,-1.9111619189037379
5.0,1999-07-01,3.0,RMSE,0.0078091068303119465
5.0,1999-07-01,3.0,R-Squared,-4.26641255545613
5.0,1999-07-01,4.0,RMSE,0.01410189404316529
5.0,1999-07-01,4.0,R-Squared,-3.483787036780835
5.0,1999-07-01,5.0,RMSE,0.01693440403981465
5.0,1999-07-01,5.0,R-Squared,-4.808283262016629
6.0,1999-07-01,0.5,RMSE,0.002784265278162648
6.0,1999-07-01,0.5,R-Squared,-0.28158675107759934
6.0,1999-07-01,1.0,RMSE,0.002442981828235778
6.0,1999-07-01,1.0,R-Squared,-0.24094747390611193
6.0,1999-07-01,2.0,RMSE,0.005142484888505181
6.0,1999-07-01,2.0,R-Squared,-2.2430414013078406
6.0,1999-07-01,3.0,RMSE,0.00793109221177989
6.0,1999-07-01,3.0,R-Squared,-4.5180938836786835
6.0,1999-07-01,4.0,RMSE,0.01388814243300253
6.0,1999-07-01,4.0,R-Squared,-3.617632412715258
6.0,1999-07-01,5.0,RMSE,0.01656774423714551
6.0,1999-07-01,5.0,R-Squared,-4.976059527683381
7.0,1999-07-01,0.5,RMSE,0.0029546993338202413
7.0,1999-07-01,0.5,R-Squared,-0.6579105030086629
7.0,1999-07-01,1.0,RMSE,0.002431301156436606
7.0,1999-07-01,1.0,R-Squared,-0.6628611190334281
7.0,1999-07-01,2.0,RMSE,0.005141661742891828
7.0,1999-07-01,2.0,R-Squared,-2.903243746116688
7.0,1999-07-01,3.0,RMSE,0.00772560980570722
7.0,1999-07-01,3.0,R-Squared,-5.4984202190230524
7.0,1999-07-01,4.0,RMSE,0.013407216152661779
7.0,1999-07-01,4.0,R-Squared,-3.9827204322409937
7.0,1999-07-01,5.0,RMSE,0.01599552338555322
7.0,1999-07-01,5.0,R-Squared,-5.422444040945874
8.0,1999-07-01,0.5,RMSE,0.002903205386891818
8.0,1999-07-01,0.5,R-Squared,-0.8578842436027199
8.0,1999-07-01,1.0,RMSE,0.0023763188103489903
8.0,1999-07-01,1.0,R-Squared,-0.9257512498040406
8.0,1999-07-01,2.0,RMSE,0.00520764720627224
8.0,1999-07-01,2.0,R-Squared,-3.7314314868700693
8.0,1999-07-01,3.0,RMSE,0.007645629366316353
8.0,1999-07-01,3.0,R-Squared,-6.845545240219928
8.0,1999-07-01,4.0,RMSE,0.01303991876814854
