Maturity (Years),Execution Date,Horizon (Years),Metric,Value
0.25,2003-07-01,0.5,RMSE,0.002739152205085154
0.25,2003-07-01,0.5,R-Squared,-145.19310072224593
0.25,2003-07-01,1.0,RMSE,0.005174821286855812
0.25,2003-07-01,1.0,R-Squared,-109.76957427486913
0.25,2003-07-01,2.0,RMSE,0.0081464849140841
0.25,2003-07-01,2.0,R-Squared,-428.22613687036363
0.25,2003-07-01,3.0,RMSE,0.009244644034200071
0.25,2003-07-01,3.0,R-Squared,-10.469175706454536
0.25,2003-07-01,4.0,RMSE,0.008353874454284
0.25,2003-07-01,4.0,R-Squared,-0.48229390451152043
0.25,2003-07-01,5.0,RMSE,0.008103289795074525
0.25,2003-07-01,5.0,R-Squared,-0.02588814302804021
0.5,2003-07-01,0.5,RMSE,0.003256018485216605
0.5,2003-07-01,0.5,R-Squared,-40.99923294472501
0.5,2003-07-01,1.0,RMSE,0.0058395494811179305
0.5,2003-07-01,1.0,R-Squared,-59.51442037176797
0.5,2003-07-01,2.0,RMSE,0.008781987080342446
0.5,2003-07-01,2.0,R-Squared,-201.5832355190543
0.5,2003-07-01,3.0,RMSE,0.009494994432718644
0.5,2003-07-01,3.0,R-Squared,-7.145359613250518
0.5,2003-07-01,4.0,RMSE,0.008500846746423676
0.5,2003-07-01,4.0,R-Squared,-0.35692601779443467
0.5,2003-07-01,5.0,RMSE,0.008082525748536433
0.5,2003-07-01,5.0,R-Squared,0.08467085379983097
1.0,2003-07-01,0.5,RMSE,0.003501597757918869
1.0,2003-07-01,0.5,R-Squared,-8.036693722616743
1.0,2003-07-01,1.0,RMSE,0.006182069393669917
1.0,2003-07-01,1.0,R-Squared,-17.034137607130194
1.0,2003-07-01,2.0,RMSE,0.009248830440365775
1.0,2003-07-01,2.0,R-Squared,-56.05863186128975
1.0,2003-07-01,3.0,RMSE,0.009625057969424474
1.0,2003-07-01,3.0,R-Squared,-4.873760636650502
1.0,2003-07-01,4.0,RMSE,0.008558926424256501
1.0,2003-07-01,4.0,R-Squared,-0.23792680920322118
1.0,2003-07-01,5.0,RMSE,0.008179670699464028
1.0,2003-07-01,5.0,R-Squared,0.09697536199633239
2.0,2003-07-01,0.5,RMSE,0.003388651500371723
2.0,2003-07-01,0.5,R-Squared,-2.913770442164204
