Maturity (Years),Execution Date,Horizon (Years),Metric,Value
0.25,2003-05-01,0.5,RMSE,0.004801627224182973
0.25,2003-05-01,0.5,R-Squared,-308.1947787217023
0.25,2003-05-01,1.0,RMSE,0.007841588879010868
0.25,2003-05-01,1.0,R-Squared,-253.2769198694381
0.25,2003-05-01,2.0,RMSE,0.011509468902099237
0.25,2003-05-01,2.0,R-Squared,-838.8364789993522
0.25,2003-05-01,3.0,RMSE,0.013433731452855821
0.25,2003-05-01,3.0,R-Squared,-42.173462708548726
0.25,2003-05-01,4.0,RMSE,0.012685711524996417
0.25,2003-05-01,4.0,R-Squared,-3.1056210830580264
0.25,2003-05-01,5.0,RMSE,0.012265223337172603
0.25,2003-05-01,5.0,R-Squared,-1.5558926822273436
0.5,2003-05-01,0.5,RMSE,0.004655041580966046
0.5,2003-05-01,0.5,R-Squared,-53.56610309859981
0.5,2003-05-01,1.0,RMSE,0.008138320851361664
0.5,2003-05-01,1.0,R-Squared,-119.7205980469158
0.5,2003-05-01,2.0,RMSE,0.011817057832783697
0.5,2003-05-01,2.0,R-Squared,-344.5153693280146
0.5,2003-05-01,3.0,RMSE,0.013421284979794139
0.5,2003-05-01,3.0,R-Squared,-24.688557199342135
0.5,2003-05-01,4.0,RMSE,0.012496454896991837
0.5,2003-05-01,4.0,R-Squared,-2.5013804339936208
0.5,2003-05-01,5.0,RMSE,0.011889960920809817
0.5,2003-05-01,5.0,R-Squared,-1.1324790160441895
1.0,2003-05-01,0.5,RMSE,0.003930585223758279
1.0,2003-05-01,0.5,R-Squared,-5.0421399910285025
1.0,2003-05-01,1.0,RMSE,0.007937521191735944
1.0,2003-05-01,1.0,R-Squared,-27.560723792997283
1.0,2003-05-01,2.0,RMSE,0.011570075806558631
1.0,2003-05-01,2.0,R-Squared,-79.70630668972947
1.0,2003-05-01,3.0,RMSE,0.012972360078015908
1.0,2003-05-01,3.0,R-Squared,-14.487197663669686
1.0,2003-05-01,4.0,RMSE,0.011878396575467402
1.0,2003-05-01,4.0,R-Squared,-1.8074408886113758
1.0,2003-05-01,5.0,RMSE,0.011280896947110552
1.0,2003-05-01,5.0,R-Squared,-0.8331967952607102
2.0,2003-05-01,0.5,RMSE,0.002718862975354861
2.0,2003-05-01,0.5,R-Squared,-0.14385286715743195
2.0,2003-05-01,1.0,RMSE,0.007074011817461253
2.0,2003-05-01,1.0,R-Squared,-9.150200243114353
2.0,2003-05-01,2.0,RMSE,0.011374225529972179
2.0,2003-05-01,2.0,R-Squared,-35.014033554288744
2.0,2003-05-01,3.0,RMSE,0.01308685030137159
2.0,2003-05-01,3.0,R-Squared,-14.159930571378222
2.0,2003-05-01,4.0,RMSE,0.012154170803771496
2.0,2003-05-01,4.0,R-Squared,-2.746033286305492
2.0,2003-05-01,5.0,RMSE,0.011907866590768599
2.0,2003-05-01,5.0,R-Squared,-1.7883222884729104
3.0,2003-05-01,0.5,RMSE,0.00215090052393909
3.0,2003-05-01,0.5,R-Squared,0.36979552509878866
3.0,2003-05-01,1.0,RMSE,0.006209752377552665
3.0,2003-05-01,1.0,R-Squared,-6.07897939602257
3.0,2003-05-01,2.0,RMSE,0.011125772348224292
3.0,2003-05-01,2.0,R-Squared,-22.977406261838095
3.0,2003-05-01,3.0,RMSE,0.013329298826363675
