ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1989-10-01,1989-11-01,1,8.016068000427873,7.827392677240661
1989-10-01,1989-12-01,2,7.995430629519993,7.831782891885726
1989-10-01,1990-01-01,3,7.974326322875692,8.041007248778948
1989-10-01,1990-02-01,4,7.952779142096632,8.029865271724184
1989-10-01,1990-03-01,5,7.930812554311671,8.064491743618445
1989-10-01,1990-04-01,6,7.908449443364657,8.110439531761493
1989-10-01,1990-05-01,7,7.885712120826082,8.038494236788978
1989-10-01,1990-06-01,8,7.862622336830586,7.97019238576377
1989-10-01,1990-07-01,9,7.839201290742346,7.712998261081414
1989-10-01,1990-08-01,10,7.815469641650368,7.66232530101714
1989-10-01,1990-09-01,11,7.79144751869571,7.404131367955429
1989-10-01,1990-10-01,12,7.76715453123267,7.366234926589821
1989-10-01,1990-11-01,13,7.742609778825979,7.295881916895787
1989-10-01,1990-12-01,14,7.717831861086035,6.656821152030615
1989-10-01,1991-01-01,15,,6.3641959856781725
1989-10-01,1991-02-01,16,,6.2156625663087475
1989-10-01,1991-03-01,17,,5.85275010106253
1989-10-01,1991-04-01,18,,5.630293805449339
1989-10-01,1991-05-01,19,,5.7096713306454525
1989-10-01,1991-06-01,20,,5.696357958754043
1989-10-01,1991-07-01,21,,5.63239308716088
1989-10-01,1991-08-01,22,,5.4475123072740415
1989-10-01,1991-09-01,23,,5.221197764038472
1989-10-01,1991-10-01,24,,4.947418923577481
1989-10-01,1991-11-01,25,,4.478348975034654
1989-10-01,1991-12-01,26,,3.9254791494106924
1989-10-01,1992-01-01,27,,3.896083522806338
1989-10-01,1992-02-01,28,,3.9367320296173176
1989-10-01,1992-03-01,29,,4.050676076176253
1989-10-01,1992-04-01,30,,3.6903759406519394
1989-10-01,1992-05-01,31,,3.7216101207695367
1989-10-01,1992-06-01,32,,3.6268583510075056
1989-10-01,1992-07-01,33,,3.2301176212882488
1989-10-01,1992-08-01,34,,3.239057198337461
1989-10-01,1992-09-01,35,,2.759939861204182
1989-10-01,1992-10-01,36,,3.036386429376627
1989-10-01,1992-11-01,37,,3.311858039637407
1989-10-01,1992-12-01,38,,3.1057517817486033
1989-10-01,1993-01-01,39,,2.9633575248754567
1989-10-01,1993-02-01,40,,3.0063821247446976
1989-10-01,1993-03-01,41,,2.950014039171028
1989-10-01,1993-04-01,42,,2.978288514045964
1989-10-01,1993-05-01,43,,3.1467173450517443
1989-10-01,1993-06-01,44,,3.0973665114149056
1989-10-01,1993-07-01,45,,3.117916922678263
1989-10-01,1993-08-01,46,,3.1009879086303687
1989-10-01,1993-09-01,47,,3.000696395669054
1989-10-01,1993-10-01,48,,3.1312917283833492
1989-10-01,1993-11-01,49,,3.2411332630950342
1989-10-01,1993-12-01,50,,3.0886073031849524
1989-10-01,1994-01-01,51,,3.060859495404469
1989-10-01,1994-02-01,52,,3.4589619214186764
1989-10-01,1994-03-01,53,,3.603264263014912
1989-10-01,1994-04-01,54,,4.055069112569138
1989-10-01,1994-05-01,55,,4.394596621365777
1989-10-01,1994-06-01,56,,4.362225809620411
1989-10-01,1994-07-01,57,,4.477390855102325
1989-10-01,1994-08-01,58,,4.736660532731167
1989-10-01,1994-09-01,59,,4.9463492387033305
1989-10-01,1994-10-01,60,,5.262141131529188
1989-12-01,1990-01-01,1,7.8149323247685,8.041007248778948
1989-12-01,1990-02-01,2,7.797463596081512,8.029865271724184
1989-12-01,1990-03-01,3,7.7794049874598645,8.064491743618445
1989-12-01,1990-04-01,4,7.760784090159866,8.110439531761493
1989-12-01,1990-05-01,5,7.741627818197769,8.038494236788978
1989-12-01,1990-06-01,6,7.721962421277325,7.97019238576377
1989-12-01,1990-07-01,7,7.701813497508588,7.712998261081414
1989-12-01,1990-08-01,8,7.681206005920434,7.66232530101714
1989-12-01,1990-09-01,9,7.6601642787692334,7.404131367955429
1989-12-01,1990-10-01,10,7.63871203364615,7.366234926589821
1989-12-01,1990-11-01,11,7.616872385385556,7.295881916895787
1989-12-01,1990-12-01,12,7.594667857777033,6.656821152030615
1989-12-01,1991-01-01,13,7.5724200406331645,6.3641959856781725
1989-12-01,1991-02-01,14,7.550138993358599,6.2156625663087475
1989-12-01,1991-03-01,15,7.527834492871673,5.85275010106253
1989-12-01,1991-04-01,16,7.5055160390302875,5.630293805449339
1989-12-01,1991-05-01,17,7.48319285997288,5.7096713306454525
1989-12-01,1991-06-01,18,7.460873917375538,5.696357958754043
1989-12-01,1991-07-01,19,7.4385679116263,5.63239308716088
1989-12-01,1991-08-01,20,7.416283286917714,5.4475123072740415
1989-12-01,1991-09-01,21,7.394028236258677,5.221197764038472
1989-12-01,1991-10-01,22,7.3718107064065945,4.947418923577481
1989-12-01,1991-11-01,23,7.349638402720906,4.478348975034654
1989-12-01,1991-12-01,24,7.327518793938985,3.9254791494106924
1989-12-01,1992-01-01,25,7.305737085947358,3.896083522806338
1989-12-01,1992-02-01,26,7.2842901025173905,3.9367320296173176
1989-12-01,1992-03-01,27,7.263174676228105,4.050676076176253
1989-12-01,1992-04-01,28,7.2423876487567656,3.6903759406519394
1989-12-01,1992-05-01,29,7.2219258711634815,3.7216101207695367
1989-12-01,1992-06-01,30,7.201786204169873,3.6268583510075056
1989-12-01,1992-07-01,31,7.181965518431873,3.2301176212882488
1989-12-01,1992-08-01,32,7.162460694806706,3.239057198337461
1989-12-01,1992-09-01,33,7.143268624614103,2.759939861204182
1989-12-01,1992-10-01,34,7.124386209891822,3.036386429376627
1989-12-01,1992-11-01,35,7.105810363645507,3.311858039637407
1989-12-01,1992-12-01,36,7.087538010092969,3.1057517817486033
1989-12-01,1993-01-01,37,7.06956608490291,2.9633575248754567
1989-12-01,1993-02-01,38,7.051891535428193,3.0063821247446976
1989-12-01,1993-03-01,39,7.03451132093367,2.950014039171028
1989-12-01,1993-04-01,40,7.017422412818649,2.978288514045964
1989-12-01,1993-05-01,41,7.0006217948340534,3.1467173450517443
1989-12-01,1993-06-01,42,6.98410646329432,3.0973665114149056
1989-12-01,1993-07-01,43,6.967873427284105,3.117916922678263
1989-12-01,1993-08-01,44,6.95191970885984,3.1009879086303687
1989-12-01,1993-09-01,45,6.93624234324621,3.000696395669054
1989-12-01,1993-10-01,46,6.920838379027589,3.1312917283833492
1989-12-01,1993-11-01,47,6.905704878334508,3.2411332630950342
1989-12-01,1993-12-01,48,6.8908389170252,3.0886073031849524
1989-12-01,1994-01-01,49,6.876126365557434,3.060859495404469
1989-12-01,1994-02-01,50,6.861568362936822,3.4589619214186764
1989-12-01,1994-03-01,51,6.847165972903112,3.603264263014912
1989-12-01,1994-04-01,52,6.832920185635869,4.055069112569138
1989-12-01,1994-05-01,53,6.818831919432424,4.394596621365777
1989-12-01,1994-06-01,54,6.804902022358474,4.362225809620411
1989-12-01,1994-07-01,55,6.791131273871693,4.477390855102325
1989-12-01,1994-08-01,56,6.777520386418709,4.736660532731167
1989-12-01,1994-09-01,57,6.764070007005822,4.9463492387033305
1989-12-01,1994-10-01,58,6.75078071874381,5.262141131529188
1989-12-01,1994-11-01,59,6.737653042367167,5.8489117845876395
1989-12-01,1994-12-01,60,6.72468743772813,5.936178643036312
1989-11-01,1989-12-01,1,7.807830533930352,7.831782891885726
1989-11-01,1990-01-01,2,7.787762377913327,8.041007248778948
1989-11-01,1990-02-01,3,7.767213657485434,8.029865271724184
1989-11-01,1990-03-01,4,7.7462091880566035,8.064491743618445
1989-11-01,1990-04-01,5,7.724773164267088,8.110439531761493
1989-11-01,1990-05-01,6,7.702929171907449,8.038494236788978
1989-11-01,1990-06-01,7,7.680700199644655,7.97019238576377
1989-11-01,1990-07-01,8,7.658108650556646,7.712998261081414
1989-11-01,1990-08-01,9,7.635176353477741,7.66232530101714
1989-11-01,1990-09-01,10,7.611924574157255,7.404131367955429
1989-11-01,1990-10-01,11,7.588374026233706,7.366234926589821
1989-11-01,1990-11-01,12,7.5645448820269685,7.295881916895787
1989-11-01,1990-12-01,13,7.540456783150771,6.656821152030615
1989-11-01,1991-01-01,14,7.516421198157267,6.3641959856781725
1989-11-01,1991-02-01,15,7.492445769742715,6.2156625663087475
1989-11-01,1991-03-01,16,7.468537904044544,5.85275010106253
1989-11-01,1991-04-01,17,7.444704775325039,5.630293805449339
1989-11-01,1991-05-01,18,7.420953330580331,5.7096713306454525
1989-11-01,1991-06-01,19,7.397290294075674,5.696357958754043
1989-11-01,1991-07-01,20,7.373722171807971,5.63239308716088
1989-11-01,1991-08-01,21,7.350255255896512,5.4475123072740415
1989-11-01,1991-09-01,22,7.3268956289028715,5.221197764038472
1989-11-01,1991-10-01,23,7.303649168080927,4.947418923577481
1989-11-01,1991-11-01,24,7.280521549557927,4.478348975034654
1989-11-01,1991-12-01,25,7.257518252447549,3.9254791494106924
1989-11-01,1992-01-01,26,7.234923500472042,3.896083522806338
1989-11-01,1992-02-01,27,7.212732227512915,3.9367320296173176
1989-11-01,1992-03-01,28,7.190939411149219,4.050676076176253
1989-11-01,1992-04-01,29,7.169540072429895,3.6903759406519394
1989-11-01,1992-05-01,30,7.148529275646937,3.7216101207695367
1989-11-01,1992-06-01,31,7.127902128109344,3.6268583510075056
1989-11-01,1992-07-01,32,7.107653779917831,3.2301176212882488
1989-11-01,1992-08-01,33,7.087779423740274,3.239057198337461
1989-11-01,1992-09-01,34,7.068274294587873,2.759939861204182
1989-11-01,1992-10-01,35,7.049133669591992,3.036386429376627
1989-11-01,1992-11-01,36,7.0303528677816765,3.311858039637407
1989-11-01,1992-12-01,37,7.011927249861804,3.1057517817486033
1989-11-01,1993-01-01,38,6.993852217991862,2.9633575248754567
1989-11-01,1993-02-01,39,6.976123215565326,3.0063821247446976
1989-11-01,1993-03-01,40,6.958735726989621,2.950014039171028
1989-11-01,1993-04-01,41,6.941685277466646,2.978288514045964
1989-11-01,1993-05-01,42,6.92496743277384,3.1467173450517443
1989-11-01,1993-06-01,43,6.908577799045784,3.0973665114149056
