ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1989-10-01,1989-11-01,1,8.007342940153103,7.827392677240661
1989-10-01,1989-12-01,2,7.977591230461532,7.831782891885726
1989-10-01,1990-01-01,3,7.946145313111853,8.041007248778948
1989-10-01,1990-02-01,4,7.913123345973408,8.029865271724184
1989-10-01,1990-03-01,5,7.878639317940338,8.064491743618445
1989-10-01,1990-04-01,6,7.8428031484178335,8.110439531761493
1989-10-01,1990-05-01,7,7.805720785255085,8.038494236788978
1989-10-01,1990-06-01,8,7.767494301130435,7.97019238576377
1989-10-01,1990-07-01,9,7.728221988395271,7.712998261081414
1989-10-01,1990-08-01,10,7.687998452384123,7.66232530101714
1989-10-01,1990-09-01,11,7.646914703199343,7.404131367955429
1989-10-01,1990-10-01,12,7.605058245979388,7.366234926589821
1989-10-01,1990-11-01,13,7.562513169660576,7.295881916895787
1989-10-01,1990-12-01,14,7.519360234242665,6.656821152030615
1989-10-01,1991-01-01,15,,6.3641959856781725
1989-10-01,1991-02-01,16,,6.2156625663087475
1989-10-01,1991-03-01,17,,5.85275010106253
1989-10-01,1991-04-01,18,,5.630293805449339
1989-10-01,1991-05-01,19,,5.7096713306454525
1989-10-01,1991-06-01,20,,5.696357958754043
1989-10-01,1991-07-01,21,,5.63239308716088
1989-10-01,1991-08-01,22,,5.4475123072740415
1989-10-01,1991-09-01,23,,5.221197764038472
1989-10-01,1991-10-01,24,,4.947418923577481
1989-10-01,1991-11-01,25,,4.478348975034654
1989-10-01,1991-12-01,26,,3.9254791494106924
1989-10-01,1992-01-01,27,,3.896083522806338
1989-10-01,1992-02-01,28,,3.9367320296173176
1989-10-01,1992-03-01,29,,4.050676076176253
1989-10-01,1992-04-01,30,,3.6903759406519394
1989-10-01,1992-05-01,31,,3.7216101207695367
1989-10-01,1992-06-01,32,,3.6268583510075056
1989-10-01,1992-07-01,33,,3.2301176212882488
1989-10-01,1992-08-01,34,,3.239057198337461
1989-10-01,1992-09-01,35,,2.759939861204182
1989-10-01,1992-10-01,36,,3.036386429376627
1989-10-01,1992-11-01,37,,3.311858039637407
1989-10-01,1992-12-01,38,,3.1057517817486033
1989-10-01,1993-01-01,39,,2.9633575248754567
1989-10-01,1993-02-01,40,,3.0063821247446976
1989-10-01,1993-03-01,41,,2.950014039171028
1989-10-01,1993-04-01,42,,2.978288514045964
1989-10-01,1993-05-01,43,,3.1467173450517443
1989-10-01,1993-06-01,44,,3.0973665114149056
1989-10-01,1993-07-01,45,,3.117916922678263
1989-10-01,1993-08-01,46,,3.1009879086303687
1989-10-01,1993-09-01,47,,3.000696395669054
1989-10-01,1993-10-01,48,,3.1312917283833492
1989-10-01,1993-11-01,49,,3.2411332630950342
1989-10-01,1993-12-01,50,,3.0886073031849524
1989-10-01,1994-01-01,51,,3.060859495404469
1989-10-01,1994-02-01,52,,3.4589619214186764
1989-10-01,1994-03-01,53,,3.603264263014912
1989-10-01,1994-04-01,54,,4.055069112569138
1989-10-01,1994-05-01,55,,4.394596621365777
1989-10-01,1994-06-01,56,,4.362225809620411
1989-10-01,1994-07-01,57,,4.477390855102325
1989-10-01,1994-08-01,58,,4.736660532731167
1989-10-01,1994-09-01,59,,4.9463492387033305
1989-10-01,1994-10-01,60,,5.262141131529188
1989-11-01,1989-12-01,1,7.79811796979491,7.831782891885726
1989-11-01,1990-01-01,2,7.767027069880003,8.041007248778948
1989-11-01,1990-02-01,3,7.7342459581484055,8.029865271724184
1989-11-01,1990-03-01,4,7.699896149274467,8.064491743618445
1989-11-01,1990-04-01,5,7.664094800154708,8.110439531761493
1989-11-01,1990-05-01,6,7.626954816312412,8.038494236788978
1989-11-01,1990-06-01,7,7.5885849565196235,7.97019238576377
1989-11-01,1990-07-01,8,7.549089935650439,7.712998261081414
1989-11-01,1990-08-01,9,7.508570525780159,7.66232530101714
1989-11-01,1990-09-01,10,7.467123655545524,7.404131367955429
1989-11-01,1990-10-01,11,7.424842507781784,7.366234926589821
1989-11-01,1990-11-01,12,7.381816615452783,7.295881916895787
1989-11-01,1990-12-01,13,7.3381319558907085,6.656821152030615
1989-11-01,1991-01-01,14,7.2946378208603315,6.3641959856781725
1989-11-01,1991-02-01,15,7.251371027954239,6.2156625663087475
1989-11-01,1991-03-01,16,7.2083664810884285,5.85275010106253
1989-11-01,1991-04-01,17,7.165657227286157,5.630293805449339
1989-11-01,1991-05-01,18,7.123274512382869,5.7096713306454525
1989-11-01,1991-06-01,19,7.081247835661508,5.696357958754043
1989-11-01,1991-07-01,20,7.039605003427713,5.63239308716088
1989-11-01,1991-08-01,21,6.998372181534578,5.4475123072740415
1989-11-01,1991-09-01,22,6.957573946866802,5.221197764038472
1989-11-01,1991-10-01,23,6.917233337794228,4.947418923577481
1989-11-01,1991-11-01,24,6.877371903604886,4.478348975034654
1989-11-01,1991-12-01,25,6.838009752927776,3.9254791494106924
1989-11-01,1992-01-01,26,6.799900595833236,3.896083522806338
1989-11-01,1992-02-01,27,6.763021231761107,3.9367320296173176
1989-11-01,1992-03-01,28,6.727348434867159,4.050676076176253
1989-11-01,1992-04-01,29,6.692858974278805,3.6903759406519394
1989-11-01,1992-05-01,30,6.65952963350756,3.7216101207695367
1989-11-01,1992-06-01,31,6.627337229037879,3.6268583510075056
1989-11-01,1992-07-01,32,6.596258628111788,3.2301176212882488
1989-11-01,1992-08-01,33,6.5662707657284765,3.239057198337461
1989-11-01,1992-09-01,34,6.537350660877808,2.759939861204182
1989-11-01,1992-10-01,35,6.509475432026472,3.036386429376627
1989-11-01,1992-11-01,36,6.482622311875258,3.311858039637407
1989-11-01,1992-12-01,37,6.456768661405745,3.1057517817486033
1989-11-01,1993-01-01,38,6.431891983234438,2.9633575248754567
1989-11-01,1993-02-01,39,6.407969934292189,3.0063821247446976
1989-11-01,1993-03-01,40,6.384980337846473,2.950014039171028
1989-11-01,1993-04-01,41,6.362901194883934,2.978288514045964
1989-11-01,1993-05-01,42,6.341710694870323,3.1467173450517443
1989-11-01,1993-06-01,43,6.3213872259047585,3.0973665114149056
1989-11-01,1993-07-01,44,6.301909384285027,3.117916922678263
1989-11-01,1993-08-01,45,6.283255983500372,3.1009879086303687
1989-11-01,1993-09-01,46,6.265406062668052,3.000696395669054
1989-11-01,1993-10-01,47,6.2483388944296525,3.1312917283833492
1989-11-01,1993-11-01,48,6.232033992322991,3.2411332630950342
1989-11-01,1993-12-01,49,6.216471117645127,3.0886073031849524
1989-11-01,1994-01-01,50,6.201336412426245,3.060859495404469
1989-11-01,1994-02-01,51,6.186626461856769,3.4589619214186764
1989-11-01,1994-03-01,52,6.172337602120617,3.603264263014912
1989-11-01,1994-04-01,53,6.158465934726722,4.055069112569138
1989-11-01,1994-05-01,54,6.145007340414624,4.394596621365777
1989-11-01,1994-06-01,55,6.131957492641129,4.362225809620411
1989-11-01,1994-07-01,56,6.119311870655137,4.477390855102325
1989-11-01,1994-08-01,57,6.10706577216765,4.736660532731167
1989-11-01,1994-09-01,58,6.095214325624071,4.9463492387033305
1989-11-01,1994-10-01,59,6.083752502085812,5.262141131529188
1989-11-01,1994-11-01,60,6.07267512672831,5.8489117845876395
1990-01-01,1990-02-01,1,8.018929436452675,8.029865271724184
1990-01-01,1990-03-01,2,7.99613800443648,8.064491743618445
1990-01-01,1990-04-01,3,7.972686714895951,8.110439531761493
1990-01-01,1990-05-01,4,7.948627473892879,8.038494236788978
1990-01-01,1990-06-01,5,7.924010370778407,7.97019238576377
1990-01-01,1990-07-01,6,7.898883717311887,7.712998261081414
