ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1989-10-01,1989-11-01,1,0.12228866847118598,0.20661683005265397
1989-10-01,1989-12-01,2,0.1860655200986643,0.2641869798848133
1989-10-01,1990-01-01,3,0.24511265153934197,0.5885151657058926
1989-10-01,1990-02-01,4,0.2998709137255816,0.6283790656456304
1989-10-01,1990-03-01,5,0.3504715997572907,0.5766017074268035
1989-10-01,1990-04-01,6,0.3969487984531991,0.9216906982957264
1989-10-01,1990-05-01,7,0.439882501060915,0.6890041478906238
1989-10-01,1990-06-01,8,0.47971500397492484,0.6793349594182309
1989-10-01,1990-07-01,9,0.5166746775311298,1.0971760198933347
1989-10-01,1990-08-01,10,0.5513326829954903,1.876039763094025
1989-10-01,1990-09-01,11,0.5835882708476037,2.0462354767593456
1989-10-01,1990-10-01,12,0.6134297000740534,2.0357328374619845
1989-10-01,1990-11-01,13,0.641033852855772,1.5441932887733472
1989-10-01,1990-12-01,14,0.6665646531469409,2.06641911707302
1989-10-01,1991-01-01,15,,2.4160151782727493
1989-10-01,1991-02-01,16,,2.5526587594477252
1989-10-01,1991-03-01,17,,2.956500851497077
1989-10-01,1991-04-01,18,,3.288720318023309
1989-10-01,1991-05-01,19,,3.3378829607543947
1989-10-01,1991-06-01,20,,3.4482001016388133
1989-10-01,1991-07-01,21,,3.501379597157597
1989-10-01,1991-08-01,22,,3.4907360030907593
1989-10-01,1991-09-01,23,,3.328610971927237
1989-10-01,1991-10-01,24,,3.848052734586415
1989-10-01,1991-11-01,25,,4.366856905034501
1989-10-01,1991-12-01,26,,4.173656676995725
1989-10-01,1992-01-01,27,,4.944275817142783
1989-10-01,1992-02-01,28,,4.74786064898036
1989-10-01,1992-03-01,29,,4.8607158288736825
1989-10-01,1992-04-01,30,,5.378763034184644
1989-10-01,1992-05-01,31,,5.0720358605598985
1989-10-01,1992-06-01,32,,5.093390829811837
1989-10-01,1992-07-01,33,,5.058157999522936
1989-10-01,1992-08-01,34,,5.09831589903202
1989-10-01,1992-09-01,35,,5.337797726916988
1989-10-01,1992-10-01,36,,5.370773581032498
1989-10-01,1992-11-01,37,,5.072514743350435
1989-10-01,1992-12-01,38,,5.0045084832031925
1989-10-01,1993-01-01,39,,4.852915538956887
1989-10-01,1993-02-01,40,,4.428163689326173
1989-10-01,1993-03-01,41,,4.43701992774098
1989-10-01,1993-04-01,42,,4.503575631390836
1989-10-01,1993-05-01,43,,4.199801130216027
1989-10-01,1993-06-01,44,,3.806649232874309
1989-10-01,1993-07-01,45,,3.735879608768938
1989-10-01,1993-08-01,46,,3.3471736256415228
1989-10-01,1993-09-01,47,,3.2938614042300043
1989-10-01,1993-10-01,48,,3.1622144972568265
1989-10-01,1993-11-01,49,,3.5691997494720535
1989-10-01,1993-12-01,50,,3.6371144489134988
1989-10-01,1994-01-01,51,,3.483642219650421
1989-10-01,1994-02-01,52,,3.5510499705230596
1989-10-01,1994-03-01,53,,4.011935790761724
1989-10-01,1994-04-01,54,,3.6384316567595634
1989-10-01,1994-05-01,55,,3.3036018550727984
