ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1989-12-01,1990-01-01,1,0.33075831504696857,0.5885151657058926
1989-12-01,1990-02-01,2,0.3962477151836625,0.6283790656456304
1989-12-01,1990-03-01,3,0.46057083346676175,0.5766017074268035
1989-12-01,1990-04-01,4,0.5236541103430942,0.9216906982957264
1989-12-01,1990-05-01,5,0.5854338682453952,0.6890041478906238
1989-12-01,1990-06-01,6,0.6458554771672774,0.6793349594182309
1989-12-01,1990-07-01,7,0.7048725855915653,1.0971760198933347
1989-12-01,1990-08-01,8,0.7624464116901404,1.876039763094025
1989-12-01,1990-09-01,9,0.8185450901087519,2.0462354767593456
1989-12-01,1990-10-01,10,0.8731430700149216,2.0357328374619845
1989-12-01,1990-11-01,11,0.9262205604232864,1.5441932887733472
1989-12-01,1990-12-01,12,0.9777630191228943,2.06641911707302
1989-12-01,1991-01-01,13,1.0264978748195608,2.4160151782727493
1989-12-01,1991-02-01,14,1.072568121788164,2.5526587594477252
1989-12-01,1991-03-01,15,1.1161079322538958,2.956500851497077
1989-12-01,1991-04-01,16,1.157243302858022,3.288720318023309
1989-12-01,1991-05-01,17,1.1960926507911525,3.3378829607543947
1989-12-01,1991-06-01,18,1.2327673635436285,3.4482001016388133
1989-12-01,1991-07-01,19,1.2673723059133433,3.501379597157597
1989-12-01,1991-08-01,20,1.3000062876261234,3.4907360030907593
1989-12-01,1991-09-01,21,1.3307624946609964,3.328610971927237
1989-12-01,1991-10-01,22,1.3597288871303868,3.848052734586415
1989-12-01,1991-11-01,23,1.3869885663419927,4.366856905034501
1989-12-01,1991-12-01,24,1.4126201134632528,4.173656676995725
1989-12-01,1992-01-01,25,1.4355196593085653,4.944275817142783
1989-12-01,1992-02-01,26,1.4558960732866857,4.74786064898036
1989-12-01,1992-03-01,27,1.4739427310191489,4.8607158288736825
1989-12-01,1992-04-01,28,1.4898386928484935,5.378763034184644
1989-12-01,1992-05-01,29,1.5037497909675206,5.0720358605598985
1989-12-01,1992-06-01,30,1.5158296323042495,5.093390829811837
1989-12-01,1992-07-01,31,1.5262205237394966,5.058157999522936
1989-12-01,1992-08-01,32,1.5350543257200198,5.09831589903202
1989-12-01,1992-09-01,33,1.5424532398561699,5.337797726916988
1989-12-01,1992-10-01,34,1.548530535656165,5.370773581032498
1989-12-01,1992-11-01,35,1.5533912211463305,5.072514743350435
1989-12-01,1992-12-01,36,1.5571326617554209,5.0045084832031925
1989-12-01,1993-01-01,37,1.5598451514988376,4.852915538956887
1989-12-01,1993-02-01,38,1.5616124401830915,4.428163689326173
1989-12-01,1993-03-01,39,1.562512220060004,4.43701992774098
1989-12-01,1993-04-01,40,1.5626165750919847,4.503575631390836
1989-12-01,1993-05-01,41,1.56199239574263,4.199801130216027
1989-12-01,1993-06-01,42,1.5607017619789798,3.806649232874309
1989-12-01,1993-07-01,43,1.5588022969617583,3.735879608768938
1989-12-01,1993-08-01,44,1.5563474937063169,3.3471736256415228
1989-12-01,1993-09-01,45,1.5533870168184971,3.2938614042300043
1989-12-01,1993-10-01,46,1.5499669812451002,3.1622144972568265
1989-12-01,1993-11-01,47,1.5461302098269865,3.5691997494720535
1989-12-01,1993-12-01,48,1.5419164713030136,3.6371144489134988
1989-12-01,1994-01-01,49,1.5378338244280634,3.483642219650421
1989-12-01,1994-02-01,50,1.5338611083080775,3.5510499705230596
1989-12-01,1994-03-01,51,1.5299794638728623,4.011935790761724
1989-12-01,1994-04-01,52,1.526172134868607,3.6384316567595634
1989-12-01,1994-05-01,53,1.522424284699676,3.3036018550727984
1989-12-01,1994-06-01,54,1.518722827883229,3.4580085149863864
1989-12-01,1994-07-01,55,1.5150562749764676,3.1915304992609244
1989-12-01,1994-08-01,56,1.511414589925239,2.9645517441366125
1989-12-01,1994-09-01,57,1.5077890588645284,3.1242857353103064
1989-12-01,1994-10-01,58,1.5041721694769845,3.0406941003882295
1989-12-01,1994-11-01,59,1.5005575000850926,2.1508827947746503
1989-12-01,1994-12-01,60,1.4969396177169734,1.5817934427148839
1990-03-01,1990-04-01,1,0.609142222380877,0.9216906982957264
1990-03-01,1990-05-01,2,0.6438488727765181,0.6890041478906238
1990-03-01,1990-06-01,3,0.6803650327097147,0.6793349594182309
1990-03-01,1990-07-01,4,0.7183666010719346,1.0971760198933347
1990-03-01,1990-08-01,5,0.7575593831840921,1.876039763094025
1990-03-01,1990-09-01,6,0.7976766779795086,2.0462354767593456
1990-03-01,1990-10-01,7,0.8384770546415369,2.0357328374619845
