ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1990-02-01,1990-03-01,1,0.9595475327370669,1.6196512277273807
1990-02-01,1990-04-01,2,1.0390053491672482,2.062556534019971
1990-02-01,1990-05-01,3,1.087396013539668,1.0081197557124713
1990-02-01,1990-06-01,4,1.1227084835823518,0.3264386515772397
1990-02-01,1990-07-01,5,1.1485311272639644,-0.7588913302971004
1990-02-01,1990-08-01,6,1.1865077465168097,-1.2513878714040996
1990-02-01,1990-09-01,7,1.2191882748709633,-0.7408997348118894
1990-02-01,1990-10-01,8,1.2338300531718958,-1.6037078968348606
1990-02-01,1990-11-01,9,1.2401342119945031,-0.9680971898948603
1990-02-01,1990-12-01,10,1.2451509077428207,-1.0266385005860936
1990-02-01,1991-01-01,11,1.2138695580319754,-1.2740079945094738
1990-02-01,1991-02-01,12,1.1911748088049878,-0.7751346268749875
1990-02-01,1991-03-01,13,1.1747935945953938,-0.29771916826951594
1990-02-01,1991-04-01,14,1.1630586657500177,-0.9727994441075547
1990-02-01,1991-05-01,15,1.1547470717016928,-1.250994204966524
1990-02-01,1991-06-01,16,1.1489617066787843,-0.6835941192351389
1990-02-01,1991-07-01,17,1.1450444368527373,-1.136599701596895
1990-02-01,1991-08-01,18,1.142512388906522,-2.1085998781299944
1990-02-01,1991-09-01,19,1.1410112248914734,-2.447259797606499
1990-02-01,1991-10-01,20,1.1402808746096202,-3.459851754339707
1990-02-01,1991-11-01,21,1.14013040418493,-3.9914559943904293
1990-02-01,1991-12-01,22,1.140419584997858,-3.7931949550272703
1990-02-01,1992-01-01,23,1.1405846879662818,-3.7637424648960716
1990-02-01,1992-02-01,24,1.140663809297409,-2.9445823401205002
1990-02-01,1992-03-01,25,1.1406847958297543,-2.265985803628291
1990-02-01,1992-04-01,26,1.1406679785762273,-2.4100317335164654
1990-02-01,1992-05-01,27,1.140628177467025,-2.8422680215235077
1990-02-01,1992-06-01,28,1.1405761715997231,-3.8378031174072085
1990-02-01,1992-07-01,29,1.1405197774991085,-4.002735660957742
1990-02-01,1992-08-01,30,1.140464639896301,-5.127956973419357
1990-02-01,1992-09-01,31,1.1404148116731219,-5.005130149426236
1990-02-01,1992-10-01,32,1.1403731791828746,-3.86325138393396
1990-02-01,1992-11-01,33,1.1403417741720885,-2.819974737694884
1990-02-01,1992-12-01,34,1.140322002536781,-2.808291897806063
1990-02-01,1993-01-01,35,1.1393333415560059,-3.5277552373034164
1990-02-01,1993-02-01,36,1.137638239604416,-3.89704534261046
1990-02-01,1993-03-01,37,1.1354290914657514,-3.5448358757673253
1990-02-01,1993-04-01,38,1.1328469164130137,-4.33223877121382
1990-02-01,1993-05-01,39,1.129995056469247,-2.8886919959686246
1990-02-01,1993-06-01,40,1.126949222532616,-2.946559896224945
1990-02-01,1993-07-01,41,1.1237648620719631,-2.4283531634248683
1990-02-01,1993-08-01,42,1.12048256249646,-2.706280219410719
1990-02-01,1993-09-01,43,1.1171320139137884,-2.2020302660568634
1990-02-01,1993-10-01,44,1.113734915362294,-2.0233503467767364
1990-02-01,1993-11-01,45,1.110307106200449,-2.317425416884381
1990-02-01,1993-12-01,46,1.1068601292365743,-1.7611203193425609
1990-02-01,1994-01-01,47,1.1041361276525894,-1.889445607493758
1990-02-01,1994-02-01,48,1.1019503803925252,-1.4298325931567903
1990-02-01,1994-03-01,49,1.1001672892417798,-0.6292201563625335
1990-02-01,1994-04-01,50,1.0986872831407681,0.4525732437996935
1990-02-01,1994-05-01,51,1.0974372139760058,0.6789205212887691
1990-02-01,1994-06-01,52,1.096363312975762,1.2041510050157664
1990-02-01,1994-07-01,53,1.0954260250200845,0.5191104309769662
1990-02-01,1994-08-01,54,1.094596220188961,0.4700259103935908
1990-02-01,1994-09-01,55,1.0938524153590996,1.1808172388152647
1990-02-01,1994-10-01,56,1.0931787365572574,0.9981575135605179
1990-02-01,1994-11-01,57,1.0925634245747644,2.555430709834532
1990-02-01,1994-12-01,58,1.091997739002696,4.2352787849926585
1990-02-01,1995-01-01,59,,1.9741336112955366
1990-02-01,1995-02-01,60,,0.7595413817340142
1990-08-01,1990-09-01,1,-0.5420551223371104,-0.7408997348118894
1990-08-01,1990-10-01,2,-0.026975783800290254,-1.6037078968348606
1990-08-01,1990-11-01,3,0.3500751597354088,-0.9680971898948603
1990-08-01,1990-12-01,4,0.630400016981767,-1.0266385005860936
1990-08-01,1991-01-01,5,0.8003640694688432,-1.2740079945094738
1990-08-01,1991-02-01,6,0.9217936665026951,-0.7751346268749875
1990-08-01,1991-03-01,7,1.0030849331373974,-0.29771916826951594
1990-08-01,1991-04-01,8,1.0686339528093836,-0.9727994441075547
1990-08-01,1991-05-01,9,1.1272227905133112,-1.250994204966524
1990-08-01,1991-06-01,10,1.1535624584683246,-0.6835941192351389
1990-08-01,1991-07-01,11,1.165430947771556,-1.136599701596895
1990-08-01,1991-08-01,12,1.1700110260013679,-2.1085998781299944
1990-08-01,1991-09-01,13,1.1692603352982007,-2.447259797606499
1990-08-01,1991-10-01,14,1.1646185315990576,-3.459851754339707
1990-08-01,1991-11-01,15,1.1571442454149716,-3.9914559943904293
