execution_date,forecast_date,horizon,prediction,actual
1956-06-01,1956-07-01,1,2.4651069010050906,2.3085781130993026
1956-06-01,1956-08-01,2,2.448970057853748,2.6058224299827426
1956-06-01,1956-09-01,3,2.4332454069006415,2.8697502903503658
1956-06-01,1956-10-01,4,2.4179224192953197,2.92033888999001
1956-06-01,1956-11-01,5,2.40299083513151,3.0182955606855293
1956-06-01,1956-12-01,6,2.388440656577329,3.2451580471966692
1956-06-01,1957-01-01,7,2.3742621411809743,3.1256970805062525
1956-06-01,1957-02-01,8,2.36044579534741,3.12102437557953
1956-06-01,1957-03-01,9,2.3469823679816844,3.1078112873726638
1956-06-01,1957-04-01,10,2.333862844294616,3.1102562614320965
1956-06-01,1957-05-01,11,2.3210784397667075,3.0884544954305455
1956-06-01,1957-06-01,12,2.3086205942662414,3.3101087367492994
1956-06-01,1957-07-01,13,2.29648096631762,3.214261592769625
1956-06-01,1957-08-01,14,2.284651427516112,3.4438208399579406
1956-06-01,1957-09-01,15,2.2731240570852687,3.5890341939687804
1956-06-01,1957-10-01,16,2.261891136573359,3.6115723235912616
1956-06-01,1957-11-01,17,2.250945144685282,3.3227845120957595
1956-06-01,1957-12-01,18,2.240278752246484,3.076807308661037
1956-06-01,1958-01-01,19,2.2298848172955203,2.4571561691858346
1956-06-01,1958-02-01,20,2.2197563803019684,1.48601320099466
1956-06-01,1958-03-01,21,2.2098866595064925,1.264739140825092
1956-06-01,1958-04-01,22,2.2002690463799395,1.0375402329037384
1956-06-01,1958-05-01,23,2.1908971011984257,0.8395235172348259
1956-06-01,1958-06-01,24,2.1817645487314525,0.7313258437084642
1956-06-01,1958-07-01,25,2.1728652740401606,0.8713643777835418
1956-06-01,1958-08-01,26,2.1641933183829143,1.7184077253901837
1956-06-01,1958-09-01,27,2.1557428752254695,2.4512910861321773
1956-06-01,1958-10-01,28,2.1475082863530583,2.629643412300532
1956-06-01,1958-11-01,29,2.139484038081783,2.651505603922397
1956-06-01,1958-12-01,30,2.1316647575667846,2.7755604125481783
1956-06-01,1959-01-01,31,2.1240452092047155,2.808166404098005
1956-06-01,1959-02-01,32,2.1166202911281036,2.7506661461652193
1956-06-01,1959-03-01,33,2.1093850317892646,2.8503660107621673
1956-06-01,1959-04-01,34,2.1023345866314713,3.003847732825606
