execution_date,indicator,metric,model,target_col,value
1989-10-01,beta1,coefficient,AR(1) + Inflation (UCSV),beta1,0.9531797239226256
1989-10-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta1,0.033277097941842027
1989-10-01,inflation,p_value,AR(1) + Inflation (UCSV),beta1,0.012022322142764767
1989-10-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta1,0.9658271038377152
1989-10-01,model,n_obs,AR(1) + Inflation (UCSV),beta1,425.0
1989-10-01,const,coefficient,AR(1) + Inflation (UCSV),beta1,0.1426472387578335
1989-10-01,const,p_value,AR(1) + Inflation (UCSV),beta1,0.01628419913738472
1989-10-01,beta1,p_value,AR(1) + Inflation (UCSV),beta1,1.6772240338154765e-231
1989-11-01,model,n_obs,AR(1) + Inflation (UCSV),beta1,426.0
1989-11-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta1,0.9658872815102907
1989-11-01,inflation,p_value,AR(1) + Inflation (UCSV),beta1,0.009363022682864723
1989-11-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta1,0.03484423445968769
1989-11-01,beta1,coefficient,AR(1) + Inflation (UCSV),beta1,0.9517304582174764
1989-11-01,const,p_value,AR(1) + Inflation (UCSV),beta1,0.0154664174583281
1989-11-01,const,coefficient,AR(1) + Inflation (UCSV),beta1,0.1435647361520714
1989-11-01,beta1,p_value,AR(1) + Inflation (UCSV),beta1,3.032865081797838e-230
1989-12-01,const,coefficient,AR(1) + Inflation (UCSV),beta1,0.14336106679957072
1989-12-01,model,n_obs,AR(1) + Inflation (UCSV),beta1,427.0
1989-12-01,inflation,p_value,AR(1) + Inflation (UCSV),beta1,0.010917005737851997
1989-12-01,inflation,coefficient,AR(1) + Inflation (UCSV),beta1,0.03377732590829721
1989-12-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV),beta1,0.9658971067923879
1989-12-01,beta1,coefficient,AR(1) + Inflation (UCSV),beta1,0.952617557238912
1989-12-01,const,p_value,AR(1) + Inflation (UCSV),beta1,0.0155239000250051
1989-12-01,beta1,p_value,AR(1) + Inflation (UCSV),beta1,6.532510317885878e-232
