Horizon,mse,r_squared,rmse
1,0.1032403803994277,0.9875582633344563,0.32131041128389803
2,0.24211316902395158,0.970598271985296,0.4920499659830814
3,0.4016145203485834,0.9508476777012023,0.6337306370600868
4,0.5978748004319243,0.9262071647112234,0.7732236419251058
5,0.8331567598264922,0.8962827685483372,0.9127742107588778
6,1.0931021720584801,0.8628919986166683,1.0455152662962317
7,1.3569885373446655,0.8284513851534099,1.1648985094610884
8,1.6448555928676616,0.7904430221340062,1.2825192368411718
9,1.96292285040702,0.7480004811390881,1.4010434862655121
10,2.301624894916595,0.7024722632732221,1.5171107062164564
11,2.650968185355053,0.6549568222681572,1.6281794082210512
12,2.9993294073368095,0.6072225239394506,1.7318572133223944
13,3.354811873906567,0.5579851447869043,1.8316145538585804
14,3.716378081613731,0.5074152148770865,1.9277909849394284
15,4.084951044043196,0.45453179107228103,2.0211261821180773
16,4.443951333917264,0.4048215919504543,2.108068152104496
17,4.803551108073095,0.3553055467649914,2.1917005060165256
18,5.145664306028681,0.30827656536954795,2.2684056749242805
19,5.480330657770337,0.2619401953759821,2.3410106060781395
20,5.804052927870262,0.2169119421653214,2.4091602121632056
21,6.116049431130887,0.17340429334090457,2.4730647850654632
22,6.416879723499515,0.1316049309551588,2.5331560795773154
23,6.696464342707635,0.09300028960112128,2.587752759192353
24,6.965971544442069,0.05620120577446652,2.6393127030426062
25,7.2139133999685665,0.023106439528139844,2.685872930718906
26,7.438540071681854,-0.005999721335488317,2.727368708422434
27,7.649563602656013,-0.03315403417261198,2.765784446166406
28,7.8420676449337865,-0.0577912834249239,2.800369197969044
29,8.015246583673042,-0.07992424380831076,2.831121082481822
30,8.170994042019945,-0.09916948937605863,2.858495065942907
31,8.317432374708293,-0.11713973778673159,2.883995904072732
32,8.447488538345766,-0.13273422773843757,2.906456354109892
33,8.565954322738994,-0.14628659587004078,2.9267651635788945
34,8.683654833395854,-0.15968137488458334,2.9468041728957584
35,8.781328740107346,-0.16996899582885328,2.963330683556485
36,8.87288237594916,-0.17957784902417018,2.978738386624304
37,8.962001025413146,-0.18906959986679261,2.9936601385950854
38,9.03904129205047,-0.1967143330179093,3.006499840686919
39,9.098752479841547,-0.2019062896578354,3.016413844259694
40,9.147185173506633,-0.20561108076149304,3.0244313801947356
41,9.183292280417666,-0.20762138948061915,3.0303947400326687
42,9.217781528892921,-0.20942056459481906,3.036079960885899
43,9.24709493052911,-0.21067031695257943,3.0409036371659512
44,9.274531376123893,-0.21161281643191487,3.0454115282049967
45,9.304415773689529,-0.21287818038444195,3.0503140450926574
46,9.338564512115024,-0.2146659606880803,3.0559064959705533
47,9.363997930895643,-0.2152147467604879,3.060065020697378
48,9.391536154722539,-0.21613911817405862,3.064561331532221
49,9.427462334886552,-0.21824279842843097,3.07041729002534
50,9.443082773994691,-0.21755810514023666,3.0729599369329064
51,9.465545869150164,-0.21771971639730237,3.0766127265468697
52,9.49810256802524,-0.21959347538083707,3.0818991820021044
53,9.531139879355564,-0.2217036211398169,3.0872544241373374
54,9.565620796087158,-0.22469518934238986,3.0928337808694404
55,9.615585205763779,-0.23031405083546685,3.1009007087882994
56,9.676569594153223,-0.23727728436922524,3.110718501271567
57,9.768567571933241,-0.2525772235515096,3.1254707760485045
58,9.86694947998958,-0.2691446079378095,3.1411700813533767
59,9.970130180193946,-0.28695642848104885,3.1575512949426408
60,10.081918428471507,-0.3070948926582726,3.175203682989724
