execution_date,forecast_date,horizon,rmse_row
1956-06-01,1956-07-01,1,0.2178660966635393
1956-06-01,1956-08-01,2,0.07860375244418893
1956-06-01,1956-09-01,3,0.37277114463134975
1956-06-01,1956-10-01,4,0.48637957257133557
1956-06-01,1956-11-01,5,0.6793984716861781
1956-06-01,1956-12-01,6,1.0331608885370116
1956-06-01,1957-01-01,7,1.0729195451955924
1956-06-01,1957-02-01,8,1.2595157534701773
1956-06-01,1957-03-01,9,1.4698009615490357
1956-06-01,1957-04-01,10,1.7268147535546803
1956-06-01,1957-05-01,11,1.9911383148887771
1956-06-01,1957-06-01,12,2.531619027762846
1956-06-01,1957-07-01,13,2.832199102726243
1956-06-01,1957-08-01,14,3.453277845020018
1956-06-01,1957-09-01,15,3.99654841930595
1956-06-01,1957-10-01,16,4.422181247715858
1956-06-01,1957-11-01,17,4.541810372245105
1956-06-01,1957-12-01,18,4.709612143304716
1956-06-01,1958-01-01,19,4.509176612841827
1956-06-01,1958-02-01,20,3.962756741412952
1956-06-01,1958-03-01,21,4.171785700672263
1956-06-01,1958-04-01,22,4.380543031708171
1956-06-01,1958-05-01,23,4.624210046703231
1956-06-01,1958-06-01,24,4.963498841793292
1956-06-01,1958-07-01,25,5.5569028174852955
1956-06-01,1958-08-01,26,6.863267816283452
1956-06-01,1958-09-01,27,8.061507289086146
1956-06-01,1958-10-01,28,8.711329467525687
1956-06-01,1958-11-01,29,9.210855572524105
1956-06-01,1958-12-01,30,9.818849731763907
1956-06-01,1959-01-01,31,10.341752956397979
1956-06-01,1959-02-01,32,10.780991342398698
1956-06-01,1959-03-01,33,11.383955887533824
1956-06-01,1959-04-01,34,12.047314064288999
1956-06-01,1959-05-01,35,12.499082434357652
1956-06-01,1959-06-01,36,13.321295348686489
1956-06-01,1959-07-01,37,13.91851375391731
1956-06-01,1959-08-01,38,14.625088143173752
1956-06-01,1959-09-01,39,15.840429875258463
1956-06-01,1959-10-01,40,16.376313047751047
1956-06-01,1959-11-01,41,17.010596376480194
1956-06-01,1959-12-01,42,17.912428829985423
1956-06-01,1960-01-01,43,18.366635324265467
1956-06-01,1960-02-01,44,18.54448016807089
1956-06-01,1960-03-01,45,18.470603783350477
1956-06-01,1960-04-01,46,19.01154727041946
1956-06-01,1960-05-01,47,19.672938771161157
1956-06-01,1960-06-01,48,19.407708423306183
1956-06-01,1960-07-01,49,19.906920055387197
1956-06-01,1960-08-01,50,20.50477693393105
1956-06-01,1960-09-01,51,21.33120012189415
1956-06-01,1960-10-01,52,21.78933107959554
1956-06-01,1960-11-01,53,22.504114749677555
1956-06-01,1960-12-01,54,23.030659440486748
1956-06-01,1961-01-01,55,23.683395154091567
1956-06-01,1961-02-01,56,24.537005590962377
1956-06-01,1961-03-01,57,25.203620573622448
1956-06-01,1961-04-01,58,25.824449665098175
1956-06-01,1961-05-01,59,26.545598784642706
1956-06-01,1961-06-01,60,27.272603972635114
1956-07-01,1956-08-01,1,0.3658640261576771
1956-07-01,1956-09-01,2,0.7102061873788981
1956-07-01,1956-10-01,3,0.851470515697855
1956-07-01,1956-11-01,4,1.0504811520359554
1956-07-01,1956-12-01,5,1.3892179530622812
1956-07-01,1957-01-01,6,1.391833657472286
1956-07-01,1957-02-01,7,1.5165863219573037
1956-07-01,1957-03-01,8,1.6382233321043995
1956-07-01,1957-04-01,9,1.779022709693404
1956-07-01,1957-05-01,10,1.898177753146003
1956-07-01,1957-06-01,11,2.2620173898386513
1956-07-01,1957-07-01,12,2.313368993158819
1956-07-01,1957-08-01,13,2.7057586055193243
1956-07-01,1957-09-01,14,3.0203586042202417
1956-07-01,1957-10-01,15,3.2194643830093823
1956-07-01,1957-11-01,16,3.1147167675153082
1956-07-01,1957-12-01,17,3.06056901339594
1956-07-01,1958-01-01,18,2.640866229808204
1956-07-01,1958-02-01,19,1.8781341457484015
1956-07-01,1958-03-01,20,1.8740916623400692
1956-07-01,1958-04-01,21,1.8733183470119494
1956-07-01,1958-05-01,22,1.91131036334034
1956-07-01,1958-06-01,23,2.0491101538861525
1956-07-01,1958-07-01,24,2.445557642908847
1956-07-01,1958-08-01,25,3.559862087800783
1956-07-01,1958-09-01,26,4.571317989570963
1956-07-01,1958-10-01,27,5.040033041190758
1956-07-01,1958-11-01,28,5.364547145382347
1956-07-01,1958-12-01,29,5.804063175966629
1956-07-01,1959-01-01,30,6.165481834565518
1956-07-01,1959-02-01,31,6.45071076959243
1956-07-01,1959-03-01,32,6.907645350117397
1956-07-01,1959-04-01,33,7.433481236593025
1956-07-01,1959-05-01,34,7.756788035799273
1956-07-01,1959-06-01,35,8.46017908580586
1956-07-01,1959-07-01,36,8.948821393680468
1956-07-01,1959-08-01,37,9.557699765858684
1956-07-01,1959-09-01,38,10.686889357291852
1956-07-01,1959-10-01,39,11.14885882700078
1956-07-01,1959-11-01,40,11.722193554736759
1956-07-01,1959-12-01,41,12.57680266968785
1956-07-01,1960-01-01,42,12.998306198948296
1956-07-01,1960-02-01,43,13.158800028532067
1956-07-01,1960-03-01,44,13.083794204170307
1956-07-01,1960-04-01,45,13.640739144202492
1956-07-01,1960-05-01,46,14.33621372073061
1956-07-01,1960-06-01,47,14.12414200505939
1956-07-01,1960-07-01,48,14.696626830125558
1956-07-01,1960-08-01,49,15.388957484714387
1956-07-01,1960-09-01,50,16.33219010184305
1956-07-01,1960-10-01,51,16.930652376081632
1956-07-01,1960-11-01,52,17.810528855006954
1956-07-01,1960-12-01,53,18.52822312300264
1956-07-01,1961-01-01,54,19.39951852760407
1956-07-01,1961-02-01,55,20.50051268456498
1956-07-01,1961-03-01,56,21.444812508281025
1956-07-01,1961-04-01,57,22.375170547908574
1956-07-01,1961-05-01,58,23.439304436353964
1956-07-01,1961-06-01,59,24.544433608935265
1956-07-01,1961-07-01,60,25.57476068902837
1956-08-01,1956-09-01,1,0.25327925909733784
1956-08-01,1956-10-01,2,0.2930284644390011
1956-08-01,1956-11-01,3,0.3793772268927733
1956-08-01,1956-12-01,4,0.5938505747749283
1956-08-01,1957-01-01,5,0.46086177701324216
1956-08-01,1957-02-01,6,0.4406980889116947
1956-08-01,1957-03-01,7,0.40916155151762545
1956-08-01,1957-04-01,8,0.389535919156625
1956-08-01,1957-05-01,9,0.3409875243667049
1956-08-01,1957-06-01,10,0.530327333204903
1956-08-01,1957-07-01,11,0.39627263821910175
1956-08-01,1957-08-01,12,0.5826914587132732
1956-08-01,1957-09-01,13,0.6837692598382077
1956-08-01,1957-10-01,14,0.6626913883108849
1956-08-01,1957-11-01,15,0.33091924110500015
1956-08-01,1957-12-01,16,0.042589630885295104
1956-08-01,1958-01-01,17,0.6187905254188428
1956-08-01,1958-02-01,18,1.6310482362507186
1956-08-01,1958-03-01,19,1.8928318025392763
1956-08-01,1958-04-01,20,2.1599438891621108
1956-08-01,1958-05-01,21,2.397286234428685
1956-08-01,1958-06-01,22,2.5442306375683863
1956-08-01,1958-07-01,23,2.4423684549231877
1956-08-01,1958-08-01,24,1.6329394769173096
1956-08-01,1958-09-01,25,0.937116776701286
1956-08-01,1958-10-01,26,0.7952795529578638
1956-08-01,1958-11-01,27,0.8093949366457798
1956-08-01,1958-12-01,28,0.7207880889789458
1956-08-01,1959-01-01,29,0.7231082403202844
1956-08-01,1959-02-01,30,0.8150205045929204
1956-08-01,1959-03-01,31,0.749226078223836
1956-08-01,1959-04-01,32,0.6291506833030307
1956-08-01,1959-05-01,33,0.7268719693401606
1956-08-01,1959-06-01,34,0.4604508296333636
1956-08-01,1959-07-01,35,0.4254226114123658
1956-08-01,1959-08-01,36,0.2875341818102215
1956-08-01,1959-09-01,37,0.3525273743989281
1956-08-01,1959-10-01,38,0.30643661078343554
1956-08-01,1959-11-01,39,0.3519515814294878
1956-08-01,1959-12-01,40,0.658119457920618
1956-08-01,1960-01-01,41,0.5096622064153693
1956-08-01,1960-02-01,42,0.07774001507762662
1956-08-01,1960-03-01,43,0.6131120035339968
1956-08-01,1960-04-01,44,0.6964592655527468
1956-08-01,1960-05-01,45,0.6667813710579273
1956-08-01,1960-06-01,46,1.5712571684557597
1956-08-01,1960-07-01,47,1.7189330783921544
1956-08-01,1960-08-01,48,1.7757173656388852
1956-08-01,1960-09-01,49,1.6118017999505736
1956-08-01,1960-10-01,50,1.824159074641364
1956-08-01,1960-11-01,51,1.7879597413549058
1956-08-01,1960-12-01,52,1.9482123466382042
1956-08-01,1961-01-01,53,1.9906051241064668
1956-08-01,1961-02-01,54,1.8405740101767876
1956-08-01,1961-03-01,55,1.8861102410655746
1956-08-01,1961-04-01,56,1.9861267552250723
1956-08-01,1961-05-01,57,1.994641598748363
1956-08-01,1961-06-01,58,2.006244181844449
1956-08-01,1961-07-01,59,2.138616994182876
1956-08-01,1961-08-01,60,2.0142368936165336
1956-09-01,1956-10-01,1,0.029328756791074273
1956-09-01,1956-11-01,2,0.00841561113702971
1956-09-01,1956-12-01,3,0.14431281413585717
1956-09-01,1957-01-01,4,0.04619784032378016
1956-09-01,1957-02-01,5,0.11845653096623376
1956-09-01,1957-03-01,6,0.19541486559570975
1956-09-01,1957-04-01,7,0.2524852075003219
1956-09-01,1957-05-01,8,0.32914876309934815
1956-09-01,1957-06-01,9,0.1574397275760857
1956-09-01,1957-07-01,10,0.29846704379902667
1956-09-01,1957-08-01,11,0.1098294812489109
1956-09-01,1957-09-01,12,0.001601116123497448
1956-09-01,1957-10-01,13,0.014956844932402902
1956-09-01,1957-11-01,14,0.3386222835171697
1956-09-01,1957-12-01,15,0.618492899404004
1956-09-01,1958-01-01,16,1.271081256587518
1956-09-01,1958-02-01,17,2.274232242420494
1956-09-01,1958-03-01,18,2.526611335478183
1956-09-01,1958-04-01,19,2.784037765929746
1956-09-01,1958-05-01,20,3.011429249400855
1956-09-01,1958-06-01,21,3.1481729932374574
1956-09-01,1958-07-01,22,3.0358752105325952
1956-09-01,1958-08-01,23,2.215790014370992
1956-09-01,1958-09-01,24,1.509104283233004
1956-09-01,1958-10-01,25,1.3562105200624814
1956-09-01,1958-11-01,26,1.3590886747891857
1956-09-01,1958-12-01,27,1.2590762576172838
1956-09-01,1959-01-01,28,1.2498343927727817
1956-09-01,1959-02-01,29,1.3300396473257927
1956-09-01,1959-03-01,30,1.2524042441155814
1956-09-01,1959-04-01,31,1.120364518473894
1956-09-01,1959-05-01,32,1.2060083331406495
1956-09-01,1959-06-01,33,0.9274064073984554
1956-09-01,1959-07-01,34,0.8801035395994736
1956-09-01,1959-08-01,35,0.7298556851500773
1956-09-01,1959-09-01,36,0.07735866590146845
1956-09-01,1959-10-01,37,0.110946325469361
1956-09-01,1959-11-01,38,0.05286867802247919
1956-09-01,1959-12-01,39,0.2659136980626533
1956-09-01,1960-01-01,40,0.13011532696503192
1956-09-01,1960-02-01,41,0.2891107471542149
1956-09-01,1960-03-01,42,0.967236267464576
1956-09-01,1960-04-01,43,1.037833226962099
1956-09-01,1960-05-01,44,0.9953875328487025
1956-09-01,1960-06-01,45,1.887084079762194
1956-09-01,1960-07-01,46,2.0219750822703095
1956-09-01,1960-08-01,47,2.065974355078097
1956-09-01,1960-09-01,48,1.889278981953638
1956-09-01,1960-10-01,49,2.0888667421283866
1956-09-01,1960-11-01,50,2.039913052652898
1956-09-01,1960-12-01,51,2.1874311123254886
1956-09-01,1961-01-01,52,2.2171136009877044
1956-09-01,1961-02-01,53,2.0544007021710247
1956-09-01,1961-03-01,54,2.08728770679607
1956-09-01,1961-04-01,55,2.1746914221058846
1956-09-01,1961-05-01,56,2.170633583368677
1956-09-01,1961-06-01,57,2.1697071164574786
1956-09-01,1961-07-01,58,2.2895978591118564
1956-09-01,1961-08-01,59,2.1527858553958237
1956-09-01,1961-09-01,60,2.2552942958586284
1956-10-01,1956-11-01,1,0.005821568132570842
1956-10-01,1956-12-01,2,0.1448511897394602
1956-10-01,1957-01-01,3,0.057885462793572096
1956-10-01,1957-02-01,4,0.1404270006834114
1956-10-01,1957-03-01,5,0.22548260613006343
1956-10-01,1957-04-01,6,0.28789997173399984
1956-10-01,1957-05-01,7,0.36613599592269486
1956-10-01,1957-06-01,8,0.19198362330720453
1956-10-01,1957-07-01,9,0.32640869328375466
1956-10-01,1957-08-01,10,0.1281096445709613
1956-10-01,1957-09-01,11,0.0078619807533018
1956-10-01,1957-10-01,12,0.004641988135464459
1956-10-01,1957-11-01,13,0.3116085383369791
1956-10-01,1957-12-01,14,0.5750017688395634
1956-10-01,1958-01-01,15,1.2113624011765118
1956-10-01,1958-02-01,16,2.198538845885773
1956-10-01,1958-03-01,17,2.4351978579827245
1956-10-01,1958-04-01,18,2.677159435755829
1956-10-01,1958-05-01,19,2.889341709758371
1956-10-01,1958-06-01,20,3.011131981768759
1956-10-01,1958-07-01,21,2.8841362610629684
1956-10-01,1958-08-01,22,2.0496081790835046
1956-10-01,1958-09-01,23,1.3287338741551937
1956-10-01,1958-10-01,24,1.1619048688521172
1956-10-01,1958-11-01,25,1.1510999098573893
1956-10-01,1958-12-01,26,1.0376550976727401
1956-10-01,1959-01-01,27,1.0152299559138962
1956-10-01,1959-02-01,28,1.0824992748488822
1956-10-01,1959-03-01,29,0.992173338246555
1956-10-01,1959-04-01,30,0.8476863932685017
1956-10-01,1959-05-01,31,0.9211240778343206
1956-10-01,1959-06-01,32,0.6305547615210965
1956-10-01,1959-07-01,33,0.5715207792033801
1956-10-01,1959-08-01,34,0.40977551953045266
1956-10-01,1959-09-01,35,0.25398785578103267
1956-10-01,1959-10-01,36,0.23143824728735618
1956-10-01,1959-11-01,37,0.3003284602239398
1956-10-01,1959-12-01,38,0.6297008025539372
1956-10-01,1960-01-01,39,0.5042727439187153
1956-10-01,1960-02-01,40,0.0952003257116747
1956-10-01,1960-03-01,41,0.5729851531499279
1956-10-01,1960-04-01,42,0.6338526052206155
1956-10-01,1960-05-01,43,0.581884825010619
1956-10-01,1960-06-01,44,1.4642635679451455
1956-10-01,1960-07-01,45,1.5900378882311026
1956-10-01,1960-08-01,46,1.625118424098548
1956-10-01,1960-09-01,47,1.4396990714389806
1956-10-01,1960-10-01,48,1.6307544146130715
1956-10-01,1960-11-01,49,1.573456672924197
1956-10-01,1960-12-01,50,1.712815848390154
1956-10-01,1961-01-01,51,1.7345214286211137
1956-10-01,1961-02-01,52,1.564010412801732
1956-10-01,1961-03-01,53,1.589274918491577
1956-10-01,1961-04-01,54,1.6692285934377007
1956-10-01,1961-05-01,55,1.6578900299464538
1956-10-01,1961-06-01,56,1.6498490299331352
1956-10-01,1961-07-01,57,1.7627883284652461
1956-10-01,1961-08-01,58,1.6191848903236092
1956-10-01,1961-09-01,59,1.7150588520976777
1956-10-01,1961-10-01,60,1.682494050152659
1956-11-01,1956-12-01,1,0.13665488767522405
1956-11-01,1957-01-01,2,0.0694492179546069
1956-11-01,1957-02-01,3,0.15642908944030198
1956-11-01,1957-03-01,4,0.24704690940686147
1956-11-01,1957-04-01,5,0.31623226908288293
1956-11-01,1957-05-01,6,0.4032492657344462
1956-11-01,1957-06-01,7,0.24010625258279283
1956-11-01,1957-07-01,8,0.38780635714531986
1956-11-01,1957-08-01,9,0.20402336368364749
1956-11-01,1957-09-01,10,0.09849131123499699
1956-11-01,1957-10-01,11,0.10958486438781634
1956-11-01,1957-11-01,12,0.42658178648855793
1956-11-01,1957-12-01,13,0.6971417609701707
1956-11-01,1958-01-01,14,1.3402217018917448
1956-11-01,1958-02-01,15,2.3339157224042486
1956-11-01,1958-03-01,16,2.5769184439496158
1956-11-01,1958-04-01,17,2.825055865401538
1956-11-01,1958-05-01,18,3.043249905405463
1956-11-01,1958-06-01,19,3.170891408566051
1956-11-01,1958-07-01,20,3.0495898759957685
1956-11-01,1958-08-01,21,2.2206023968261555
1956-11-01,1958-09-01,22,1.5051185322285172
1956-11-01,1958-10-01,23,1.343533190554659
1956-11-01,1958-11-01,24,1.3378284650289496
1956-11-01,1958-12-01,25,1.229343761494785
1956-11-01,1959-01-01,26,1.2117418659536585
1956-11-01,1959-02-01,27,1.2837007865424517
1956-11-01,1959-03-01,28,1.1979339790039907
1956-11-01,1959-04-01,29,1.0578788153722471
1956-11-01,1959-05-01,30,1.1356240102910742
1956-11-01,1959-06-01,31,0.8492409610167697
1956-11-01,1959-07-01,32,0.7942749803008233
1956-11-01,1959-08-01,33,0.6364823842402134
1956-11-01,1959-09-01,34,0.02344078893553725
1956-11-01,1959-10-01,35,0.002839385402720218
1956-11-01,1959-11-01,36,0.06242712441000986
1956-11-01,1959-12-01,37,0.38827990457147
1956-11-01,1960-01-01,38,0.25943375486215725
1956-11-01,1960-02-01,39,0.15295790126514763
1956-11-01,1960-03-01,40,0.8243663309753706
1956-11-01,1960-04-01,41,0.8883629611801904
1956-11-01,1960-05-01,42,0.8394330492213773
1956-11-01,1960-06-01,43,1.7247607620902148
1956-11-01,1960-07-01,44,1.8533975146101578
1956-11-01,1960-08-01,45,1.8912562550453305
1956-11-01,1960-09-01,46,1.7085331391525895
1956-11-01,1960-10-01,47,1.9022049614456265
1956-11-01,1960-11-01,48,1.8474461021635862
1956-11-01,1960-12-01,49,1.9892686755729416
1956-11-01,1961-01-01,50,2.0133642334072555
1956-11-01,1961-02-01,51,1.8451717914395447
1956-11-01,1961-03-01,52,1.8726854368983834
1956-11-01,1961-04-01,53,1.9548207409187688
1956-11-01,1961-05-01,54,1.9455981735721912
1956-11-01,1961-06-01,55,1.9396093695920356
1956-11-01,1961-07-01,56,2.054538852607776
1956-11-01,1961-08-01,57,1.9128653324100537
1956-11-01,1961-09-01,58,2.0106106477609575
1956-11-01,1961-10-01,59,1.9798602950852429
1956-11-01,1961-11-01,60,1.818390220725886
1956-12-01,1957-01-01,1,0.22234620654528037
1956-12-01,1957-02-01,2,0.3195888064223964
1956-12-01,1957-03-01,3,0.41483874463528236
1956-12-01,1957-04-01,4,0.48364521803941507
1956-12-01,1957-05-01,5,0.56543206753142
1956-12-01,1957-06-01,6,0.3925538582114898
1956-12-01,1957-07-01,7,0.5264614851701972
1956-12-01,1957-08-01,8,0.324758567851982
1956-12-01,1957-09-01,9,0.1977589936717825
1956-12-01,1957-10-01,10,0.18458009826453958
1956-12-01,1957-11-01,11,0.4750079607528228
1956-12-01,1957-12-01,12,0.7155646566194616
1956-12-01,1958-01-01,13,1.3310464141316314
1956-12-01,1958-02-01,14,2.298369266601661
1956-12-01,1958-03-01,15,2.516089944488595
1956-12-01,1958-04-01,16,2.739979692879922
1956-12-01,1958-05-01,17,2.9349144071560724
1956-12-01,1958-06-01,18,3.04024162405225
1956-12-01,1958-07-01,19,2.8975296565003164
1956-12-01,1958-08-01,20,2.0479963751401615
1956-12-01,1958-09-01,21,1.3127939852656443
1956-12-01,1958-10-01,22,1.1322818039962321
1956-12-01,1958-11-01,23,1.1084080058825703
1956-12-01,1958-12-01,24,0.9824796638536144
1956-12-01,1959-01-01,25,0.948128734898225
1956-12-01,1959-02-01,26,1.004003824822704
1956-12-01,1959-03-01,27,0.9027903408564861
1956-12-01,1959-04-01,28,0.7478988915628046
1956-12-01,1959-05-01,29,0.8113926482255778
1956-12-01,1959-06-01,30,0.5113186235309688
1956-12-01,1959-07-01,31,0.443198846522884
1956-12-01,1959-08-01,32,0.27276739571647246
1956-12-01,1959-09-01,33,0.3993009338515998
1956-12-01,1959-10-01,34,0.3846925152712193
1956-12-01,1959-11-01,35,0.461176778713285
1956-12-01,1959-12-01,36,0.7978118534311647
1956-12-01,1960-01-01,37,0.6793302682225519
1956-12-01,1960-02-01,38,0.27690240071747896
1956-12-01,1960-03-01,39,0.3849267997975101
1956-12-01,1960-04-01,40,0.4397132463575253
1956-12-01,1960-05-01,41,0.38192735170156045
1956-12-01,1960-06-01,42,1.2587390759340713
1956-12-01,1960-07-01,43,1.3791862347931194
1956-12-01,1960-08-01,44,1.4091687568938944
1956-12-01,1960-09-01,45,1.2188703308772992
1956-12-01,1960-10-01,46,1.4052558111493947
1956-12-01,1960-11-01,47,1.3434881406265533
1956-12-01,1960-12-01,48,1.4785684760421343
1956-12-01,1961-01-01,49,1.4961778695507975
1956-12-01,1961-02-01,50,1.3217452745607812
1956-12-01,1961-03-01,51,1.3432551334447687
1956-12-01,1961-04-01,52,1.4196137712634567
1956-12-01,1961-05-01,53,1.40483279299277
1956-12-01,1961-06-01,54,1.3934953323205166
1956-12-01,1961-07-01,55,1.5032777597785896
1956-12-01,1961-08-01,56,1.3566509646882485
1956-12-01,1961-09-01,57,1.4496292833908502
1956-12-01,1961-10-01,58,1.414291014060277
1956-12-01,1961-11-01,59,1.2484051957432531
1956-12-01,1961-12-01,60,1.1242882155240967
1957-01-01,1957-02-01,1,0.09790310288990733
1957-01-01,1957-03-01,2,0.1983278515875817
1957-01-01,1957-04-01,3,0.27638289616755474
1957-01-01,1957-05-01,4,0.3717038909527668
1957-01-01,1957-06-01,5,0.21610075938774465
1957-01-01,1957-07-01,6,0.37073929106160763
1957-01-01,1957-08-01,7,0.192815223339458
1957-01-01,1957-09-01,8,0.09218256537134151
1957-01-01,1957-10-01,9,0.10724997130767777
1957-01-01,1957-11-01,10,0.4273867269629461
1957-01-01,1957-12-01,11,0.6983278115112483
1957-01-01,1958-01-01,12,1.337127274537182
1957-01-01,1958-02-01,13,2.3241322625570238
1957-01-01,1958-03-01,14,2.560269213921063
1957-01-01,1958-04-01,15,2.8015119236171295
1957-01-01,1958-05-01,16,3.0128055272254506
1957-01-01,1958-06-01,17,3.1335554742224403
1957-01-01,1958-07-01,18,3.005384171491336
1957-01-01,1958-08-01,19,2.1695604008608442
1957-01-01,1958-09-01,20,1.44728430856467
1957-01-01,1958-10-01,21,1.2789603590614949
1957-01-01,1958-11-01,22,1.2665792453491536
1957-01-01,1958-12-01,23,1.151488084712259
1957-01-01,1959-01-01,24,1.1273565499737184
1957-01-01,1959-02-01,25,1.1928687711535422
1957-01-01,1959-03-01,26,1.1007436168302256
1957-01-01,1959-04-01,27,0.9544232151523566
1957-01-01,1959-05-01,28,1.02600042913256
1957-01-01,1959-06-01,29,0.7335502424749683
1957-01-01,1959-07-01,30,0.6726210353218645
1957-01-01,1959-08-01,31,0.5089717121851893
1957-01-01,1959-09-01,32,0.15669954179990198
1957-01-01,1959-10-01,33,0.13605706159792863
1957-01-01,1959-11-01,34,0.20684951226427328
1957-01-01,1959-12-01,35,0.5381154566482937
1957-01-01,1960-01-01,36,0.4145689859427639
1957-01-01,1960-02-01,37,0.0073631031833159
1957-01-01,1960-03-01,38,0.6589736158383412
1957-01-01,1960-04-01,39,0.7180125148172598
1957-01-01,1960-05-01,40,0.6642385491532203
1957-01-01,1960-06-01,41,1.5448353852233616
1957-01-01,1960-07-01,42,1.6688537572285909
1957-01-01,1960-08-01,43,1.702205770162942
1957-01-01,1960-09-01,44,1.5150865900050499
1957-01-01,1960-10-01,45,1.704471889976828
1957-01-01,1960-11-01,46,1.6455348114339077
1957-01-01,1960-12-01,47,1.7832861250843717
1957-01-01,1961-01-01,48,1.8034159464041792
1957-01-01,1961-02-01,49,1.6313617733039383
1957-01-01,1961-03-01,50,1.6551161038145472
1957-01-01,1961-04-01,51,1.733592858035708
1957-01-01,1961-05-01,52,1.7208108019415795
1957-01-01,1961-06-01,53,1.7113598212065013
1957-01-01,1961-07-01,54,1.8229226529082383
1957-01-01,1961-08-01,55,1.6779761896721728
1957-01-01,1961-09-01,56,1.7725404288095783
1957-01-01,1961-10-01,57,1.738699006822186
1957-01-01,1961-11-01,58,1.5742259969906658
1957-01-01,1961-12-01,59,1.4514425340107602
1957-01-01,1962-01-01,60,1.325612601576886
1957-02-01,1957-03-01,1,0.08395554561171803
1957-02-01,1957-04-01,2,0.14731111265581331
1957-02-01,1957-05-01,3,0.2295770828739001
1957-02-01,1957-06-01,4,0.06274431959146476
1957-02-01,1957-07-01,5,0.2077806413986325
1957-02-01,1957-08-01,6,0.021958024708867985
1957-02-01,1957-09-01,7,0.08476076993551862
1957-02-01,1957-10-01,8,0.07404203710534052
1957-02-01,1957-11-01,9,0.24311476803113097
1957-02-01,1957-12-01,10,0.5127129863991491
1957-02-01,1958-01-01,11,1.1518295467262587
1957-02-01,1958-02-01,12,2.1386487283802866
1957-02-01,1958-03-01,13,2.3747878514619902
1957-02-01,1958-04-01,14,2.6162278756465334
1957-02-01,1958-05-01,15,2.8278977643912104
1957-02-01,1958-06-01,16,2.949185597391724
1957-02-01,1958-07-01,17,2.8216974699585946
1957-02-01,1958-08-01,18,1.9866870349815922
1957-02-01,1958-09-01,19,1.2653404310111322
1957-02-01,1958-10-01,20,1.0980491638780827
1957-02-01,1958-11-01,21,1.0867919481099597
1957-02-01,1958-12-01,22,0.9729048379387408
1957-02-01,1959-01-01,23,0.95004729780349
