execution_date,indicator,metric,model,target_col,value
1956-06-01,const,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,-0.18631588108442754
1956-06-01,const,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.42990165194025587
1956-06-01,beta2,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,1.0254588935002533
1956-06-01,beta2,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,6.893074089412084e-11
1956-06-01,inflation,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,1.911047730440349
1956-06-01,inflation,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.5323233224626582
1956-06-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV) - MRM,beta2,0.9612548362541213
1956-06-01,model,n_obs,AR(1) + Inflation (UCSV) - MRM,beta2,25.0
1956-07-01,model,n_obs,AR(1) + Inflation (UCSV) - MRM,beta2,26.0
1956-07-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV) - MRM,beta2,0.9601499504587199
1956-07-01,inflation,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,0.8439885684450315
1956-07-01,inflation,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.1672857943222754
1956-07-01,beta2,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,1.0632568380453429
1956-07-01,const,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.17685502457506092
1956-07-01,const,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,-0.2902999158195277
1956-07-01,beta2,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,7.487823485838095e-12
1956-08-01,const,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,-0.10131199072754787
1956-08-01,const,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.3286066014178415
1956-08-01,beta2,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,0.9974046978976323
1956-08-01,beta2,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,3.8312605151721933e-16
1956-08-01,inflation,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,0.11190833487542731
1956-08-01,inflation,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.32991986599691403
1956-08-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV) - MRM,beta2,0.9592328505787158
1956-08-01,model,n_obs,AR(1) + Inflation (UCSV) - MRM,beta2,27.0
1956-09-01,inflation,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.9938771979988656
1956-09-01,model,n_obs,AR(1) + Inflation (UCSV) - MRM,beta2,28.0
1956-09-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV) - MRM,beta2,0.9570177605520418
1956-09-01,inflation,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,0.0011224670165715933
1956-09-01,const,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.7161734707594307
1956-09-01,beta2,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,0.9776226018052094
1956-09-01,const,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,-0.051021369799517824
1956-09-01,beta2,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,3.7843915054089354e-14
1956-10-01,const,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,-0.05426449967733543
1956-10-01,const,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.7099724321939922
1956-10-01,beta2,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,0.9778550489485336
1956-10-01,beta2,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,1.2695104056693952e-14
1956-10-01,inflation,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,0.012543292801779848
1956-10-01,inflation,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.9319625028236581
1956-10-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV) - MRM,beta2,0.9597484971078964
1956-10-01,model,n_obs,AR(1) + Inflation (UCSV) - MRM,beta2,29.0
1956-11-01,model,n_obs,AR(1) + Inflation (UCSV) - MRM,beta2,30.0
1956-11-01,model,adjusted_r_squared,AR(1) + Inflation (UCSV) - MRM,beta2,0.9619831328223432
1956-11-01,inflation,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.845765873836012
1956-11-01,inflation,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,0.022874496170664366
1956-11-01,const,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,-0.05947973510431337
1956-11-01,beta2,coefficient,AR(1) + Inflation (UCSV) - MRM,beta2,0.9795308859305408
1956-11-01,const,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.6486979393304877
1956-11-01,beta2,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,1.4581349460574012e-15
1956-12-01,inflation,p_value,AR(1) + Inflation (UCSV) - MRM,beta2,0.7334279280949935
1956-12-01,model,n_obs,AR(1) + Inflation (UCSV) - MRM,beta2,31.0
