Horizon,mse,r_squared,rmse
1,0.25103325429729256,0.9418133896960195,0.5010321888834015
2,0.5548006975438404,0.871512816239208,0.7448494462264441
3,0.8227512092283986,0.8095965583585968,0.907056342918343
4,1.0954110083565725,0.7466208485924326,1.046618845787029
5,1.3502249655401726,0.6878334526763481,1.1619918095839457
6,1.5855695819344235,0.6336055670444748,1.2591940207666266
7,1.7947031265988507,0.585401149910393,1.339665303946792
8,1.9697386131777228,0.5451881305136879,1.4034737664729338
9,2.195353706286019,0.49324796772223645,1.4816726042840973
10,2.43949503526357,0.43710589986311577,1.5618882915444272
11,2.6751924038847164,0.3829765109906218,1.6356015419058263
12,2.9156078055908425,0.32791892153575175,1.707515096738779
13,3.1323941080761335,0.27837813170376313,1.7698570869073393
14,3.346215975719453,0.22963003479438826,1.8292665130372483
15,3.5738766324312556,0.17754253490823346,1.890469950152939
16,3.7807242766865663,0.13015125925880733,1.9444084644658812
17,3.9882508236909318,0.08272921322701166,1.9970605458250212
18,4.200691050385922,0.03440742907876315,2.049558745287854
19,4.39122241577513,-0.009030093380226756,2.095524377280095
20,4.550927156743727,-0.04479485374353409,2.1332902185928027
21,4.676914208215765,-0.07239262198676233,2.1626174437971604
22,4.780530318303139,-0.09479997079845459,2.1864423885168205
23,4.874307929225133,-0.11496870049397989,2.207783487850458
24,4.9840003513221305,-0.13882919235983326,2.2324874806641426
25,5.130178986565121,-0.17111021569138996,2.264989842486081
26,5.298625557601238,-0.20832743526472042,2.301874357475064
27,5.470627648036194,-0.24599939600015497,2.3389372903171632
28,5.642610283549998,-0.28367846712817846,2.3754179176620687
29,5.838545419582718,-0.32680566597498206,2.4163082211470286
30,6.014010973207219,-0.36519915389072466,2.452348053031465
31,6.200654328168789,-0.40607713634706477,2.490111308389404
32,6.415319833995491,-0.45313551595356016,2.5328481663920344
33,6.645517700749783,-0.5037568375333805,2.577890164601623
34,6.893321852898541,-0.5583194675578402,2.625513636014588
35,7.163317041236926,-0.617747217748402,2.6764373785382922
36,7.472887349171217,-0.6859128305708164,2.7336582356196644
37,7.808651653206947,-0.7601535586845465,2.7943964738753424
38,8.197236713106637,-0.8464552020598772,2.8630816811796755
39,8.61917356463823,-0.940240692972671,2.935842905306452
40,9.08400285133248,-1.0445995128941301,3.013967957914032
41,9.619175262898656,-1.1647827118334542,3.1014795280476473
42,10.206309526452747,-1.2968424457540046,3.1947315265062177
43,10.7896664468374,-1.4288526028615203,3.2847627687303995
44,11.432553892329391,-1.5735544955045375,3.3812059819433347
45,12.160538669405067,-1.7367461304957468,3.4871963910002353
46,13.025006046458028,-1.9289569811456064,3.609017324211402
47,13.873927754917728,-2.1172186878749417,3.7247721749011347
48,14.870946769715596,-2.3386731891338077,3.8562866555425566
49,16.057409999335373,-2.6005906159555394,4.007169824119683
50,17.414680661871902,-2.90017798838577,4.173090061557731
51,18.860909129632606,-3.218792509719635,4.342914819523013
52,20.504548143679067,-3.580934883164967,4.528194799661237
53,22.35974018868086,-3.9891064159495153,4.728608694815089
54,24.461595014079112,-4.451226361785999,4.94586645736408
55,26.902789115921554,-4.9875542831572135,5.186789866181351
56,29.5763713863619,-5.574108526571699,5.4384162571802
57,32.52433257366441,-6.220382444394063,5.703010834082678
58,35.86693970054534,-6.952467866895057,5.988901376758958
59,39.63217806178231,-7.776105856984364,6.295409284691688
60,43.822629524736264,-8.691798683063809,6.61986627695275
