ExecutionDate,ForecastDate,Horizon,RMSE_Row
1956-12-01,1957-01-01,1,0.2709253010561611
1956-12-01,1957-02-01,2,0.14386378376411865
1956-12-01,1957-03-01,3,0.2790547322657221
1956-12-01,1957-04-01,4,0.37322739756081597
1956-12-01,1957-05-01,5,0.613621820782525
1956-12-01,1957-06-01,6,0.673889427394718
1956-12-01,1957-07-01,7,0.7957309907700257
1956-12-01,1957-08-01,8,0.5297775274047545
1956-12-01,1957-09-01,9,0.41284451621110285
1956-12-01,1957-10-01,10,0.5512690182995637
1956-12-01,1957-11-01,11,0.7938299480859525
1956-12-01,1957-12-01,12,0.6005777629215407
1956-12-01,1958-01-01,13,1.2827169086324952
1956-12-01,1958-02-01,14,2.342788245569175
1956-12-01,1958-03-01,15,2.5514249027992344
1956-12-01,1958-04-01,16,2.9270170835318234
1956-12-01,1958-05-01,17,3.2072307148217374
1956-12-01,1958-06-01,18,3.4739079929245054
1956-12-01,1958-07-01,19,3.368318406082231
1956-12-01,1958-08-01,20,2.557292629485706
1956-12-01,1958-09-01,21,1.9610257480038729
1956-12-01,1958-10-01,22,1.7779695524727774
1956-12-01,1958-11-01,23,1.7738278900342834
1956-12-01,1958-12-01,24,1.7292160225626823
1956-12-01,1959-01-01,25,1.8640313453153117
1956-12-01,1959-02-01,26,1.6501587734758867
1956-12-01,1959-03-01,27,1.5833751194419214
1956-12-01,1959-04-01,28,1.6357213730209175
1956-12-01,1959-05-01,29,1.7239848204271273
1956-12-01,1959-06-01,30,1.4302829733671418
1956-12-01,1959-07-01,31,1.2246665400296466
1956-12-01,1959-08-01,32,1.1721250575213578
1956-12-01,1959-09-01,33,0.6630604618939971
1956-12-01,1959-10-01,34,0.6641350366302632
1956-12-01,1959-11-01,35,0.594057427596817
1956-12-01,1959-12-01,36,0.34109729274023187
1956-12-01,1960-01-01,37,0.5929096409008942
1956-12-01,1960-02-01,38,0.813735166549789
1956-12-01,1960-03-01,39,1.4217637532664118
1956-12-01,1960-04-01,40,1.4929500726376785
1956-12-01,1960-05-01,41,1.3900792660321541
1956-12-01,1960-06-01,42,2.33976724771415
1956-12-01,1960-07-01,43,2.2677302782247546
1956-12-01,1960-08-01,44,2.4045269830818055
1956-12-01,1960-09-01,45,2.206614039861496
1956-12-01,1960-10-01,46,2.4536303599099645
1956-12-01,1960-11-01,47,2.43236260506729
1956-12-01,1960-12-01,48,2.5987603292002106
1956-12-01,1961-01-01,49,2.667669959631368
1956-12-01,1961-02-01,50,2.3534863986909396
1956-12-01,1961-03-01,51,2.3905291184067003
1956-12-01,1961-04-01,52,2.499107497899217
1956-12-01,1961-05-01,53,2.4227283138143925
1956-12-01,1961-06-01,54,2.4035881709173967
1956-12-01,1961-07-01,55,2.664932478647619
1956-12-01,1961-08-01,56,2.6087511307324323
1956-12-01,1961-09-01,57,2.565331916979158
1956-12-01,1961-10-01,58,2.499701251613023
1956-12-01,1961-11-01,59,2.4460740571810495
1956-12-01,1961-12-01,60,2.4515769145255835
1956-11-01,1956-12-01,1,0.18302004938745578
1956-11-01,1957-01-01,2,0.04825450566306458
1956-11-01,1957-02-01,3,0.11447070287587333
1956-11-01,1957-03-01,4,0.010480236264811177
1956-11-01,1957-04-01,5,0.057504063407678274
1956-11-01,1957-05-01,6,0.27742777687538045
1956-11-01,1957-06-01,7,0.32314122334991036
1956-11-01,1957-07-01,8,0.43639816212149035
1956-11-01,1957-08-01,9,0.16750108123455887
1956-11-01,1957-09-01,10,0.0531906206431355
1956-11-01,1957-10-01,11,0.19965528400249918
1956-11-01,1957-11-01,12,0.4550602210599683
1956-11-01,1957-12-01,13,0.2786270415779492
1956-11-01,1958-01-01,14,0.9775281041995636
1956-11-01,1958-02-01,15,2.054476124586599
1956-11-01,1958-03-01,16,2.280092104797907
1956-11-01,1958-04-01,17,2.672744981667266
1956-11-01,1958-05-01,18,2.970080245832703
1956-11-01,1958-06-01,19,3.2539208912083932
1956-11-01,1958-07-01,20,3.165518384825747
1956-11-01,1958-08-01,21,2.371686501354362
1956-11-01,1958-09-01,22,1.7926044896234383
1956-11-01,1958-10-01,23,1.6267093156218042
1956-11-01,1958-11-01,24,1.6396909620608042
1956-11-01,1958-12-01,25,1.6121517383861521
1956-11-01,1959-01-01,26,1.76397695326403
1956-11-01,1959-02-01,27,1.56704025710843
1956-11-01,1959-03-01,28,1.5171079774044014
1956-11-01,1959-04-01,29,1.5862113588995075
1956-11-01,1959-05-01,30,1.6911286444670175
1956-11-01,1959-06-01,31,1.4139689678447276
1956-11-01,1959-07-01,32,1.2247752899841347
1956-11-01,1959-08-01,33,1.1885299984749387
1956-11-01,1959-09-01,34,0.6956284461161102
1956-11-01,1959-10-01,35,0.71272686943113
1956-11-01,1959-11-01,36,0.6585283750682012
1956-11-01,1959-12-01,37,0.42129756229714105
1956-11-01,1960-01-01,38,0.6886848359165614
1956-11-01,1960-02-01,39,0.9249267163176222
1956-11-01,1960-03-01,40,1.5482093194665594
1956-11-01,1960-04-01,41,1.634483933432311
1956-11-01,1960-05-01,42,1.546532678862407
1956-11-01,1960-06-01,43,2.5109687918227834
1956-11-01,1960-07-01,44,2.4535061778818923
1956-11-01,1960-08-01,45,2.6047014124464813
1956-11-01,1960-09-01,46,2.4210094103691255
1956-11-01,1960-10-01,47,2.6820675910351186
1956-11-01,1960-11-01,48,2.6746613792722407
1956-11-01,1960-12-01,49,2.854739331842561
1956-11-01,1961-01-01,50,2.9371471045685538
1956-11-01,1961-02-01,51,2.636279040285486
1956-11-01,1961-03-01,52,2.6864542506037052
1956-11-01,1961-04-01,53,2.807981941016588
1956-11-01,1961-05-01,54,2.744368889656792
1956-11-01,1961-06-01,55,2.737811866796622
1956-11-01,1961-07-01,56,3.0115566008651644
1956-11-01,1961-08-01,57,2.967593448054219
1956-11-01,1961-09-01,58,2.936210794607816
1956-11-01,1961-10-01,59,2.882435776139607
1956-11-01,1961-11-01,60,2.8404841529756313
