horizon,mse,r_squared,rmse
1,0.15438624143085203,0.969204056088472,0.3929201463794546
2,0.3226163606829565,0.9356438233617559,0.5679932752092727
3,0.47450468102939447,0.9053169870937116,0.6888430017278208
4,0.6656813669325411,0.8672134128873481,0.8158929874269916
5,0.8793562315692223,0.8246847251291602,0.937739959460629
6,1.0959450796803376,0.7815958497983091,1.046873955966208
7,1.3109356313746667,0.7389310985622131,1.1449609737343307
8,1.5472146339474144,0.6920775793260063,1.243870826873681
9,1.805688778422339,0.640862638674383,1.3437591965907951
10,2.0632351791401327,0.5901721761553457,1.4363965953524578
11,2.3045376082085687,0.5432134818156646,1.5180703568045089
12,2.5369151315157445,0.498275832071297,1.5927696416983044
13,2.7715994078406565,0.4530854871745822,1.6648121238868536
14,3.0091560679794216,0.4073103245945755,1.73469192307436
15,3.2258878295088445,0.36756834235877867,1.7960756747723199
16,3.423157291774141,0.33050977039453266,1.850177637897005
17,3.6021338467529875,0.29716904653464626,1.897928830792395
18,3.7750828110611345,0.2650493541414424,1.9429572334616978
19,3.9394315556048847,0.23472416677402164,1.9848001298883686
20,4.086806914466612,0.2077635894638783,2.021585247885088
21,4.214920222088182,0.18461370699740898,2.0530270875193493
22,4.345642689241223,0.16106985217786862,2.0846205144441092
23,4.459323983083886,0.14102007833140595,2.111711150485285
24,4.577787538513678,0.11972009333109379,2.1395764857825665
25,4.7010844926830275,0.09689868302395377,2.1681984440274435
26,4.815686836619573,0.0760731038095761,2.1944673241175345
27,4.900553185633497,0.05964019514243424,2.2137193104893624
28,4.9755641601485285,0.04548573664118627,2.230597265341399
29,5.039737244513659,0.03317470544720247,2.2449359110036213
30,5.088793677804636,0.02251217047036369,2.2558354722374228
31,5.151065147518835,0.010035312744217872,2.26959581148689
32,5.212765010494738,-0.0024148450052265957,2.283148048308462
33,5.2629111295798,-0.012588149039941765,2.294103556856098
34,5.306585099378658,-0.021645827985254495,2.303602634869707
35,5.338987137224773,-0.02920845568987751,2.3106248369704616
36,5.366417466334525,-0.03595251798502486,2.316552927591883
37,5.3934184536480645,-0.04183556474410466,2.3223734526660573
38,5.412210965597104,-0.045983064570675136,2.3264159055502316
39,5.419856987445051,-0.04761836872326852,2.3280586305858044
40,5.4364533442632705,-0.05005508596167152,2.3316203259242854
41,5.448065749137115,-0.05155008398448602,2.3341091982032705
42,5.464617576933011,-0.05413974286800971,2.337652150541866
43,5.480937437849844,-0.056094273801515104,2.341140200383105
44,5.494908390012479,-0.056965309991451996,2.3441220936658738
45,5.496441013081773,-0.055344274319120146,2.3444489785622915
46,5.504463883511614,-0.05453318058344614,2.3461593900482582
47,5.5099745705852365,-0.0531881432960124,2.3473335022073956
48,5.520951338889615,-0.0527769977033552,2.349670474532464
49,5.522882670069017,-0.05101585781828066,2.350081417753227
50,5.516423683308999,-0.047741036776135726,2.348706810844853
51,5.510341035700942,-0.044368198553370375,2.3474115607836947
52,5.493401474908224,-0.03902119125120174,2.3438006474331865
53,5.470975813943033,-0.03328176660107385,2.3390117173590714
54,5.458012504384966,-0.02881504190716444,2.3362389655994025
55,5.458176887299987,-0.026478412942182672,2.3362741464348713
56,5.461293808450584,-0.024843110287862125,2.3369411221617424
57,5.485988919774135,-0.024657769001056096,2.342218802711253
58,5.515022484273359,-0.025195582541091444,2.3484085002983104
59,5.546599147567809,-0.026244293831279242,2.3551218965411977
60,5.58554205492192,-0.02858101761492282,2.3633751405398846
