ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1989-12-01,1990-01-01,1,0.31169424711904953,0.3061217814721653
1989-12-01,1990-02-01,2,0.4953778104108367,0.8176197562096037
1989-12-01,1990-03-01,3,0.6388295784846909,1.6196512277273807
1989-12-01,1990-04-01,4,0.7508763868617266,2.062556534019971
1989-12-01,1990-05-01,5,0.8384081426075608,1.0081197557124713
1989-12-01,1990-06-01,6,0.9068028611244375,0.32643865157723967
1989-12-01,1990-07-01,7,0.9602584334419184,-0.7588913302971005
1989-12-01,1990-08-01,8,1.0020515909400751,-1.2513878714040996
1989-12-01,1990-09-01,9,1.0347400432026836,-0.7408997348118894
1989-12-01,1990-10-01,10,1.0603202590123526,-1.6037078968348604
1989-12-01,1990-11-01,11,1.080350624096888,-0.9680971898948604
1989-12-01,1990-12-01,12,1.0960475733060606,-1.0266385005860936
1989-12-01,1991-01-01,13,1.1083346163283663,-1.2740079945094738
1989-12-01,1991-02-01,14,1.1179592053119236,-0.7751346268749875
1989-12-01,1991-03-01,15,1.125504783055662,-0.29771916826951594
1989-12-01,1991-04-01,16,1.1314267729216734,-0.9727994441075547
1989-12-01,1991-05-01,17,1.136080671169472,-1.250994204966524
1989-12-01,1991-06-01,18,1.1397439747460893,-0.6835941192351388
1989-12-01,1991-07-01,19,1.1426332972713098,-1.136599701596895
1989-12-01,1991-08-01,20,1.144917729114049,-2.1085998781299944
1989-12-01,1991-09-01,21,1.1467292657514845,-2.447259797606499
1989-12-01,1991-10-01,22,1.1481709477430462,-3.459851754339707
1989-12-01,1991-11-01,23,1.149323214479445,-3.9914559943904293
1989-12-01,1991-12-01,24,1.150248863673559,-3.7931949550272703
1989-12-01,1992-01-01,25,1.1509727928732563,-3.7637424648960716
1989-12-01,1992-02-01,26,1.1515390734455548,-2.9445823401205007
1989-12-01,1992-03-01,27,1.151982109444842,-2.265985803628291
1989-12-01,1992-04-01,28,1.1523287589574827,-2.4100317335164654
1989-12-01,1992-05-01,29,1.1525999899415398,-2.8422680215235077
1989-12-01,1992-06-01,30,1.1528121727113718,-3.837803117407208
1989-12-01,1992-07-01,31,1.1529780888012746,-4.002735660957742
1989-12-01,1992-08-01,32,1.1531077184455676,-5.127956973419358
1989-12-01,1992-09-01,33,1.1532088552552404,-5.005130149426237
1989-12-01,1992-10-01,34,1.1532875860109153,-3.86325138393396
1989-12-01,1992-11-01,35,1.1533486651708218,-2.8199747376948836
1989-12-01,1992-12-01,36,1.1533958071973864,-2.808291897806063
1989-12-01,1993-01-01,37,1.1534319147362073,-3.527755237303417
1989-12-01,1993-02-01,38,1.153459256723887,-3.89704534261046
1989-12-01,1993-03-01,39,1.1534796074122693,-3.5448358757673253
1989-12-01,1993-04-01,40,1.1534943548855323,-4.332238771213821
1989-12-01,1993-05-01,41,1.1535045857645905,-2.8886919959686246
1989-12-01,1993-06-01,42,1.1535111513242302,-2.946559896224945
1989-12-01,1993-07-01,43,1.1535147191017465,-2.4283531634248683
1989-12-01,1993-08-01,44,1.1535158131808099,-2.7062802194107185
1989-12-01,1993-09-01,45,1.1535148456356574,-2.2020302660568634
1989-12-01,1993-10-01,46,1.153512141075376,-2.0233503467767364
1989-12-01,1993-11-01,47,1.1535079558023862,-2.317425416884381
1989-12-01,1993-12-01,48,1.1535024927669855,-1.761120319342561
1989-12-01,1994-01-01,49,1.1535055678597885,-1.8894456074937582
1989-12-01,1994-02-01,50,1.1535149954474149,-1.4298325931567903
1989-12-01,1994-03-01,51,1.1535290744598805,-0.6292201563625335
1989-12-01,1994-04-01,52,1.1535464820151757,0.4525732437996935
1989-12-01,1994-05-01,53,1.1535661903867598,0.6789205212887691
1989-12-01,1994-06-01,54,1.1535874021916392,1.2041510050157664
1989-12-01,1994-07-01,55,1.1536094998007373,0.5191104309769662
1989-12-01,1994-08-01,56,1.153632005850638,0.4700259103935908
1989-12-01,1994-09-01,57,1.1536545524206407,1.180817238815265
1989-12-01,1994-10-01,58,1.1536768569736304,0.9981575135605179
1989-12-01,1994-11-01,59,1.153698703576519,2.555430709834532
1989-12-01,1994-12-01,60,1.1537199282417279,4.235278784992658
1989-11-01,1989-12-01,1,0.05771116261432738,0.0764705975506845
1989-11-01,1990-01-01,2,0.29728269378932776,0.3061217814721653
1989-11-01,1990-02-01,3,0.48433424982065115,0.8176197562096037
1989-11-01,1990-03-01,4,0.6303880780900959,1.6196512277273807
1989-11-01,1990-04-01,5,0.7444383928353169,2.062556534019971
1989-11-01,1990-05-01,6,0.8335060396040864,1.0081197557124713
1989-11-01,1990-06-01,7,0.9030714632358001,0.32643865157723967
1989-11-01,1990-07-01,8,0.9574126802547213,-0.7588913302971005
1989-11-01,1990-08-01,9,0.9998690982365711,-1.2513878714040996
1989-11-01,1990-09-01,10,1.0330474517358725,-0.7408997348118894
1989-11-01,1990-10-01,11,1.0589825547232914,-1.6037078968348604
1989-11-01,1990-11-01,12,1.0792627830425672,-0.9680971898948604
1989-11-01,1990-12-01,13,1.0951280253173552,-1.0266385005860936
1989-11-01,1991-01-01,14,1.1075303188679013,-1.2740079945094738
1989-11-01,1991-02-01,15,1.1172289948872431,-0.7751346268749875
1989-11-01,1991-03-01,16,1.124816789271915,-0.29771916826951594
1989-11-01,1991-04-01,17,1.1307563945095078,-0.9727994441075547
1989-11-01,1991-05-01,18,1.135408991878356,-1.250994204966524
1989-11-01,1991-06-01,19,1.1390565235235826,-0.6835941192351388
1989-11-01,1991-07-01,20,1.1419190779155328,-1.136599701596895
1989-11-01,1991-08-01,21,1.1441684608417535,-2.1085998781299944
1989-11-01,1991-09-01,22,1.1459387888477246,-2.447259797606499
1989-11-01,1991-10-01,23,1.147334758417699,-3.459851754339707
1989-11-01,1991-11-01,24,1.1484381008512312,-3.9914559943904293
1989-11-01,1991-12-01,25,1.1493126209038858,-3.7931949550272703
1989-11-01,1992-01-01,26,1.1499930317378122,-3.7637424648960716
1989-11-01,1992-02-01,27,1.150521843165717,-2.9445823401205007
1989-11-01,1992-03-01,28,1.1509322401230788,-2.265985803628291
1989-11-01,1992-04-01,29,1.1512501285727514,-2.4100317335164654
1989-11-01,1992-05-01,30,1.151495732526844,-2.8422680215235077
1989-11-01,1992-06-01,31,1.1516848406732536,-3.837803117407208
1989-11-01,1992-07-01,32,1.1518297794855423,-4.002735660957742
1989-11-01,1992-08-01,33,1.1519401728272372,-5.127956973419358
1989-11-01,1992-09-01,34,1.1520235348948678,-5.005130149426237
1989-11-01,1992-10-01,35,1.1520857330661547,-3.86325138393396
1989-11-01,1992-11-01,36,1.15213134919688,-2.8199747376948836
1989-11-01,1992-12-01,37,1.1521639616473691,-2.808291897806063
1989-11-01,1993-01-01,38,1.152186365430948,-3.527755237303417
1989-11-01,1993-02-01,39,1.152200744060762,-3.89704534261046
1989-11-01,1993-03-01,40,1.1522088036926006,-3.5448358757673253
1989-11-01,1993-04-01,41,1.1522118778362012,-4.332238771213821
1989-11-01,1993-05-01,42,1.152211009092469,-2.8886919959686246
1989-11-01,1993-06-01,43,1.1522070129572548,-2.946559896224945
1989-11-01,1993-07-01,44,1.1522005276263894,-2.4283531634248683
1989-11-01,1993-08-01,45,1.152192052873378,-2.7062802194107185
1989-11-01,1993-09-01,46,1.1521819803972735,-2.2020302660568634
1989-11-01,1993-10-01,47,1.1521706175122197,-2.0233503467767364
1989-11-01,1993-11-01,48,1.152158205639538,-2.317425416884381
1989-11-01,1993-12-01,49,1.1521449347427126,-1.761120319342561
1989-11-01,1994-01-01,50,1.1521370060017746,-1.8894456074937582
