Horizon,mse,r_squared,rmse
1,0.5994500589507511,0.8971839267799808,0.7742416024412219
2,1.2628127270896998,0.7833274567113087,1.1237494058239585
3,1.9438155676933564,0.6675577944024381,1.3942078638758844
4,2.663871509182513,0.5458971017510037,1.6321370987703554
5,3.2913253300740997,0.4381065078654539,1.814201016997317
6,3.8611840063847107,0.3396893798353332,1.9649895690269479
7,4.416029378580164,0.2444470685977601,2.101435075985019
8,4.934735518858096,0.156201979406004,2.2214264603758767
9,5.4498249423021115,0.07030605670791579,2.334486012445162
10,5.943164546042422,-0.011861111760791632,2.4378606494306485
11,6.391061805599161,-0.08656623027042776,2.5280549451305765
12,6.766796839230424,-0.14770363976184964,2.601306756080571
13,7.112682120709915,-0.2037318206424219,2.6669612146992154
14,7.374566017828697,-0.24535756747229476,2.7156152190302474
15,7.606221234149849,-0.28056087872007884,2.7579378590080394
16,7.84031339552491,-0.31700727325749645,2.800055962927332
17,8.072709557921002,-0.35402188012364166,2.8412514070249046
18,8.250671021316787,-0.381899980076964,2.872398130711825
19,8.400376164976056,-0.40644613059875323,2.8983402431350354
20,8.5594088926649,-0.43263303784294727,2.9256467477576473
21,8.725823004883434,-0.4592921906211982,2.953950406639122
22,8.892199781368335,-0.48257810508965737,2.981979171853542
23,9.049449260375981,-0.5023309955615058,3.008230253882834
24,9.148132070372037,-0.5144321038693949,3.0245879174479353
25,9.25650165598318,-0.5299803436520869,3.0424499430529965
26,9.320411095008577,-0.5413970677856133,3.052934833075966
27,9.382082368259454,-0.5536896157636642,3.0630185060262782
28,9.420298118551342,-0.5645173435477266,3.069250416396704
29,9.44944624725735,-0.5720333931985597,3.073995160578063
30,9.528094202916428,-0.5815411809721676,3.0867611185377513
31,9.620588371239887,-0.5910011214596984,3.101707331654598
32,9.712618021376969,-0.598124017586525,3.1165073433856962
33,9.783599202246352,-0.6041945677700731,3.1278745502731327
34,9.769052974887154,-0.6058904689867968,3.1255484278582464
35,9.748949431869889,-0.6075814142893874,3.122330769132234
36,9.742913452772559,-0.6098180842625571,3.121364037207541
37,9.80262560009276,-0.615089256174046,3.1309144990070807
38,9.843964886074126,-0.6163182674019869,3.137509344380368
39,9.859885333140106,-0.6151235832014681,3.140045434884678
40,9.876599730500425,-0.6129653686975194,3.1427057976368746
41,9.877458296782411,-0.6105501506912969,3.1428423913366084
42,9.866679880125456,-0.6085138183033818,3.1411271671368954
43,9.880560620233856,-0.6075413841372221,3.1433359063634696
44,9.909030426263882,-0.608352097711802,3.1478612463486826
45,9.942825418292463,-0.6098553681539385,3.1532246063819276
46,9.96868669546125,-0.6105081967278572,3.1573227100600993
47,10.008757936465967,-0.6132817367965671,3.1636621084537406
48,10.045038467029151,-0.6179188364971198,3.1693908668747612
49,10.072651354156854,-0.6220383535580065,3.173744059333842
50,10.112590380870774,-0.6297547271556789,3.1800299339582914
51,10.14262764417069,-0.632830961649923,3.1847492278310847
52,10.18505276027973,-0.6353486720884232,3.1914029454582713
53,10.234154448462007,-0.6413766904564651,3.1990865021849606
54,10.287811073611374,-0.6478747134786895,3.207461780537903
55,10.33327471125621,-0.6639901402665225,3.2145411354120528
56,10.36177187916602,-0.6925602549404872,3.218970624153942
57,10.408394851228138,-0.7031452723907363,3.2262044032001658
58,10.460177830460763,-0.7095839703680513,3.234219817894381
59,10.520641606624473,-0.7132469863820441,3.243553854435667
60,10.609694602208364,-0.7053272715667678,3.2572526156576136
