execution_date,indicator,metric,model,target_col,value
1989-10-01,const,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.12301301213129102
1989-10-01,const,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.04265608326833011
1989-10-01,beta1,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.9519584847672939
1989-10-01,beta1,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,6.846457382380756e-231
1989-10-01,output_gap,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.012805547389871413
1989-10-01,output_gap,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.1366533963340331
1989-10-01,inflation,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.03942888528543228
1989-10-01,inflation,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.004498827949694825
1989-10-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.9659259128994251
1989-10-01,model,n_obs,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,425.0
1989-11-01,const,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.1217584067215374
1989-11-01,const,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.045521081120918364
1989-11-01,beta1,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.9504447755014682
1989-11-01,beta1,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,1.283065403056852e-229
1989-11-01,output_gap,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.012930475868434316
1989-11-01,output_gap,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.1316336567223126
1989-11-01,inflation,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.04136254438067469
1989-11-01,inflation,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.0033270342460278036
1989-11-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.9659903535132573
1989-11-01,model,n_obs,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,426.0
1989-12-01,const,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.1224110137738844
1989-12-01,const,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.04393762560565884
1989-12-01,beta1,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.9513268250901934
1989-12-01,beta1,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,2.99541691828336e-231
1989-12-01,output_gap,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.012713927663747035
1989-12-01,output_gap,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.13755316313825255
1989-12-01,inflation,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.04012104755168895
1989-12-01,inflation,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.004003729796891017
1989-12-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.9659944315761577
1989-12-01,model,n_obs,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,427.0
1990-01-01,const,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.12285375675655565
1990-01-01,const,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.04271891123685307
1990-01-01,beta1,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.9516070335145136
1990-01-01,beta1,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,2.5073608553012379e-231
1990-01-01,output_gap,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.012773394822426795
1990-01-01,output_gap,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.13581420718583032
1990-01-01,inflation,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.03983714838748857
1990-01-01,inflation,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.004391534526975276
1990-01-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.9660085361992209
1990-01-01,model,n_obs,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,428.0
1990-02-01,const,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.12229441786585554
1990-02-01,const,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.04412564512506479
1990-02-01,beta1,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.9559054851768294
1990-02-01,beta1,p_value,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,6.238645673374361e-236
1990-02-01,output_gap,coefficient,AR(1) + Output Gap (Direct) + Inflation (UCSV),beta1,0.011570464000462173
