ExecutionDate,ForecastDate,Horizon,RMSE_Row
1990-01-01,1990-02-01,1,0.06483585645023826
1990-01-01,1990-03-01,2,0.1744483604197793
1990-01-01,1990-04-01,3,0.2954465506489168
1990-01-01,1990-05-01,4,0.2967619555748158
1990-01-01,1990-06-01,5,0.2975707899256408
1990-01-01,1990-07-01,6,0.10394198358906781
1990-01-01,1990-08-01,7,0.10977704840118019
1990-01-01,1990-09-01,8,0.097720063379513
1990-01-01,1990-10-01,9,0.08883003488413621
1990-01-01,1990-11-01,10,0.1161362751070234
1990-01-01,1990-12-01,11,0.7160606121054132
1990-01-01,1991-01-01,12,0.9699513365939296
1990-01-01,1991-02-01,13,1.0777111720787769
1990-01-01,1991-03-01,14,1.3979455786514547
1990-01-01,1991-04-01,15,1.5759470345060587
1990-01-01,1991-05-01,16,1.4504589502727567
1990-01-01,1991-06-01,17,1.4161207988474205
1990-01-01,1991-07-01,18,1.4310019403845606
1990-01-01,1991-08-01,19,1.565469837925038
1990-01-01,1991-09-01,20,1.740139977991305
1990-01-01,1991-10-01,21,1.9611353694866818
1990-01-01,1991-11-01,22,2.3763703954805795
1990-01-01,1991-12-01,23,2.874436735708908
1990-01-01,1992-01-01,24,2.852460954442478
1990-01-01,1992-02-01,25,2.7637134142440525
1990-01-01,1992-03-01,26,2.6047906421283535
1990-01-01,1992-04-01,27,2.92308756084454
1990-01-01,1992-05-01,28,2.852687790187427
1990-01-01,1992-06-01,29,2.9109802958176823
1990-01-01,1992-07-01,30,3.2738430527518743
1990-01-01,1992-08-01,31,3.233487721565019
1990-01-01,1992-09-01,32,3.683538125069154
1990-01-01,1992-10-01,33,3.380265446324372
1990-01-01,1992-11-01,34,3.0801056911645683
1990-01-01,1992-12-01,35,3.2635638045058686
1990-01-01,1993-01-01,36,3.383608960800675
1990-01-01,1993-02-01,37,3.318525056094647
1990-01-01,1993-03-01,38,3.3531147485239936
1990-01-01,1993-04-01,39,3.30333425543995
1990-01-01,1993-05-01,40,3.1136635756251465
1990-01-01,1993-06-01,41,3.142028840247636
1990-01-01,1993-07-01,42,3.100741551536106
1990-01-01,1993-08-01,43,3.0971750790012824
1990-01-01,1993-09-01,44,3.1772054698927827
1990-01-01,1993-10-01,45,3.0265766150745907
1990-01-01,1993-11-01,46,2.896922643546988
1990-01-01,1993-12-01,47,3.0298509757603718
1990-01-01,1994-01-01,48,3.0386900409398443
1990-01-01,1994-02-01,49,2.6223428613747326
1990-01-01,1994-03-01,50,2.4604359407732326
1990-01-01,1994-04-01,51,1.9916439024396864
1990-01-01,1994-05-01,52,1.6357247920847113
1990-01-01,1994-06-01,53,1.6522787212982468
1990-01-01,1994-07-01,54,1.5218515346738641
1990-01-01,1994-08-01,55,1.247855328100913
1990-01-01,1994-09-01,56,1.0239573845651107
1990-01-01,1994-10-01,57,0.6944559949775879
1990-01-01,1994-11-01,58,0.09445876933192654
1990-01-01,1994-12-01,59,0.005567854738619538
1989-12-01,1990-01-01,1,0.2775823288348418
1989-12-01,1990-02-01,2,0.3353602999938641
1989-12-01,1990-03-01,3,0.4409533550140985
1989-12-01,1990-04-01,4,0.5607464592599127
1989-12-01,1990-05-01,5,0.564030501016541
1989-12-01,1990-06-01,6,0.5698450564505135
1989-12-01,1990-07-01,7,0.3841866922605677
1989-12-01,1990-08-01,8,0.4011134494875206
1989-12-01,1990-09-01,9,0.20736809410731816
1989-12-01,1990-10-01,10,0.23258370044403964
1989-12-01,1990-11-01,11,0.22455843210734816
1989-12-01,1990-12-01,12,0.35287804078429463
1989-12-01,1991-01-01,13,0.5869374440914177
1989-12-01,1991-02-01,14,0.6798324705397949
1989-12-01,1991-03-01,15,0.9899089104851937
1989-12-01,1991-04-01,16,1.162212404261516
1989-12-01,1991-05-01,17,1.035251731437743
1989-12-01,1991-06-01,18,1.0034433459105605
1989-12-01,1991-07-01,19,1.0246446350288343
1989-12-01,1991-08-01,20,1.169021596821687
1989-12-01,1991-09-01,21,1.3569982483310774
1989-12-01,1991-10-01,22,1.5945156371180689
1989-12-01,1991-11-01,23,2.029315229318846
1989-12-01,1991-12-01,24,2.5498243909322738
1989-12-01,1992-01-01,25,2.548404154716812
1989-12-01,1992-02-01,26,2.4784135799176683
1989-12-01,1992-03-01,27,2.336533631170947
1989-12-01,1992-04-01,28,2.6702396150279237
1989-12-01,1992-05-01,29,2.613691676617692
1989-12-01,1992-06-01,30,2.684351634404869
1989-12-01,1992-07-01,31,3.058166820656793
1989-12-01,1992-08-01,32,3.0274149260945173
1989-12-01,1992-09-01,33,3.485782636902027
1989-12-01,1992-10-01,34,3.1896009853412193
1989-12-01,1992-11-01,35,2.8953629575271305
1989-12-01,1992-12-01,36,3.083627747985732
1989-12-01,1993-01-01,37,3.2083676744928242
1989-12-01,1993-02-01,38,3.147870179858723
1989-12-01,1993-03-01,39,3.186941313043013
1989-12-01,1993-04-01,40,3.1415405338044295
1989-12-01,1993-05-01,41,2.9561509420780263
1989-12-01,1993-06-01,42,2.9887016357429723
1989-12-01,1993-07-01,43,2.9515069557812454
1989-12-01,1993-08-01,44,2.9519429886681627
1989-12-01,1993-09-01,45,3.0358883826991527
1989-12-01,1993-10-01,46,2.889089519450401
1989-12-01,1993-11-01,47,2.7631829136149184
1989-12-01,1993-12-01,48,2.8997782713725533
1989-12-01,1994-01-01,49,2.9122124161459224
1989-12-01,1994-02-01,50,2.4993899746889565
1989-12-01,1994-03-01,51,2.3409390004190462
1989-12-01,1994-04-01,52,1.8755356139125192
1989-12-01,1994-05-01,53,1.5229393079326998
1989-12-01,1994-06-01,54,1.542751593024887
1989-12-01,1994-07-01,55,1.4155196666706562
1989-12-01,1994-08-01,56,1.1446569335219676
1989-12-01,1994-09-01,57,0.9238319430594135
1989-12-01,1994-10-01,58,0.5973442121982302
1989-12-01,1994-11-01,59,0.0003025381450267872
1989-12-01,1994-12-01,60,0.0968254914192741
1989-10-01,1989-11-01,1,0.1247273344156623
1989-10-01,1989-12-01,2,0.04109254617610869
1989-10-01,1990-01-01,3,0.2463614127432594
1989-10-01,1990-02-01,4,0.3126939228536205
1989-10-01,1990-03-01,5,0.4261687419826474
1989-10-01,1990-04-01,6,0.553971530021049
1989-10-01,1990-05-01,7,0.564395146519713
1989-10-01,1990-06-01,8,0.5756914224620218
1989-10-01,1990-07-01,9,0.393086915838734
1989-10-01,1990-08-01,10,0.4091259502323119
1989-10-01,1990-09-01,11,0.2107575788184608
1989-10-01,1990-10-01,12,0.22702036346028898
1989-10-01,1990-11-01,13,0.21124767194416094
1989-10-01,1990-12-01,14,0.3728590161332743
1990-07-01,1990-08-01,1,0.014154889638633428
1990-07-01,1990-09-01,2,0.23765901839097303
1990-07-01,1990-10-01,3,0.24143392317236945
1990-07-01,1990-11-01,4,0.277474129949864
1990-07-01,1990-12-01,5,0.8811354077331881
1990-07-01,1991-01-01,6,1.1349676117214278
1990-07-01,1991-02-01,7,1.241939137671121
1990-07-01,1991-03-01,8,1.5613925623739133
1990-07-01,1991-04-01,9,1.7392253698566922
1990-07-01,1991-05-01,10,1.614069823117978
1990-07-01,1991-06-01,11,1.5792081588291351
1990-07-01,1991-07-01,12,1.5922869500694672
1990-07-01,1991-08-01,13,1.725819523818772
1990-07-01,1991-09-01,14,1.9003726207220781
1990-07-01,1991-10-01,15,2.1220229251416853
1990-07-01,1991-11-01,16,2.5386408009406933
1990-07-01,1991-12-01,17,3.038776103474356
1990-07-01,1992-01-01,18,3.0184967358205257
1990-07-01,1992-02-01,19,2.9310926210207935
1990-07-01,1992-03-01,20,2.7731790026787326
1990-07-01,1992-04-01,21,3.092168710049935
1990-07-01,1992-05-01,22,3.0221624918816383
1990-07-01,1992-06-01,23,3.080565696526518
1990-07-01,1992-07-01,24,3.4432719655345947
1990-07-01,1992-08-01,25,3.402507938807727
1990-07-01,1992-09-01,26,3.851911759120766
1990-07-01,1992-10-01,27,3.5477682969051716
1990-07-01,1992-11-01,28,3.2465266385154723
1990-07-01,1992-12-01,29,3.428704227283517
1990-07-01,1993-01-01,30,3.54718616718276
1990-07-01,1993-02-01,31,3.480276468089563
1990-07-01,1993-03-01,32,3.5127968479197165
1990-07-01,1993-04-01,33,3.460721581804694
1990-07-01,1993-05-01,34,3.268547773809149
1990-07-01,1993-06-01,35,3.2942177549604286
1990-07-01,1993-07-01,36,3.250058366692503
1990-07-01,1993-08-01,37,3.2434574996423877
1990-07-01,1993-09-01,38,3.3203049445957995
1990-07-01,1993-10-01,39,3.166357596867482
1990-07-01,1993-11-01,40,3.0332618874412445
1990-07-01,1993-12-01,41,3.162636871107596
1990-07-01,1994-01-01,42,3.167274098378005
1990-07-01,1994-02-01,43,2.7461182296594884
1990-07-01,1994-03-01,44,2.5788352442752394
1990-07-01,1994-04-01,45,2.1041371855397797
1990-07-01,1994-05-01,46,1.7418175652320098
1990-07-01,1994-06-01,47,1.7515101037521585
1990-07-01,1994-07-01,48,1.6137924891944238
1990-07-01,1994-08-01,49,1.3321069830833956
1990-07-01,1994-09-01,50,1.1001494393350848
1990-07-01,1994-10-01,51,0.7622452041720393
1990-07-01,1994-11-01,52,0.15352750249128722
1990-07-01,1994-12-01,53,0.04448701794677756
1990-07-01,1995-01-01,54,0.1365070076323427
1990-07-01,1995-02-01,55,0.044129032696469395
1990-07-01,1995-03-01,56,0.0072361295454062
1990-07-01,1995-04-01,57,0.011976841405021865
1990-07-01,1995-05-01,58,0.06055118494333289
1990-07-01,1995-06-01,59,0.2996965849257718
1990-07-01,1995-07-01,60,0.28635629704342147
