execution_date,forecast_date,horizon,rmse_row
1989-10-01,1989-11-01,1,0.05581045646370825
1989-10-01,1989-12-01,2,0.026804831302393584
1989-10-01,1990-01-01,3,0.27002180611329685
1989-10-01,1990-02-01,4,0.2335914103910564
1989-10-01,1990-03-01,5,0.10883582381145307
1989-10-01,1990-04-01,6,0.3831192058876637
1989-10-01,1990-05-01,7,0.08276755902710731
1989-10-01,1990-06-01,8,0.009882246297106989
1989-10-01,1990-07-01,9,0.3696838387266339
1989-10-01,1990-08-01,10,1.0966945754010327
1989-10-01,1990-09-01,11,1.2202948449910203
1989-10-01,1990-10-01,12,1.167490993880433
1989-10-01,1990-11-01,13,0.6346683202310152
1989-10-01,1990-12-01,14,1.1165796514343178
1989-11-01,1989-12-01,1,0.025322061187596168
1989-11-01,1990-01-01,2,0.22069230584298327
1989-11-01,1990-02-01,3,0.18611943720881485
1989-11-01,1990-03-01,4,0.0625416234823013
1989-11-01,1990-04-01,5,0.3376742790353958
1989-11-01,1990-05-01,6,0.0375768166872158
1989-11-01,1990-06-01,7,0.03592526631192616
1989-11-01,1990-07-01,8,0.3222034368985873
1989-11-01,1990-08-01,9,1.0458833874807336
1989-11-01,1990-09-01,10,1.1645565041090333
1989-11-01,1990-10-01,11,1.1047966001572151
1989-11-01,1990-11-01,12,0.5658490505749095
1989-11-01,1990-12-01,13,1.0419860038218174
1989-11-01,1991-01-01,14,1.349538665687358
1989-11-01,1991-02-01,15,1.4477718287972632
1989-11-01,1991-03-01,16,1.8164694443251406
1989-11-01,1991-04-01,17,2.116483729112762
1989-11-01,1991-05-01,18,2.136089733458068
1989-11-01,1991-06-01,19,2.219239926829391
1989-11-01,1991-07-01,20,2.2474116611851507
1989-11-01,1991-08-01,21,2.213714180497698
1989-11-01,1991-09-01,22,2.030306214563913
1989-11-01,1991-10-01,23,2.530072969579732
1989-11-01,1991-11-01,24,3.03066471923881
1989-11-01,1991-12-01,25,2.8205850346131838
1989-11-01,1992-01-01,26,3.576392294896049
1989-11-01,1992-02-01,27,3.3670089708706503
1989-11-01,1992-03-01,28,3.4685406463244184
1989-11-01,1992-04-01,29,3.976731946600929
1989-11-01,1992-05-01,30,3.6614589838421745
1989-11-01,1992-06-01,31,3.675438186087362
1989-11-01,1992-07-01,32,3.633874970903901
1989-11-01,1992-08-01,33,3.668636961148406
1989-11-01,1992-09-01,34,3.9035586539274405
1989-11-01,1992-10-01,35,3.93272229245144
1989-11-01,1992-11-01,36,3.6313209440456626
1989-11-01,1992-12-01,37,3.560772231049974
1989-11-01,1993-01-01,38,3.406817001969122
1989-11-01,1993-02-01,39,2.979867713546045
1989-11-01,1993-03-01,40,2.9866776015743106
1989-11-01,1993-04-01,41,3.0513256775651056
1989-11-01,1993-05-01,42,2.7457711445589084
1989-11-01,1993-06-01,43,2.350956786970881
1989-11-01,1993-07-01,44,2.278633231654668
1989-11-01,1993-08-01,45,1.8884736779987974
1989-11-01,1993-09-01,46,1.8338008570550177
1989-11-01,1993-10-01,47,1.7008796256299057
1989-11-01,1993-11-01,48,2.106670750879437
1989-11-01,1993-12-01,49,2.1734659945155927
1989-11-01,1994-01-01,50,2.018796350005897
1989-11-01,1994-02-01,51,2.0849506954427373
1989-11-01,1994-03-01,52,2.544546410336732
1989-11-01,1994-04-01,53,2.16973238317462
1989-11-01,1994-05-01,54,1.833587701677324
1989-11-01,1994-06-01,55,1.9866874228325082
1989-11-01,1994-07-01,56,1.718921674637333
1989-11-01,1994-08-01,57,1.4906841835771765
1989-11-01,1994-09-01,58,1.6491969171775145
1989-11-01,1994-10-01,59,1.564428824460585
1989-11-01,1994-11-01,60,0.6734921533366305
