ExecutionDate,ForecastDate,Horizon,RMSE_Row
1957-01-01,1957-02-01,1,0.21002015831366982
1957-01-01,1957-03-01,2,0.31840095138638747
1957-01-01,1957-04-01,3,0.34612786697039644
1957-01-01,1957-05-01,4,0.3590932181903801
1957-01-01,1957-06-01,5,0.10324114638310267
1957-01-01,1957-07-01,6,0.1505436622760099
1957-01-01,1957-08-01,7,0.13646570116684575
1957-01-01,1957-09-01,8,0.3453388155766892
1957-01-01,1957-10-01,9,0.43673187443306327
1957-01-01,1957-11-01,10,0.21843710144661
1957-01-01,1957-12-01,11,0.04791540988464549
1957-01-01,1958-01-01,12,0.4969677689564107
1957-01-01,1958-02-01,13,1.4113299712214424
1957-01-01,1958-03-01,14,1.6005357289608682
1957-01-01,1958-04-01,15,1.809299749180648
1957-01-01,1958-05-01,16,1.9959562740039383
1957-01-01,1958-06-01,17,2.0964466107616677
1957-01-01,1958-07-01,18,1.9505921976738905
1957-01-01,1958-08-01,19,1.0987191871600328
1957-01-01,1958-09-01,20,0.3615272675645982
1957-01-01,1958-10-01,21,0.17914855480588443
1957-01-01,1958-11-01,22,0.1534194430326039
1957-01-01,1958-12-01,23,0.025594196777559475
1957-01-01,1959-01-01,24,0.010718048284121817
1957-01-01,1959-02-01,25,0.04312360614540944
1957-01-01,1959-03-01,26,0.0601956494308169
1957-01-01,1959-04-01,27,0.21726183101264906
1957-01-01,1959-05-01,28,0.15600678570809956
1957-01-01,1959-06-01,29,0.45837791737077893
1957-01-01,1959-07-01,30,0.5288475126091443
1957-01-01,1959-08-01,31,0.7016759510071546
1957-01-01,1959-09-01,32,1.3761831499797386
1957-01-01,1959-10-01,33,1.364050494685264
1957-01-01,1959-11-01,34,1.4430427388344178
1957-01-01,1959-12-01,35,1.7822136421558876
1957-01-01,1960-01-01,36,1.6662916586249668
1957-01-01,1960-02-01,37,1.2664433702381919
1957-01-01,1960-03-01,38,0.6072101932677039
1957-01-01,1960-04-01,39,0.5550329277564297
1957-01-01,1960-05-01,40,0.6154381041772274
1957-01-01,1960-06-01,41,0.2587470793869491
1957-01-01,1960-07-01,42,0.3765630797845767
1957-01-01,1960-08-01,43,0.4039122794165597
1957-01-01,1960-09-01,44,0.2109806458910084
1957-01-01,1960-10-01,45,0.39473514943833665
1957-01-01,1960-11-01,46,0.3303406965487419
1957-01-01,1960-12-01,47,0.4628002654365164
1957-01-01,1961-01-01,48,0.47779659711508105
1957-01-01,1961-02-01,49,0.30076021005877474
1957-01-01,1961-03-01,50,0.3196769961452812
1957-01-01,1961-04-01,51,0.39345462205334014
1957-01-01,1961-05-01,52,0.37610593364473965
1957-01-01,1961-06-01,53,0.36221521143176005
1957-01-01,1961-07-01,54,0.46945988492931257
1957-01-01,1961-08-01,55,0.320311820400073
1957-01-01,1961-09-01,56,0.41078625449374284
1957-01-01,1961-10-01,57,0.3729623141034044
1957-01-01,1961-11-01,58,0.20460980011010932
1957-01-01,1961-12-01,59,0.07804579893545105
1957-01-01,1962-01-01,60,0.051469542239628296
1957-02-01,1957-03-01,1,0.13838586466598413
1957-02-01,1957-04-01,2,0.20157892123639165
1957-02-01,1957-05-01,3,0.24468286522850446
1957-02-01,1957-06-01,4,0.01023062702601285
