execution_date,forecast_date,horizon,prediction,actual
1956-06-01,1956-07-01,1,0.44693705854530186,1.2991010516487442
1956-06-01,1956-08-01,2,0.3064918544297462,1.7959816289349346
1956-06-01,1956-09-01,3,0.2117706551901834,1.9018508063425588
1956-06-01,1956-10-01,4,0.14035190592503266,1.33482597035873
1956-06-01,1956-11-01,5,0.08251112117838877,1.5983577702891432
1956-06-01,1956-12-01,6,0.03273581899939146,1.904754068402618
1956-06-01,1957-01-01,7,-0.01238909507476918,0.7804914629377163
1956-06-01,1957-02-01,8,-0.05433347258030627,1.0538728496066752
1956-06-01,1957-03-01,9,-0.09426061803303201,1.1697505702861928
1956-06-01,1957-04-01,10,-0.13210190960532334,1.3540963424676329
1956-06-01,1957-05-01,11,-0.16887084476873027,1.2976272964504316
1956-06-01,1957-06-01,12,-0.20541923907398313,1.1127486029380735
1956-06-01,1957-07-01,13,-0.2662923215070191,2.0279812609118637
1956-06-01,1957-08-01,14,-0.2908538789063773,2.0714030294917416
1956-06-01,1957-09-01,15,-0.3068918434111486,1.9613996576264272
1956-06-01,1957-10-01,16,-0.3185085512831539,1.6652631134963345
1956-06-01,1957-11-01,17,-0.32837946052362355,0.7427118585300916
1956-06-01,1957-12-01,18,-0.3374621804602166,-0.05916371509122117
1956-06-01,1958-01-01,19,-0.34616891229554836,-0.3826455298914555
1956-06-01,1958-02-01,20,-0.3546669934801665,0.11468079340701368
1956-06-01,1958-03-01,21,-0.36302625475691386,-0.05443407444025461
1956-06-01,1958-04-01,22,-0.3712759438306956,-1.0391823241299547
1956-06-01,1958-05-01,23,-0.37942855002295706,-1.0744939365276187
1956-06-01,1958-06-01,24,-0.38748955310105954,-1.252176082251317
1956-06-01,1958-07-01,25,-0.3954614712355816,-0.096850500823979
1956-06-01,1958-08-01,26,-0.4033455514714702,1.031304724641239
1956-06-01,1958-09-01,27,-0.41114248539652376,1.2578004955869908
1956-06-01,1958-10-01,28,-0.41885271753265374,1.4779085445333056
1956-06-01,1958-11-01,29,-0.42647658154276985,1.0896451199820196
1956-06-01,1958-12-01,30,-0.43401436231775903,1.288656346008558
1956-06-01,1959-01-01,31,-0.44146632536274777,1.5368402630626015
1956-06-01,1959-02-01,32,-0.4488327312808986,2.4474547554919392
1956-06-01,1959-03-01,33,-0.45611384318942144,2.4078583046933253
1956-06-01,1959-04-01,34,-0.4633099306281945,2.076190735184059
1956-06-01,1959-05-01,35,-0.47042127164407344,3.144904564060762
1956-06-01,1959-06-01,36,-0.47744815388338113,3.3227955840470242
1956-06-01,1959-07-01,37,-0.4843908751244631,4.143997307571217
1956-06-01,1959-08-01,38,-0.4912497434846339,3.5905319093672277
1956-06-01,1959-09-01,39,-0.49802507743399427,3.6495421931506704
1956-06-01,1959-10-01,40,-0.5047172056933403,2.9288766634190986
1956-06-01,1959-11-01,41,-0.5113264670621922,2.945391109443808
1956-06-01,1959-12-01,42,-0.5178532102051997,3.2848698841146327
1956-06-01,1960-01-01,43,-0.5242977934140576,2.794978092814338
1956-06-01,1960-02-01,44,-0.5306605843556625,2.8341149441067617
1956-06-01,1960-03-01,45,-0.5369419598132301,2.300326884348037
1956-06-01,1960-04-01,46,-0.5431423054245406,2.362836390410999
1956-06-01,1960-05-01,47,-0.5492620154198479,3.1369715833083185
1956-06-01,1960-06-01,48,-0.555301492361161,2.4937560934941425
1956-06-01,1960-07-01,49,-0.5612611468838831,1.9030720563208996
1956-06-01,1960-08-01,50,-0.5671413974413946,0.8423448236565053
1956-06-01,1960-09-01,51,-0.5729426700529987,0.6576109642312704
1956-06-01,1960-10-01,52,-0.5786653980554554,1.2359416729942638
1956-06-01,1960-11-01,53,-0.58431002185818,1.2669476603445802
1956-06-01,1960-12-01,54,-0.5898769887022293,0.7248431319071882
1956-06-01,1961-01-01,55,-0.595366752423081,0.5448429390143086
1956-06-01,1961-02-01,56,-0.6007797732172012,0.7564800755180782
1956-06-01,1961-03-01,57,-0.6061165174123839,0.4485008670209892
1956-06-01,1961-04-01,58,-0.6113774572418784,0.47714786902976025
1956-06-01,1961-05-01,59,-0.6165630706221821,0.27937256802451316
1956-06-01,1961-06-01,60,-0.6216738409346296,1.6257959629911611
