execution_date,indicator,metric,model,target_col,value
1956-06-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,-0.19427598119782963
1956-06-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.02788213386650356
1956-06-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.39864837048684143
1956-06-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.006922689051301569
1956-06-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.23305058069654225
1956-06-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.00018150194015252303
1956-06-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8779267227490128
1956-06-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,34.0
1956-07-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,-0.18758122014319198
1956-07-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.04783133901537243
1956-07-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.45442010026225244
1956-07-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.002920969622443305
1956-07-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.21405267078690343
1956-07-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.00047027148424341725
1956-07-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8713548542774179
1956-07-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,35.0
1956-08-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,-0.24260543554924607
1956-08-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.0587335305894164
1956-08-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.6517863066069846
1956-08-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,1.0771590154365896e-05
1956-08-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.12263582968163408
1956-08-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.005666118255891715
1956-08-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8617113492597017
1956-08-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,36.0
1956-09-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.05832809904708339
1956-09-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.46051633106323675
1956-09-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.7540470638745317
1956-09-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,4.993927549141536e-07
1956-09-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.12908004303362028
1956-09-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.04033820699418772
1956-09-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8613235705145188
1956-09-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,37.0
1956-10-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.07138084900798601
1956-10-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.3672589654283468
1956-10-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.733981569116528
1956-10-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,2.0085722583037253e-07
1956-10-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.13637347619343268
1956-10-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.031023494161372133
1956-10-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8650956238984364
1956-10-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,38.0
1956-11-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.07576539585284005
1956-11-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.32004023818420707
1956-11-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.7437236351472697
1956-11-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,9.707456606953218e-08
1956-11-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.13547219209740252
1956-11-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.029614066158456093
1956-11-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.871970312578483
1956-11-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,39.0
1956-12-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.03340664877279078
1956-12-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.6465919160866072
1956-12-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.8075371934465296
1956-12-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,1.039535801740063e-09
1956-12-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.10234181140781753
1956-12-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.053222497958006314
1956-12-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8762095018376171
1956-12-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,40.0
1957-01-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.048267956844951526
1957-01-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.53111187573538
1957-01-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.7721332892877133
1957-01-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,2.019234159142236e-09
1957-01-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.11227845852656884
1957-01-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.05138273895123431
1957-01-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8612891740756967
1957-01-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,41.0
1957-02-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.027431722804713815
1957-02-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.7058807804897198
1957-02-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.7623641039874965
1957-02-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,2.4384484502846526e-09
1957-02-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.11610574581040707
1957-02-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.03677901423120839
1957-02-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8648888236371378
1957-02-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,42.0
1957-03-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.09454975647598043
1957-03-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.21533075341851854
1957-03-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.7043813876705589
1957-03-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,1.7220606428758896e-07
1957-03-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.15391353088866946
1957-03-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.019596972040507272
1957-03-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8713695793499057
1957-03-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,43.0
1957-04-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.07951611132068151
1957-04-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.2636600684275558
1957-04-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.698692057818143
1957-04-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,1.5771336320175512e-07
1957-04-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.1560914865790181
1957-04-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.014960892175039492
1957-04-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8758595486457992
1957-04-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,44.0
1957-05-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.03164241823188107
1957-05-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.630046220406844
1957-05-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.6847982536461606
1957-05-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,1.4855106264441457e-07
1957-05-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.15651793732502914
1957-05-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.009532572748696004
1957-05-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8811822291350729
1957-05-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,45.0
1957-06-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,-0.011012380151722984
1957-06-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.8683606726835011
1957-06-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.7670824214424137
1957-06-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,2.073067784792971e-11
1957-06-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.11531806555561772
1957-06-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.014229075768263152
1957-06-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8808645538670824
1957-06-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,46.0
1957-07-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.02141230638873255
1957-07-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.755400710510095
1957-07-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.8068562891204456
1957-07-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,1.061502610501225e-11
1957-07-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.10122084197390518
1957-07-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.038539310633731436
1957-07-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8716359513021978
1957-07-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,47.0
1957-08-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.03713692465330419
1957-08-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.5788762461013676
1957-08-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.8295199194804057
1957-08-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,4.893874460579194e-13
1957-08-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.09291351418768354
1957-08-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.05042831588799907
1957-08-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.876807918032658
1957-08-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,48.0
1957-09-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.05120659115982101
1957-09-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.4321746157164794
1957-09-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.8162693477886386
1957-09-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,7.931317627218076e-13
1957-09-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.10121187030263629
1957-09-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.04034845299988009
1957-09-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8828511698272546
1957-09-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,49.0
1957-10-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.03003872149590777
1957-10-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.6377604834878752
1957-10-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.8046311096599831
1957-10-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,2.7021088338124637e-13
1957-10-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.10434149761109016
1957-10-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.02624419597461818
1957-10-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8871271585408776
1957-10-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,50.0
1957-11-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,-0.015209265428132241
1957-11-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.8155624928296255
1957-11-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.7622764161968789
1957-11-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,9.014201288405102e-13
1957-11-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.11936561825863622
1957-11-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.008653343624993773
1957-11-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.884242927305727
1957-11-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,51.0
1957-12-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,-0.08142340688266245
1957-12-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.2475165388730863
1957-12-01,beta3,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.7273747723606874
1957-12-01,beta3,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,6.972194550253686e-12
1957-12-01,output_gap,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,0.1286453533679898
1957-12-01,output_gap,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.00339801629709814
1957-12-01,model,adjusted_r_squared,AR(1) + Output Gap (Direct) - MRM,beta3,0.8819972113829461
1957-12-01,model,n_obs,AR(1) + Output Gap (Direct) - MRM,beta3,52.0
1958-01-01,const,coefficient,AR(1) + Output Gap (Direct) - MRM,beta3,-0.11954156546935338
1958-01-01,const,p_value,AR(1) + Output Gap (Direct) - MRM,beta3,0.10681088406653702
