ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1990-09-01,1990-10-01,1,-0.14698587922200396,-1.6037078968348606
1990-09-01,1990-11-01,2,0.2893086443151041,-0.9680971898948603
1990-09-01,1990-12-01,3,0.6092944583585336,-1.0266385005860936
1990-09-01,1991-01-01,4,0.8394285075376525,-1.2740079945094738
1990-09-01,1991-02-01,5,1.0045996352543116,-0.7751346268749875
1990-09-01,1991-03-01,6,1.1226589529289774,-0.29771916826951594
1990-09-01,1991-04-01,7,1.2073040608795171,-0.9727994441075547
1990-09-01,1991-05-01,8,1.266384480371174,-1.250994204966524
1990-09-01,1991-06-01,9,1.3041420353512998,-0.6835941192351389
1990-09-01,1991-07-01,10,1.324450189275639,-1.136599701596895
1990-09-01,1991-08-01,11,1.3295463542599415,-2.1085998781299944
1990-09-01,1991-09-01,12,1.3227989892890248,-2.447259797606499
1990-09-01,1991-10-01,13,1.3150191669287543,-3.459851754339707
1990-09-01,1991-11-01,14,1.3064842073312224,-3.9914559943904293
1990-09-01,1991-12-01,15,1.297423238691756,-3.7931949550272703
1990-09-01,1992-01-01,16,1.2892674597514768,-3.7637424648960716
1990-09-01,1992-02-01,17,1.2819017211496193,-2.9445823401205002
1990-09-01,1992-03-01,18,1.2752245811669112,-2.265985803628291
1990-09-01,1992-04-01,19,1.2690952622568719,-2.4100317335164654
1990-09-01,1992-05-01,20,1.2634454434904117,-2.8422680215235077
1990-09-01,1992-06-01,21,1.2582355435009935,-3.8378031174072085
1990-09-01,1992-07-01,22,1.2533927917020429,-4.002735660957742
1990-09-01,1992-08-01,23,1.2489036003897211,-5.127956973419357
1990-09-01,1992-09-01,24,1.2447604719599228,-5.005130149426236
1990-09-01,1992-10-01,25,1.2409087435348427,-3.86325138393396
1990-09-01,1992-11-01,26,1.2373084225524393,-2.819974737694884
1990-09-01,1992-12-01,27,1.2339302556941067,-2.808291897806063
1990-09-01,1993-01-01,28,1.2309389776496313,-3.5277552373034164
1990-09-01,1993-02-01,29,1.228194194637344,-3.89704534261046
1990-09-01,1993-03-01,30,1.2255931341894493,-3.5448358757673253
1990-09-01,1993-04-01,31,1.2230605612087124,-4.33223877121382
1990-09-01,1993-05-01,32,1.220541397360335,-2.8886919959686246
1990-09-01,1993-06-01,33,1.2179953190805974,-2.946559896224945
1990-09-01,1993-07-01,34,1.215392803768552,-2.4283531634248683
1990-09-01,1993-08-01,35,1.2127122359273326,-2.706280219410719
1990-09-01,1993-09-01,36,1.2099377891004437,-2.2020302660568634
1990-09-01,1993-10-01,37,1.2070578756254269,-2.0233503467767364
1990-09-01,1993-11-01,38,1.2040640119825754,-2.317425416884381
1990-09-01,1993-12-01,39,1.2009499883245796,-1.7611203193425609
1990-09-01,1994-01-01,40,1.1981913475602302,-1.889445607493758
1990-09-01,1994-02-01,41,1.195686837990202,-1.4298325931567903
1990-09-01,1994-03-01,42,1.1933623520454537,-0.6292201563625335
1990-09-01,1994-04-01,43,1.191163649451583,0.4525732437996935
1990-09-01,1994-05-01,44,1.1890510311893427,0.6789205212887691
1990-09-01,1994-06-01,45,1.1869954412759705,1.2041510050157664
1990-09-01,1994-07-01,46,1.1849756135927956,0.5191104309769662
1990-09-01,1994-08-01,47,1.1829759835999534,0.4700259103935908
1990-09-01,1994-09-01,48,1.180985159884937,1.1808172388152647
1990-09-01,1994-10-01,49,1.1789948054630486,0.9981575135605179
1990-09-01,1994-11-01,50,1.1769988189822111,2.555430709834532
1990-09-01,1994-12-01,51,1.1749927354328615,4.2352787849926585
1990-09-01,1995-01-01,52,1.173893180121539,1.9741336112955366
1990-09-01,1995-02-01,53,1.1734732085395196,0.7595413817340142
1990-09-01,1995-03-01,54,1.1735667148700486,1.0981916768287228
1990-09-01,1995-04-01,55,1.1740521224881457,0.46655851359859524
1990-09-01,1995-05-01,56,1.1748404467606601,-1.0433808472143182
1990-09-01,1995-06-01,57,1.1758665580070622,-0.5995982350541881
1990-09-01,1995-07-01,58,1.1770827867121922,-0.8432131245761192
1990-09-01,1995-08-01,59,1.1784542430729694,-0.24104501252960858
1990-09-01,1995-09-01,60,1.179955391295225,0.1242958734384345
1990-12-01,1991-01-01,1,-0.38505916150112995,-1.2740079945094738
1990-12-01,1991-02-01,2,0.08598976062879675,-0.7751346268749875
1990-12-01,1991-03-01,3,0.43168547605718965,-0.29771916826951594
1990-12-01,1991-04-01,4,0.6853575890194789,-0.9727994441075547
1990-12-01,1991-05-01,5,0.8707305573255064,-1.250994204966524
1990-12-01,1991-06-01,6,1.0038325925317786,-0.6835941192351389
1990-12-01,1991-07-01,7,1.0975004644862933,-1.136599701596895
1990-12-01,1991-08-01,8,1.1609228366930775,-2.1085998781299944
1990-12-01,1991-09-01,9,1.2024538895689822,-2.447259797606499
1990-12-01,1991-10-01,10,1.228814027909949,-3.459851754339707
1990-12-01,1991-11-01,11,1.2457286463304589,-3.9914559943904293
1990-12-01,1991-12-01,12,1.2564858045770442,-3.7931949550272703
1990-12-01,1992-01-01,13,1.2621909109012714,-3.7637424648960716
1990-12-01,1992-02-01,14,1.2643906185363853,-2.9445823401205002
1990-12-01,1992-03-01,15,1.2641724761347177,-2.265985803628291
1990-12-01,1992-04-01,16,1.2622540067928687,-2.4100317335164654
1990-12-01,1992-05-01,17,1.2591991588838103,-2.8422680215235077
1990-12-01,1992-06-01,18,1.2554343599722264,-3.8378031174072085
1990-12-01,1992-07-01,19,1.251226675552244,-4.002735660957742
1990-12-01,1992-08-01,20,1.2468156830590598,-5.127956973419357
1990-12-01,1992-09-01,21,1.2423527246290005,-5.005130149426236
1990-12-01,1992-10-01,22,1.2378828558797579,-3.86325138393396
1990-12-01,1992-11-01,23,1.2333654831229686,-2.819974737694884
1990-12-01,1992-12-01,24,1.2288417667392226,-2.808291897806063
1990-12-01,1993-01-01,25,1.225205497267726,-3.5277552373034164
1990-12-01,1993-02-01,26,1.2221746640104383,-3.89704534261046
1990-12-01,1993-03-01,27,1.2195414011170578,-3.5448358757673253
1990-12-01,1993-04-01,28,1.2171524888871097,-4.33223877121382
1990-12-01,1993-05-01,29,1.21489498358958,-2.8886919959686246
1990-12-01,1993-06-01,30,1.2126856269056854,-2.946559896224945
1990-12-01,1993-07-01,31,1.210463040884345,-2.4283531634248683
