ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1990-05-01,1990-06-01,1,1.0404732238535228,0.3264386515772397
1990-05-01,1990-07-01,2,1.067097743443459,-0.7588913302971004
1990-05-01,1990-08-01,3,1.0892027793381247,-1.2513878714040996
1990-05-01,1990-09-01,4,1.107731572293573,-0.7408997348118894
1990-05-01,1990-10-01,5,1.1234200361961637,-1.6037078968348606
1990-05-01,1990-11-01,6,1.1368426208827274,-0.9680971898948603
1990-05-01,1990-12-01,7,1.148448025162852,-1.0266385005860936
1990-05-01,1991-01-01,8,1.1582496537980105,-1.2740079945094738
1990-05-01,1991-02-01,9,1.166610008743374,-0.7751346268749875
1990-05-01,1991-03-01,10,1.1738123631218462,-0.29771916826951594
1990-05-01,1991-04-01,11,1.1800782799611902,-0.9727994441075547
1990-05-01,1991-05-01,12,1.1855812538708876,-1.250994204966524
1990-05-01,1991-06-01,13,1.1904573336881341,-0.6835941192351389
1990-05-01,1991-07-01,14,1.194813394234577,-1.136599701596895
1990-05-01,1991-08-01,15,1.1987335774609695,-2.1085998781299944
1990-05-01,1991-09-01,16,1.202284308115851,-2.447259797606499
1990-05-01,1991-10-01,17,1.2055181994147488,-3.459851754339707
1990-05-01,1991-11-01,18,1.2084770943690564,-3.9914559943904293
1990-05-01,1991-12-01,19,1.2111944340674081,-3.7931949550272703
1990-05-01,1992-01-01,20,1.2134503732232758,-3.7637424648960716
1990-05-01,1992-02-01,21,1.2153310169123062,-2.9445823401205002
1990-05-01,1992-03-01,22,1.2169040045062387,-2.265985803628291
1990-05-01,1992-04-01,23,1.218222583434122,-2.4100317335164654
1990-05-01,1992-05-01,24,1.219328781496443,-2.8422680215235077
1990-05-01,1992-06-01,25,1.220255877232325,-3.8378031174072085
1990-05-01,1992-07-01,26,1.221030323689096,-4.002735660957742
1990-05-01,1992-08-01,27,1.2216732465635969,-5.127956973419357
1990-05-01,1992-09-01,28,1.2222016109130684,-5.005130149426236
1990-05-01,1992-10-01,29,1.2226291297867207,-3.86325138393396
1990-05-01,1992-11-01,30,1.2229669718958458,-2.819974737694884
1990-05-01,1992-12-01,31,1.223224312799603,-2.808291897806063
1990-05-01,1993-01-01,32,1.2235042674783763,-3.5277552373034164
