ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1990-05-01,1990-06-01,1,0.7285584028128776,0.6793349594182309
1990-05-01,1990-07-01,2,0.7659818939330387,1.0971760198933347
1990-05-01,1990-08-01,3,0.8021519518500144,1.876039763094025
1990-05-01,1990-09-01,4,0.8371527519014749,2.0462354767593456
1990-05-01,1990-10-01,5,0.8701788311436592,2.0357328374619845
1990-05-01,1990-11-01,6,0.9013700839166915,1.5441932887733472
1990-05-01,1990-12-01,7,0.9311468536113037,2.06641911707302
1990-05-01,1991-01-01,8,0.9583143874796862,2.4160151782727493
1990-05-01,1991-02-01,9,0.9843381319233064,2.5526587594477252
1990-05-01,1991-03-01,10,1.0095987793653105,2.956500851497077
1990-05-01,1991-04-01,11,1.033558912251185,3.288720318023309
1990-05-01,1991-05-01,12,1.0564359366779748,3.3378829607543947
1990-05-01,1991-06-01,13,1.0779140449443247,3.4482001016388133
1990-05-01,1991-07-01,14,1.0987363529026155,3.501379597157597
1990-05-01,1991-08-01,15,1.118316903040472,3.4907360030907593
1990-05-01,1991-09-01,16,1.1368657046737496,3.328610971927237
1990-05-01,1991-10-01,17,1.154559415846765,3.848052734586415
1990-05-01,1991-11-01,18,1.1712086281320675,4.366856905034501
1990-05-01,1991-12-01,19,1.186398996524302,4.173656676995725
1990-05-01,1992-01-01,20,1.2006013942525182,4.944275817142783
1990-05-01,1992-02-01,21,1.2133158924255099,4.74786064898036
1990-05-01,1992-03-01,22,1.224234958750153,4.8607158288736825
1990-05-01,1992-04-01,23,1.2336318938037916,5.378763034184644
1990-05-01,1992-05-01,24,1.241646107753015,5.0720358605598985
1990-05-01,1992-06-01,25,1.2484043063689332,5.093390829811837
1990-05-01,1992-07-01,26,1.2540230378738562,5.058157999522936
1990-05-01,1992-08-01,27,1.2586095073147616,5.09831589903202
1990-05-01,1992-09-01,28,1.2622623256419512,5.337797726916988
1990-05-01,1992-10-01,29,1.2650721987281843,5.370773581032498
1990-05-01,1992-11-01,30,1.2671225611436507,5.072514743350435
1990-05-01,1992-12-01,31,1.2684901591162452,5.0045084832031925
1990-05-01,1993-01-01,32,1.2692896432900118,4.852915538956887
1990-05-01,1993-02-01,33,1.2696264759673626,4.428163689326173
1990-05-01,1993-03-01,34,1.2695976672744342,4.43701992774098
1990-05-01,1993-04-01,35,1.26929245230221,4.503575631390836
1990-05-01,1993-05-01,36,1.2687929139558132,4.199801130216027
