ExecutionDate,ForecastDate,Horizon,Prediction,Actual
1990-02-01,1990-03-01,1,0.68066241892346,0.5766017074268035
1990-02-01,1990-04-01,2,0.7360431456953285,0.9216906982957264
1990-02-01,1990-05-01,3,0.7916493859783286,0.6890041478906238
1990-02-01,1990-06-01,4,0.8455971640445805,0.6793349594182309
1990-02-01,1990-07-01,5,0.8963325151044982,1.0971760198933347
1990-02-01,1990-08-01,6,0.9429478425227489,1.876039763094025
1990-02-01,1990-09-01,7,0.9873392582748184,2.0462354767593456
1990-02-01,1990-10-01,8,1.0302400717725912,2.0357328374619845
1990-02-01,1990-11-01,9,1.0713098074631715,1.5441932887733472
1990-02-01,1990-12-01,10,1.1105748614077509,2.06641911707302
1990-02-01,1991-01-01,11,1.1505317334759237,2.4160151782727493
1990-02-01,1991-02-01,12,1.187154772601987,2.5526587594477252
1990-02-01,1991-03-01,13,1.2199071980410534,2.956500851497077
1990-02-01,1991-04-01,14,1.248857583956977,3.288720318023309
1990-02-01,1991-05-01,15,1.2746127920271848,3.3378829607543947
1990-02-01,1991-06-01,16,1.2973590381741147,3.4482001016388133
1990-02-01,1991-07-01,17,1.3180230386541913,3.501379597157597
1990-02-01,1991-08-01,18,1.3359326315662712,3.4907360030907593
1990-02-01,1991-09-01,19,1.3513103281461067,3.328610971927237
1990-02-01,1991-10-01,20,1.364337924399816,3.848052734586415
1990-02-01,1991-11-01,21,1.3747812980085523,4.366856905034501
1990-02-01,1991-12-01,22,1.382153445309351,4.173656676995725
1990-02-01,1992-01-01,23,1.3872000449884105,4.944275817142783
1990-02-01,1992-02-01,24,1.390282584934848,4.74786064898036
1990-02-01,1992-03-01,25,1.3916421773623775,4.8607158288736825
1990-02-01,1992-04-01,26,1.3914993897014831,5.378763034184644
1990-02-01,1992-05-01,27,1.3900559956811185,5.0720358605598985
1990-02-01,1992-06-01,28,1.387496577100288,5.093390829811837
1990-02-01,1992-07-01,29,1.3839899890207499,5.058157999522936
1990-02-01,1992-08-01,30,1.3796907000266305,5.09831589903202
1990-02-01,1992-09-01,31,1.3747400182036056,5.337797726916988
1990-02-01,1992-10-01,32,1.3692672125820458,5.370773581032498
1990-02-01,1992-11-01,33,1.363390538957649,5.072514743350435
1990-02-01,1992-12-01,34,1.3572181782430222,5.0045084832031925
1990-02-01,1993-01-01,35,1.3509454193503958,4.852915538956887
1990-02-01,1993-02-01,36,1.3446471855281146,4.428163689326173
1990-02-01,1993-03-01,37,1.3383920173384323,4.43701992774098
1990-02-01,1993-04-01,38,1.3322426163108054,4.503575631390836
1990-02-01,1993-05-01,39,1.3262563422393239,4.199801130216027
1990-02-01,1993-06-01,40,1.3204856680768593,3.806649232874309
1990-02-01,1993-07-01,41,1.3149785960416298,3.735879608768938
1990-02-01,1993-08-01,42,1.3097790382434178,3.3471736256415228
1990-02-01,1993-09-01,43,1.3049271648548242,3.2938614042300043
1990-02-01,1993-10-01,44,1.3004597225948722,3.1622144972568265
1990-02-01,1993-11-01,45,1.2964103260563702,3.5691997494720535
1990-02-01,1993-12-01,46,1.2928097241925933,3.6371144489134988
1990-02-01,1994-01-01,47,1.2895540852757181,3.483642219650421
1990-02-01,1994-02-01,48,1.2866519446494165,3.5510499705230596
1990-02-01,1994-03-01,49,1.2841111094926942,4.011935790761724
1990-02-01,1994-04-01,50,1.28193872071875,3.6384316567595634
1990-02-01,1994-05-01,51,1.2801413095958702,3.3036018550727984
1990-02-01,1994-06-01,52,1.2787248495404564,3.4580085149863864
1990-02-01,1994-07-01,53,1.2776948034937887,3.1915304992609244
1990-02-01,1994-08-01,54,1.2770561672591147,2.9645517441366125
1990-02-01,1994-09-01,55,1.2768135091435233,3.1242857353103064
1990-02-01,1994-10-01,56,1.2769710062196806,3.0406941003882295
1990-02-01,1994-11-01,57,1.27753247749563,2.1508827947746503
1990-02-01,1994-12-01,58,1.278501414256318,1.5817934427148839
1990-02-01,1995-01-01,59,,1.565230181916487
1990-02-01,1995-02-01,60,,1.4501807603325756
1989-11-01,1989-12-01,1,0.2929042926994994,0.2641869798848133
1989-11-01,1990-01-01,2,0.378064064168428,0.5885151657058926
1989-11-01,1990-02-01,3,0.4607465843044415,0.6283790656456304
1989-11-01,1990-03-01,4,0.5424841973213123,0.5766017074268035
1989-11-01,1990-04-01,5,0.6238300471751189,0.9216906982957264
1989-11-01,1990-05-01,6,0.7021889926597762,0.6890041478906238
1989-11-01,1990-06-01,7,0.7759469460955655,0.6793349594182309
1989-11-01,1990-07-01,8,0.8437876406133236,1.0971760198933347
1989-11-01,1990-08-01,9,0.9050443651547514,1.876039763094025
1989-11-01,1990-09-01,10,0.9617781444138737,2.0462354767593456
1989-11-01,1990-10-01,11,1.0148783664159868,2.0357328374619845
1989-11-01,1990-11-01,12,1.0637703815184876,1.5441932887733472
1989-11-01,1990-12-01,13,1.1084892496461842,2.06641911707302
1989-11-01,1991-01-01,14,1.1484644665236174,2.4160151782727493
1989-11-01,1991-02-01,15,1.184291665425604,2.5526587594477252
1989-11-01,1991-03-01,16,1.2160459100830205,2.956500851497077
1989-11-01,1991-04-01,17,1.243958486910487,3.288720318023309
1989-11-01,1991-05-01,18,1.2687103198762062,3.3378829607543947
1989-11-01,1991-06-01,19,1.2905434480303557,3.4482001016388133
1989-11-01,1991-07-01,20,1.3104305012299133,3.501379597157597
1989-11-01,1991-08-01,21,1.3277466942954577,3.4907360030907593
1989-11-01,1991-09-01,22,1.3427547638987272,3.328610971927237
1989-11-01,1991-10-01,23,1.3556733389014777,3.848052734586415
1989-11-01,1991-11-01,24,1.3665043394738203,4.366856905034501
1989-11-01,1991-12-01,25,1.3751169385809054,4.173656676995725
1989-11-01,1992-01-01,26,1.3818207672031788,4.944275817142783
1989-11-01,1992-02-01,27,1.3867819523896694,4.74786064898036
1989-11-01,1992-03-01,28,1.3901525100001875,4.8607158288736825
1989-11-01,1992-04-01,29,1.3920715433911328,5.378763034184644
1989-11-01,1992-05-01,30,1.3926663402778339,5.0720358605598985
1989-11-01,1992-06-01,31,1.3920533764229224,5.093390829811837
1989-11-01,1992-07-01,32,1.3903392340654814,5.058157999522936
1989-11-01,1992-08-01,33,1.3876214423333573,5.09831589903202
1989-11-01,1992-09-01,34,1.383989246265914,5.337797726916988
1989-11-01,1992-10-01,35,1.3795243105114041,5.370773581032498
1989-11-01,1992-11-01,36,1.374301363248175,5.072514743350435
1989-11-01,1992-12-01,37,1.3683887854073233,5.0045084832031925
1989-11-01,1993-01-01,38,1.3620421024015936,4.852915538956887
1989-11-01,1993-02-01,39,1.3553925774202416,4.428163689326173
1989-11-01,1993-03-01,40,1.3485603351876552,4.43701992774098
1989-11-01,1993-04-01,41,1.3416553069507302,4.503575631390836
1989-11-01,1993-05-01,42,1.3347780951932169,4.199801130216027
1989-11-01,1993-06-01,43,1.3280207648959104,3.806649232874309
1989-11-01,1993-07-01,44,1.3214675675823482,3.735879608768938
1989-11-01,1993-08-01,45,1.315195603859638,3.3471736256415228
1989-11-01,1993-09-01,46,1.3092754296790075,3.2938614042300043
1989-11-01,1993-10-01,47,1.303771611096923,3.1622144972568265
1989-11-01,1993-11-01,48,1.2987432319114056,3.5691997494720535
1989-11-01,1993-12-01,49,1.294244358176718,3.6371144489134988
1989-11-01,1994-01-01,50,1.2901654332762664,3.483642219650421
1989-11-01,1994-02-01,51,1.2865085719586085,3.5510499705230596
1989-11-01,1994-03-01,52,1.283275708955176,4.011935790761724
1989-11-01,1994-04-01,53,1.2804686140830726,3.6384316567595634
1989-11-01,1994-05-01,54,1.2780889060649296,3.3036018550727984
1989-11-01,1994-06-01,55,1.2761380651748635,3.4580085149863864
1989-11-01,1994-07-01,56,1.2746174448101943,3.1915304992609244
1989-11-01,1994-08-01,57,1.273528282080205,2.9645517441366125
1989-11-01,1994-09-01,58,1.2728717074954476,3.1242857353103064
1989-11-01,1994-10-01,59,1.2726487538339986,3.0406941003882295
1989-11-01,1994-11-01,60,1.2728603642545617,2.1508827947746503
1991-01-01,1991-02-01,1,2.326521582829924,2.5526587594477252
1991-01-01,1991-03-01,2,2.250033415020037,2.956500851497077
1991-01-01,1991-04-01,3,2.1839497267277923,3.288720318023309
1991-01-01,1991-05-01,4,2.128009889562066,3.3378829607543947
1991-01-01,1991-06-01,5,2.084798323732408,3.4482001016388133
1991-01-01,1991-07-01,6,2.053297377685372,3.501379597157597
1991-01-01,1991-08-01,7,2.034416271760429,3.4907360030907593
1991-01-01,1991-09-01,8,2.026759403609695,3.328610971927237
1991-01-01,1991-10-01,9,2.029367343969818,3.848052734586415
1991-01-01,1991-11-01,10,2.036909176792164,4.366856905034501
1991-01-01,1991-12-01,11,2.0485189443106817,4.173656676995725
1991-01-01,1992-01-01,12,2.063993836455029,4.944275817142783
1991-01-01,1992-02-01,13,2.080874615648971,4.74786064898036
1991-01-01,1992-03-01,14,2.0973769031679725,4.8607158288736825
1991-01-01,1992-04-01,15,2.1126162259026513,5.378763034184644
1991-01-01,1992-05-01,16,2.125469757767921,5.0720358605598985
1991-01-01,1992-06-01,17,2.1348134305030113,5.093390829811837
1991-01-01,1992-07-01,18,2.1400391143375743,5.058157999522936
1991-01-01,1992-08-01,19,2.140208936803092,5.09831589903202
1991-01-01,1992-09-01,20,2.134689136677085,5.337797726916988
1991-01-01,1992-10-01,21,2.1234921016450614,5.370773581032498
1991-01-01,1992-11-01,22,2.107286932269076,5.072514743350435
1991-01-01,1992-12-01,23,2.086327515070593,5.0045084832031925
1991-01-01,1993-01-01,24,2.0608363685619278,4.852915538956887
1991-01-01,1993-02-01,25,2.0317274679659274,4.428163689326173
1991-01-01,1993-03-01,26,1.9998377376639611,4.43701992774098
1991-01-01,1993-04-01,27,1.9659335425937223,4.503575631390836
1991-01-01,1993-05-01,28,1.9307166296365175,4.199801130216027
1991-01-01,1993-06-01,29,1.8948295655967073,3.806649232874309
1991-01-01,1993-07-01,30,1.8588607144277935,3.735879608768938
1991-01-01,1993-08-01,31,1.8233487927457621,3.3471736256415228
1991-01-01,1993-09-01,32,1.7887870393626506,3.2938614042300043
1991-01-01,1993-10-01,33,1.7556270315459208,3.1622144972568265
1991-01-01,1993-11-01,34,1.7242821779383242,3.5691997494720535
1991-01-01,1993-12-01,35,1.6951309155367913,3.6371144489134988
1991-01-01,1994-01-01,36,1.668294640440557,3.483642219650421
1991-01-01,1994-02-01,37,1.6436167395300203,3.5510499705230596
1991-01-01,1994-03-01,38,1.6209538692585597,4.011935790761724
1991-01-01,1994-04-01,39,1.6001748312119832,3.6384316567595634
1991-01-01,1994-05-01,40,1.5811595429338692,3.3036018550727984
1991-01-01,1994-06-01,41,1.563798095945684,3.4580085149863864
1991-01-01,1994-07-01,42,1.547989893574249,3.1915304992609244
1991-01-01,1994-08-01,43,1.5336428618249969,2.9645517441366125
1991-01-01,1994-09-01,44,1.520672727112449,3.1242857353103064
1991-01-01,1994-10-01,45,1.5090023551834724,3.0406941003882295
1991-01-01,1994-11-01,46,1.498561146048959,2.1508827947746503
1991-01-01,1994-12-01,47,1.4892844801786964,1.5817934427148839
1991-01-01,1995-01-01,48,1.4810440810738064,1.565230181916487
1991-01-01,1995-02-01,49,1.4737714055217452,1.4501807603325756
1991-01-01,1995-03-01,50,1.4674037168212999,1.4497181600036473
1991-01-01,1995-04-01,51,1.4618835927895224,1.4053292961941923
1991-01-01,1995-05-01,52,1.4571584754517939,0.830003511540641
1991-01-01,1995-06-01,53,1.4531802588834766,0.9391417457474248
1991-01-01,1995-07-01,54,1.4499049119708807,1.2730359803945228
