Maturity (Years),Execution Date,Horizon (Years),Metric,Value
0.08333,1990-02-01,0.5,RMSE,
0.08333,1990-02-01,0.5,R-Squared,
0.08333,1990-02-01,1.0,RMSE,
0.08333,1990-02-01,1.0,R-Squared,
0.08333,1990-02-01,2.0,RMSE,
0.08333,1990-02-01,2.0,R-Squared,
0.08333,1990-02-01,3.0,RMSE,
0.08333,1990-02-01,3.0,R-Squared,
0.08333,1990-02-01,4.0,RMSE,
0.08333,1990-02-01,4.0,R-Squared,
0.08333,1990-02-01,5.0,RMSE,
0.08333,1990-02-01,5.0,R-Squared,
0.25,1990-02-01,0.5,RMSE,0.0013638702795122268
0.25,1990-02-01,0.5,R-Squared,0.3573602632536864
0.25,1990-02-01,1.0,RMSE,0.0072029015325410835
0.25,1990-02-01,1.0,R-Squared,-0.34251499937420493
0.25,1990-02-01,2.0,RMSE,0.019230818976936164
0.25,1990-02-01,2.0,R-Squared,-1.039359776531803
0.25,1990-02-01,3.0,RMSE,0.028251630482876305
0.25,1990-02-01,3.0,R-Squared,-1.5578927419017123
0.25,1990-02-01,4.0,RMSE,0.03200458991543605
0.25,1990-02-01,4.0,R-Squared,-2.173019205685109
0.25,1990-02-01,5.0,RMSE,0.030524824634594737
0.25,1990-02-01,5.0,R-Squared,-2.4349140320980776
0.5,1990-02-01,0.5,RMSE,0.002219094523495953
0.5,1990-02-01,0.5,R-Squared,0.21018425493117576
0.5,1990-02-01,1.0,RMSE,0.007604028261137247
0.5,1990-02-01,1.0,R-Squared,-0.3902014413012984
0.5,1990-02-01,2.0,RMSE,0.019670596748029873
0.5,1990-02-01,2.0,R-Squared,-1.0881712874195295
0.5,1990-02-01,3.0,RMSE,0.028438279567685583
0.5,1990-02-01,3.0,R-Squared,-1.6288092972759283
0.5,1990-02-01,4.0,RMSE,0.03215591917052356
0.5,1990-02-01,4.0,R-Squared,-2.257384132535777
0.5,1990-02-01,5.0,RMSE,0.030228991674716803
0.5,1990-02-01,5.0,R-Squared,-2.375209576287311
1.0,1990-02-01,0.5,RMSE,0.002954558261771202
1.0,1990-02-01,0.5,R-Squared,0.12120405803659051
1.0,1990-02-01,1.0,RMSE,0.008186195959948923
1.0,1990-02-01,1.0,R-Squared,-0.4361152361801639
1.0,1990-02-01,2.0,RMSE,0.019994084560226263
1.0,1990-02-01,2.0,R-Squared,-1.1208279683990576
1.0,1990-02-01,3.0,RMSE,0.028680854040794047
1.0,1990-02-01,3.0,R-Squared,-1.674395407203066
1.0,1990-02-01,4.0,RMSE,0.03232868144754122
1.0,1990-02-01,4.0,R-Squared,-2.3197747091503964
1.0,1990-02-01,5.0,RMSE,0.029974193373976235
1.0,1990-02-01,5.0,R-Squared,-2.2436041606284447
2.0,1990-02-01,0.5,RMSE,0.0037144102663486172
2.0,1990-02-01,0.5,R-Squared,0.025560424929276016
2.0,1990-02-01,1.0,RMSE,0.007046501130419272
2.0,1990-02-01,1.0,R-Squared,-0.35860891616945345
2.0,1990-02-01,2.0,RMSE,0.016858606534596005
2.0,1990-02-01,2.0,R-Squared,-1.0206354625325171
2.0,1990-02-01,3.0,RMSE,0.024492671198228108
2.0,1990-02-01,3.0,R-Squared,-1.518609991680628
2.0,1990-02-01,4.0,RMSE,0.028618353048111264
2.0,1990-02-01,4.0,R-Squared,-2.062129738045179
2.0,1990-02-01,5.0,RMSE,0.026408742739242652
2.0,1990-02-01,5.0,R-Squared,-1.955549448825261
3.0,1990-02-01,0.5,RMSE,0.0034069993150370667
3.0,1990-02-01,0.5,R-Squared,0.0014569319565168604
3.0,1990-02-01,1.0,RMSE,0.00663025611343448
3.0,1990-02-01,1.0,R-Squared,-0.519305269925503
3.0,1990-02-01,2.0,RMSE,0.015206441062485676
3.0,1990-02-01,2.0,R-Squared,-1.0996033601382211
3.0,1990-02-01,3.0,RMSE,0.022058705943331244
3.0,1990-02-01,3.0,R-Squared,-1.5518970545609077
3.0,1990-02-01,4.0,RMSE,0.02638139093420455
3.0,1990-02-01,4.0,R-Squared,-2.031181669116409
3.0,1990-02-01,5.0,RMSE,0.024363855994949203
3.0,1990-02-01,5.0,R-Squared,-1.9646866624645045
4.0,1990-02-01,0.5,RMSE,0.0031116098069514423
4.0,1990-02-01,0.5,R-Squared,-0.012463821552130883
4.0,1990-02-01,1.0,RMSE,0.005744573005446078
4.0,1990-02-01,1.0,R-Squared,-0.4768037873868807
4.0,1990-02-01,2.0,RMSE,0.01289790732023767
4.0,1990-02-01,2.0,R-Squared,-0.9973855681925154
4.0,1990-02-01,3.0,RMSE,0.01888075985547987
4.0,1990-02-01,3.0,R-Squared,-1.4054592427880914
4.0,1990-02-01,4.0,RMSE,0.023394259360577797
4.0,1990-02-01,4.0,R-Squared,-1.7939867893850918
4.0,1990-02-01,5.0,RMSE,0.021583431969800393
4.0,1990-02-01,5.0,R-Squared,-1.7639212579292316
5.0,1990-02-01,0.5,RMSE,0.0028426494205188117
