Maturity (Years),Execution Date,Horizon (Years),Metric,Value
0.08333,1990-12-01,0.5,RMSE,
0.08333,1990-12-01,0.5,R-Squared,
0.08333,1990-12-01,1.0,RMSE,
0.08333,1990-12-01,1.0,R-Squared,
0.08333,1990-12-01,2.0,RMSE,
0.08333,1990-12-01,2.0,R-Squared,
0.08333,1990-12-01,3.0,RMSE,
0.08333,1990-12-01,3.0,R-Squared,
0.08333,1990-12-01,4.0,RMSE,
0.08333,1990-12-01,4.0,R-Squared,
0.08333,1990-12-01,5.0,RMSE,
0.08333,1990-12-01,5.0,R-Squared,
0.25,1990-12-01,0.5,RMSE,0.007824505750781956
0.25,1990-12-01,0.5,R-Squared,-6.582290689553379
0.25,1990-12-01,1.0,RMSE,0.013325659673429587
0.25,1990-12-01,1.0,R-Squared,-2.904262611022956
0.25,1990-12-01,2.0,RMSE,0.022180076540078537
0.25,1990-12-01,2.0,R-Squared,-2.8649930496242044
0.25,1990-12-01,3.0,RMSE,0.024817611441112754
0.25,1990-12-01,3.0,R-Squared,-3.7258820333799783
0.25,1990-12-01,4.0,RMSE,0.022942493775755232
0.25,1990-12-01,4.0,R-Squared,-3.485548278332379
0.25,1990-12-01,5.0,RMSE,0.02054658780964416
0.25,1990-12-01,5.0,R-Squared,-2.1831610362945018
0.5,1990-12-01,0.5,RMSE,0.008070768292508135
0.5,1990-12-01,0.5,R-Squared,-10.002958577326266
0.5,1990-12-01,1.0,RMSE,0.014311799086980942
0.5,1990-12-01,1.0,R-Squared,-3.1894453651924417
0.5,1990-12-01,2.0,RMSE,0.02291333970393464
0.5,1990-12-01,2.0,R-Squared,-3.249389510113997
0.5,1990-12-01,3.0,RMSE,0.025581308522863798
0.5,1990-12-01,3.0,R-Squared,-4.149466998979694
0.5,1990-12-01,4.0,RMSE,0.02337469471227102
0.5,1990-12-01,4.0,R-Squared,-3.287273548314621
0.5,1990-12-01,5.0,RMSE,0.02095955299030233
0.5,1990-12-01,5.0,R-Squared,-2.216840618591941
1.0,1990-12-01,0.5,RMSE,0.008093230421410923
1.0,1990-12-01,0.5,R-Squared,-22.879562145197063
1.0,1990-12-01,1.0,RMSE,0.015470589938337944
1.0,1990-12-01,1.0,R-Squared,-3.174041633331816
1.0,1990-12-01,2.0,RMSE,0.02407213954567382
1.0,1990-12-01,2.0,R-Squared,-3.5266390519565434
1.0,1990-12-01,3.0,RMSE,0.0267966910483695
1.0,1990-12-01,3.0,R-Squared,-4.511706608370109
1.0,1990-12-01,4.0,RMSE,0.02427460303963237
1.0,1990-12-01,4.0,R-Squared,-2.9746080229351453
1.0,1990-12-01,5.0,RMSE,0.021843833786802727
1.0,1990-12-01,5.0,R-Squared,-2.1832202699128977
2.0,1990-12-01,0.5,RMSE,0.005518618935344651
2.0,1990-12-01,0.5,R-Squared,-12.050018726947052
2.0,1990-12-01,1.0,RMSE,0.013409634505910787
2.0,1990-12-01,1.0,R-Squared,-2.189509466208191
2.0,1990-12-01,2.0,RMSE,0.02053770489905312
2.0,1990-12-01,2.0,R-Squared,-2.8743756222286434
2.0,1990-12-01,3.0,RMSE,0.024119295617041098
2.0,1990-12-01,3.0,R-Squared,-3.4787488753934923
2.0,1990-12-01,4.0,RMSE,0.021847576159934434
2.0,1990-12-01,4.0,R-Squared,-2.334636704340927
2.0,1990-12-01,5.0,RMSE,0.019867804816691547
2.0,1990-12-01,5.0,R-Squared,-1.9993516550747805
3.0,1990-12-01,0.5,RMSE,0.0049088884513233755
3.0,1990-12-01,0.5,R-Squared,-20.819639712339836
3.0,1990-12-01,1.0,RMSE,0.012372556539045523
3.0,1990-12-01,1.0,R-Squared,-2.0995338236001926
3.0,1990-12-01,2.0,RMSE,0.0186215257763357
3.0,1990-12-01,2.0,R-Squared,-2.8097432592662455
3.0,1990-12-01,3.0,RMSE,0.022531557746455478
3.0,1990-12-01,3.0,R-Squared,-3.2112812382964186
3.0,1990-12-01,4.0,RMSE,0.02045345051337445
3.0,1990-12-01,4.0,R-Squared,-2.28861901785411
3.0,1990-12-01,5.0,RMSE,0.018765932947221745
3.0,1990-12-01,5.0,R-Squared,-2.100600317006342
4.0,1990-12-01,0.5,RMSE,0.0033516288672803375
4.0,1990-12-01,0.5,R-Squared,-15.039526524260417
4.0,1990-12-01,1.0,RMSE,0.010423213528910206
4.0,1990-12-01,1.0,R-Squared,-1.511968892239413
4.0,1990-12-01,2.0,RMSE,0.015624480352866617
4.0,1990-12-01,2.0,R-Squared,-2.2563118974946264
4.0,1990-12-01,3.0,RMSE,0.019854695266284448
4.0,1990-12-01,3.0,R-Squared,-2.4864220492852116
4.0,1990-12-01,4.0,RMSE,0.018062398910088213
4.0,1990-12-01,4.0,R-Squared,-1.8667440005599145
4.0,1990-12-01,5.0,RMSE,0.016751185386615915
4.0,1990-12-01,5.0,R-Squared,-1.8011574915224906
5.0,1990-12-01,0.5,RMSE,0.0014235362274982793
5.0,1990-12-01,0.5,R-Squared,-0.7007400500297651
5.0,1990-12-01,1.0,RMSE,0.008098230113283039
5.0,1990-12-01,1.0,R-Squared,-0.7272746270071271
5.0,1990-12-01,2.0,RMSE,0.012060350717334236
5.0,1990-12-01,2.0,R-Squared,-1.3944767828940332
5.0,1990-12-01,3.0,RMSE,0.016627829437783938
5.0,1990-12-01,3.0,R-Squared,-1.570404249632551
5.0,1990-12-01,4.0,RMSE,0.01518096377129751
5.0,1990-12-01,4.0,R-Squared,-1.23667993561464
5.0,1990-12-01,5.0,RMSE,0.014293814018612272
5.0,1990-12-01,5.0,R-Squared,-1.226566111916616
6.0,1990-12-01,0.5,RMSE,0.0013702726775164883
6.0,1990-12-01,0.5,R-Squared,-0.7945162456676569
6.0,1990-12-01,1.0,RMSE,0.007381869559150414
6.0,1990-12-01,1.0,R-Squared,-0.6464845622168929
6.0,1990-12-01,2.0,RMSE,0.011014159844507121
6.0,1990-12-01,2.0,R-Squared,-1.2694416516937492
