Maturity (Years),Execution Date,Horizon (Years),Metric,Value
0.08333,1990-05-01,0.5,RMSE,
0.08333,1990-05-01,0.5,R-Squared,
0.08333,1990-05-01,1.0,RMSE,
0.08333,1990-05-01,1.0,R-Squared,
0.08333,1990-05-01,2.0,RMSE,
0.08333,1990-05-01,2.0,R-Squared,
0.08333,1990-05-01,3.0,RMSE,
0.08333,1990-05-01,3.0,R-Squared,
0.08333,1990-05-01,4.0,RMSE,
0.08333,1990-05-01,4.0,R-Squared,
0.08333,1990-05-01,5.0,RMSE,
0.08333,1990-05-01,5.0,R-Squared,
0.25,1990-05-01,0.5,RMSE,0.0031026668994910303
0.25,1990-05-01,0.5,R-Squared,-0.44805998567256866
0.25,1990-05-01,1.0,RMSE,0.010155779404201886
0.25,1990-05-01,1.0,R-Squared,-0.6629749831070906
0.25,1990-05-01,2.0,RMSE,0.019113261855224387
0.25,1990-05-01,2.0,R-Squared,-1.0057291058073323
0.25,1990-05-01,3.0,RMSE,0.0254843744501518
0.25,1990-05-01,3.0,R-Squared,-1.3793155344987507
0.25,1990-05-01,4.0,RMSE,0.02670343717084304
0.25,1990-05-01,4.0,R-Squared,-1.8280053394535747
0.25,1990-05-01,5.0,RMSE,0.024280232149105938
0.25,1990-05-01,5.0,R-Squared,-1.6539085618385307
0.5,1990-05-01,0.5,RMSE,0.003460245744565422
0.5,1990-05-01,0.5,R-Squared,-1.8067759109166004
0.5,1990-05-01,1.0,RMSE,0.0103780775089778
0.5,1990-05-01,1.0,R-Squared,-0.9073869446967588
0.5,1990-05-01,2.0,RMSE,0.01950175058426185
0.5,1990-05-01,2.0,R-Squared,-1.1426515863365756
0.5,1990-05-01,3.0,RMSE,0.02578679485137385
0.5,1990-05-01,3.0,R-Squared,-1.51591337170743
0.5,1990-05-01,4.0,RMSE,0.02684051450774235
0.5,1990-05-01,4.0,R-Squared,-1.974794771059424
0.5,1990-05-01,5.0,RMSE,0.024263633031713732
0.5,1990-05-01,5.0,R-Squared,-1.6661425643231151
1.0,1990-05-01,0.5,RMSE,0.004192102579856166
1.0,1990-05-01,0.5,R-Squared,-2.103533514126703
1.0,1990-05-01,1.0,RMSE,0.010462815565655977
1.0,1990-05-01,1.0,R-Squared,-1.1968988090089034
1.0,1990-05-01,2.0,RMSE,0.019730337491443525
1.0,1990-05-01,2.0,R-Squared,-1.2579559369702435
1.0,1990-05-01,3.0,RMSE,0.0261631180014287
1.0,1990-05-01,3.0,R-Squared,-1.6288602864885173
1.0,1990-05-01,4.0,RMSE,0.027062800432672333
1.0,1990-05-01,4.0,R-Squared,-2.0856284961599867
1.0,1990-05-01,5.0,RMSE,0.024390603640876373
1.0,1990-05-01,5.0,R-Squared,-1.6087171263604718
2.0,1990-05-01,0.5,RMSE,0.0038615668758393068
2.0,1990-05-01,0.5,R-Squared,-2.1672957417649723
2.0,1990-05-01,1.0,RMSE,0.007930864363697937
2.0,1990-05-01,1.0,R-Squared,-1.3097860337873448
2.0,1990-05-01,2.0,RMSE,0.015672450207717598
2.0,1990-05-01,2.0,R-Squared,-1.108785261206017
2.0,1990-05-01,3.0,RMSE,0.02215975034184736
2.0,1990-05-01,3.0,R-Squared,-1.3539402951082211
2.0,1990-05-01,4.0,RMSE,0.023512733666457966
2.0,1990-05-01,4.0,R-Squared,-1.7209185470863773
2.0,1990-05-01,5.0,RMSE,0.021203227912788145
2.0,1990-05-01,5.0,R-Squared,-1.3258640209571726
3.0,1990-05-01,0.5,RMSE,0.0037421135276604796
3.0,1990-05-01,0.5,R-Squared,-2.7283225125458825
3.0,1990-05-01,1.0,RMSE,0.007076100745831607
3.0,1990-05-01,1.0,R-Squared,-1.5007741563817731
3.0,1990-05-01,2.0,RMSE,0.01370782657657237
3.0,1990-05-01,2.0,R-Squared,-1.0721134127785694
3.0,1990-05-01,3.0,RMSE,0.01975900412893579
3.0,1990-05-01,3.0,R-Squared,-1.2587442523044388
3.0,1990-05-01,4.0,RMSE,0.02142771643161465
3.0,1990-05-01,4.0,R-Squared,-1.5792172574977972
3.0,1990-05-01,5.0,RMSE,0.019336581458885206
3.0,1990-05-01,5.0,R-Squared,-1.263714034523169
4.0,1990-05-01,0.5,RMSE,0.003046757442930125
4.0,1990-05-01,0.5,R-Squared,-1.8196704009710207
4.0,1990-05-01,1.0,RMSE,0.00555507445415589
4.0,1990-05-01,1.0,R-Squared,-1.1804707745158516
4.0,1990-05-01,2.0,RMSE,0.0109974475803875
4.0,1990-05-01,2.0,R-Squared,-0.7744664279079723
4.0,1990-05-01,3.0,RMSE,0.01654851997021196
4.0,1990-05-01,3.0,R-Squared,-0.9471904072982007
4.0,1990-05-01,4.0,RMSE,0.018522891924414597
4.0,1990-05-01,4.0,R-Squared,-1.2019259920728445
4.0,1990-05-01,5.0,RMSE,0.01673295989928425
4.0,1990-05-01,5.0,R-Squared,-0.9881991000483734
5.0,1990-05-01,0.5,RMSE,0.0022832752652381804
5.0,1990-05-01,0.5,R-Squared,-0.5544954505486859
5.0,1990-05-01,1.0,RMSE,0.0037964271897668583
5.0,1990-05-01,1.0,R-Squared,-0.47320424056806676
5.0,1990-05-01,2.0,RMSE,0.007969007022740341
5.0,1990-05-01,2.0,R-Squared,-0.2908324609596824
5.0,1990-05-01,3.0,RMSE,0.01294932215665541
5.0,1990-05-01,3.0,R-Squared,-0.495097069269415
5.0,1990-05-01,4.0,RMSE,0.015245870549278284
5.0,1990-05-01,4.0,R-Squared,-0.6995482752890139
5.0,1990-05-01,5.0,RMSE,0.013811924111323908
