execution_date,indicator,metric,model,target_col,value
1956-04-01,const,coefficient,AR_1,0.25 years,0.046729750715382656
1956-04-01,const,p_value,AR_1,0.25 years,0.62896134948043
1956-04-01,0.25 years,coefficient,AR_1,0.25 years,0.9776534341114315
1956-04-01,0.25 years,p_value,AR_1,0.25 years,1.4665437031936394e-17
1956-04-01,model,adjusted_r_squared,AR_1,0.25 years,0.8894663409634538
1956-04-01,model,n_obs,AR_1,0.25 years,35.0
1956-06-01,const,coefficient,AR_1,0.25 years,0.05551703491916171
1956-06-01,const,p_value,AR_1,0.25 years,0.5348595290901824
1956-06-01,0.25 years,coefficient,AR_1,0.25 years,0.970633106932226
1956-06-01,0.25 years,p_value,AR_1,0.25 years,1.1192810202632017e-19
1956-06-01,model,adjusted_r_squared,AR_1,0.25 years,0.904922456723621
1956-06-01,model,n_obs,AR_1,0.25 years,37.0
1956-05-01,const,coefficient,AR_1,0.25 years,0.044343021274524164
1956-05-01,const,p_value,AR_1,0.25 years,0.6317712816088212
1956-05-01,0.25 years,coefficient,AR_1,0.25 years,0.9795659756527119
1956-05-01,0.25 years,p_value,AR_1,0.25 years,9.580073324373666e-19
1956-05-01,model,adjusted_r_squared,AR_1,0.25 years,0.8994383379328729
1956-05-01,model,n_obs,AR_1,0.25 years,36.0
1956-07-01,const,coefficient,AR_1,0.25 years,0.06826868912579567
1956-07-01,const,p_value,AR_1,0.25 years,0.4370633457335613
1956-07-01,0.25 years,coefficient,AR_1,0.25 years,0.9600619250526108
1956-07-01,0.25 years,p_value,AR_1,0.25 years,2.4547049520718825e-20
1956-07-01,model,adjusted_r_squared,AR_1,0.25 years,0.9066284126748605
1956-07-01,model,n_obs,AR_1,0.25 years,38.0
1956-08-01,const,coefficient,AR_1,0.25 years,0.051405101621053106
1956-08-01,const,p_value,AR_1,0.25 years,0.5635268370451052
1956-08-01,0.25 years,coefficient,AR_1,0.25 years,0.9753613767403393
1956-08-01,0.25 years,p_value,AR_1,0.25 years,8.025241683439675e-21
1956-08-01,model,adjusted_r_squared,AR_1,0.25 years,0.9062188581970021
1956-08-01,model,n_obs,AR_1,0.25 years,39.0
1956-09-01,const,coefficient,AR_1,0.25 years,0.031187749236578216
1956-09-01,const,p_value,AR_1,0.25 years,0.7233366969097115
1956-09-01,0.25 years,coefficient,AR_1,0.25 years,0.9914156713135202
1956-09-01,0.25 years,p_value,AR_1,0.25 years,9.4402338647282e-22
1956-09-01,model,adjusted_r_squared,AR_1,0.25 years,0.9107516489844265
1956-09-01,model,n_obs,AR_1,0.25 years,40.0
1956-10-01,const,coefficient,AR_1,0.25 years,0.026121701510127465
1956-10-01,const,p_value,AR_1,0.25 years,0.7582189906429498
1956-10-01,0.25 years,coefficient,AR_1,0.25 years,0.9951995683551089
1956-10-01,0.25 years,p_value,AR_1,0.25 years,5.0978185089468987e-23
1956-10-01,model,adjusted_r_squared,AR_1,0.25 years,0.9181773839860538
1956-10-01,model,n_obs,AR_1,0.25 years,41.0
1956-11-01,const,coefficient,AR_1,0.25 years,0.019047271458709603
1956-11-01,const,p_value,AR_1,0.25 years,0.8161891200759911
1956-11-01,0.25 years,coefficient,AR_1,0.25 years,1.0004177397179426
1956-11-01,0.25 years,p_value,AR_1,0.25 years,2.5992252121264694e-24
1956-11-01,model,adjusted_r_squared,AR_1,0.25 years,0.9248774084657359
