execution_date,mse,r_squared,rmse,maturity
1956-04-01,0.809648487079645,-0.2914741313166962,0.8998046938528632,0.25 years
1956-05-01,0.7615765791265107,-0.20817863807153247,0.872683550392988,0.25 years
1956-06-01,1.0086800804151723,-0.5953579398358861,1.0043306628870654,0.25 years
1956-07-01,1.3403809300522915,-1.116151854153781,1.1577482153094825,0.25 years
1956-08-01,0.804958767325323,-0.26708296673472876,0.8971949438808285,0.25 years
1956-09-01,0.7294105125984434,-0.14154928196835392,0.8540553334523726,0.25 years
1956-10-01,0.9501705201467331,-0.48021140398959594,0.9747669055454915,0.25 years
1956-11-01,1.5991834968097618,-1.4910538438045382,1.2645882716559418,0.25 years
1956-12-01,7.267553858693515,-10.38418581148247,2.6958401025827765,0.25 years
1957-01-01,2.5552211122667696,-3.0184936077538973,1.5985058999787176,0.25 years
1957-02-01,2.08684790594589,-2.2947507589307996,1.4445926436009184,0.25 years
1957-03-01,1.6748976449234574,-1.6538858285431495,1.2941783667344533,0.25 years
1957-04-01,1.4745886179833396,-1.3447605047809454,1.214326405042458,0.25 years
1957-05-01,1.3285480878758924,-1.1199423552011187,1.1526266038383344,0.25 years
1957-06-01,3.6982611820122733,-4.951159336636253,1.9230863688384547,0.25 years
1957-07-01,1.7092649744372481,-1.7649713635333222,1.3073886088065967,0.25 years
1957-08-01,4.097094979268963,-5.711140199603365,2.0241282022809135,0.25 years
1957-09-01,7.767168632628492,-11.985174395718776,2.786964052984626,0.25 years
1957-10-01,8.377992040067863,-13.348221743357744,2.894476125323521,0.25 years
1957-11-01,2.1648742561862515,-2.750269567975759,1.4713511668484351,0.25 years
1957-12-01,0.8643186268288444,-0.5008476810885778,0.9296873812356734,0.25 years
1958-01-01,0.6677067824780493,-0.15797098103335583,0.8171332709405787,0.25 years
1958-02-01,1.5732325795685367,-1.8270619701055657,1.2542856849890844,0.25 years
1958-03-01,2.0833857718044824,-2.9638187390765918,1.4433938380790194,0.25 years
1958-04-01,2.636136387611235,-4.439040089926384,1.623618301082873,0.25 years
1958-05-01,3.641359290548439,-7.469907931872143,1.9082346005007977,0.25 years
1958-06-01,4.188490426838619,-10.395974583515372,2.046580178453466,0.25 years
1958-07-01,3.8154418937331562,-11.284633141664358,1.9533156154941158,0.25 years
1958-08-01,1.5151154021914297,-4.168525685530012,1.230900240552186,0.25 years
1958-09-01,0.7220562154534725,-1.4540085066356085,0.8497389101679836,0.25 years
1958-10-01,0.5900920670161199,-0.9731304545275827,0.7681745029718963,0.25 years
1958-11-01,0.5735047133390753,-0.8851556199524913,0.7573009397452741,0.25 years
1958-12-01,0.5149430060618202,-0.6618911041624871,0.7175952940633182,0.25 years
1959-01-01,0.49136336969686156,-0.5588231911963786,0.7009731590416722,0.25 years
1959-02-01,0.5894561907055528,-0.8328046374906362,0.7677605034811004,0.25 years
1959-03-01,0.5303549125444714,-0.6245433265060505,0.7282547030706162,0.25 years
1959-04-01,0.44460646871340637,-0.3454119237458546,0.6667881737954013,0.25 years
1959-05-01,0.5185753465453323,-0.5509724383601262,0.7201217581390889,0.25 years
1959-06-01,0.3543960540776882,-0.0500593575900623,0.5953117284899468,0.25 years
1959-07-01,0.3629855820374228,-0.06546362826359853,0.6024828479196921,0.25 years
1959-08-01,0.3580159242656513,-0.045288065395030275,0.5983443191554937,0.25 years
1959-09-01,1.5615292698115821,-3.7431358931153893,1.2496116475975976,0.25 years
1959-10-01,1.6114033846788476,-4.108414970087159,1.2694106446216873,0.25 years
1959-11-01,2.2296570625830054,-6.314811860948008,1.4932036239518727,0.25 years
1959-12-01,6.5697653209251365,-22.624575145833916,2.5631553446728774,0.25 years
1960-01-01,3.7673026631131417,-13.516892880962958,1.9409540600212931,0.25 years
1960-02-01,1.1381313913103979,-3.3683296082406056,1.0668324101330995,0.25 years
1960-03-01,0.3980044149646205,-0.45057029404361004,0.6308759109084928,0.25 years
1960-04-01,0.4094183244124651,-0.42073140128995457,0.6398580502052507,0.25 years
1960-05-01,0.43649119310854684,-0.4552994335671843,0.6606748013270575,0.25 years
1960-06-01,0.648393754627428,-1.1151254224612277,0.8052290075670573,0.25 years
1960-07-01,0.7675274367129976,-1.4860968650267634,0.8760864322160214,0.25 years
1960-08-01,0.8088259722103347,-1.5919561746918567,0.8993475258265488,0.25 years
1960-09-01,0.7512994800989401,-1.336065656314938,0.8667753342700403,0.25 years
1960-10-01,0.9039461549135495,-1.7659628253062412,0.950760829501063,0.25 years
1960-11-01,0.9115964946557519,-1.7260805652547884,0.9547756252941064,0.25 years
1960-12-01,1.071608685721237,-2.057142712255839,1.0351853388264525,0.25 years
1961-01-01,1.1701750315992663,-2.164014132102886,1.0817462879988387,0.25 years
1961-02-01,1.1242368173586395,-1.8682089839931764,1.0603003429965678,0.25 years
1961-03-01,1.2213125507757072,-2.013391605560659,1.1051301058136582,0.25 years
