horizon,mse,r_squared,rmse,maturity
1,0.19562149692391023,0.979707958791521,0.44229119019477453,0.25 years
2,0.4583523228199719,0.9524938539650728,0.6770172249064066,0.25 years
3,0.7257997229441899,0.9248322290269392,0.8519388023468528,0.25 years
4,0.9880869092036807,0.8977383848578192,0.9940256079214864,0.25 years
5,1.2312360034325376,0.8726785631439936,1.109610744104678,0.25 years
6,1.4815398502952914,0.846935892375198,1.2171852161011862,0.25 years
7,1.6821943447157952,0.8263695160546854,1.2969943503021881,0.25 years
8,1.8343219894314224,0.8108523448330336,1.354371437025834,0.25 years
9,2.03739045923816,0.7901327712856974,1.4273718713909702,0.25 years
10,2.2929644613559756,0.764047103834086,1.5142537638572922,0.25 years
11,2.5859483890355452,0.7341685093374799,1.6080884269950908,0.25 years
12,2.917652641548436,0.7003728843521472,1.7081137671561681,0.25 years
13,3.1953588245602704,0.6721847758931402,1.7875566633145563,0.25 years
14,3.4554205611230473,0.6458613123424305,1.8588761554022493,0.25 years
15,3.772536534946519,0.6137766895455969,1.9423018650422286,0.25 years
16,4.043129450986023,0.5865042682887913,2.010753453555662,0.25 years
17,4.320327254228048,0.5586404448583822,2.078539692723728,0.25 years
18,4.629660749960732,0.5275771542657379,2.1516646462589684,0.25 years
19,4.984731405800691,0.49192914679677247,2.23265120558512,0.25 years
20,5.363414664131857,0.4539258744840047,2.315904718275745,0.25 years
21,5.650712223950951,0.42525381678750174,2.3771226775139205,0.25 years
22,5.845066222580456,0.4059375912373818,2.417657176396285,0.25 years
23,6.018338399655264,0.38845660318439557,2.4532301970372172,0.25 years
24,6.175816969842752,0.3724782469657212,2.485119105765909,0.25 years
25,6.3383934023634785,0.3558935805019815,2.5176166114727394,0.25 years
26,6.511704937455115,0.33808806920095247,2.5518042513984325,0.25 years
27,6.659325539279677,0.32283293401011437,2.580566902693995,0.25 years
28,6.883568850427375,0.2998188344661846,2.623655627255104,0.25 years
29,7.166916543076463,0.2712219930432027,2.6771097368386796,0.25 years
30,7.43452597238936,0.2445789072240092,2.726632716811958,0.25 years
31,7.671847083278432,0.2211222713794615,2.769809936309427,0.25 years
32,7.856522056469299,0.20306069284209405,2.802948814457606,0.25 years
33,8.051588652026895,0.18401320485332973,2.8375321411442895,0.25 years
34,8.206933037468467,0.16904049810633626,2.8647745177358144,0.25 years
35,8.33205210370787,0.1571115505926155,2.8865294219369857,0.25 years
36,8.431812591545775,0.14780393482409726,2.903758356259311,0.25 years
37,8.519377617649488,0.13979705984560364,2.9187972895782757,0.25 years
38,8.632894014654605,0.12915226652571843,2.9381786900484124,0.25 years
39,8.726771941619125,0.12062434628103613,2.954111023915507,0.25 years
40,8.816132059763722,0.1125686199168715,2.9691972079610545,0.25 years
41,8.885483479005723,0.10659080076952199,2.980852810691216,0.25 years
42,8.972380891487775,0.09897614519591469,2.9953932782671084,0.25 years
43,9.069605819105167,0.09034832140488624,3.011578625755132,0.25 years
44,9.1818582211488,0.08024738746509763,3.030158118176146,0.25 years
45,9.3025142440338,0.06934339178597682,3.050002335086614,0.25 years
46,9.420460198624182,0.05874029786625257,3.0692768201360043,0.25 years
47,9.536202497980234,0.04836048633183598,3.0880742377702375,0.25 years
48,9.605049632806898,0.04255632125300901,3.0992014508267927,0.25 years
49,9.668953092468607,0.03723671701780429,3.1094940251540293,0.25 years
50,9.710056549595814,0.03421612546992947,3.1160963639778236,0.25 years
51,9.721328208559498,0.03384840348785012,3.1179044578946766,0.25 years
52,9.757577273236123,0.03091991150594542,3.123712098327265,0.25 years
53,9.801375292791148,0.027246550009303983,3.1307148213772438,0.25 years
54,9.875881695211348,0.02062565366659541,3.1425915571724157,0.25 years
55,10.020870838676878,0.006937678027165939,3.1655759094794864,0.25 years
56,10.205748760750264,-0.010642911201650174,3.19464376116497,0.25 years
57,10.39620444348431,-0.02881703466177643,3.224314569561151,0.25 years
58,10.558650871740745,-0.04420278139860945,3.2494077724626598,0.25 years
59,10.698400334243605,-0.05722105801876576,3.2708409215740843,0.25 years
60,10.881989763547917,-0.0745650056685323,3.298786104546325,0.25 years
1,0.05991397447929064,0.9912705649929461,0.24477331243272957,0.5 years
2,0.15982816981962258,0.9765717837717737,0.3997851545763331,0.5 years
3,0.2903292121292791,0.9570768725355041,0.5388220598020084,0.5 years
4,0.44254822603149985,0.9340614807358238,0.6652429826999303,0.5 years
5,0.617346985010401,0.9074426025855198,0.7857143151364884,0.5 years
6,0.8035991143810993,0.8790900504384884,0.8964368992746223,0.5 years
7,1.0025973981709158,0.848718206423246,1.0012978568692315,0.5 years
