Model,Method,Horizon,MSE,R²,RMSE,Timestamp
AR(1) + Inflation (UCSV),Expanding Window,6,1.0956767155338527,0.8627380737766142,1.0467457740702146,2025-06-19_16-57-26
AR(1) + Inflation (UCSV),Expanding Window,12,3.005593342448784,0.606833720332309,1.7336647145422277,2025-06-19_16-57-26
AR(1) + Inflation (UCSV),Expanding Window,24,6.983146040820249,0.054736761166069736,2.6425642926559516,2025-06-19_16-57-26
AR(1) + Inflation (UCSV),Expanding Window,36,8.892542312441046,-0.1811295665541166,2.9820366048123965,2025-06-19_16-57-27
AR(1) + Inflation (UCSV),Expanding Window,48,9.388075696228832,-0.21457287049665386,3.0639966867196238,2025-06-19_16-57-27
AR(1) + Inflation (UCSV),Expanding Window,60,10.083667016409136,-0.3063108169310962,3.1754790215665314,2025-06-19_16-57-27
AR(1) + Output Gap (HP Filter) + Inflation (UCSV),Expanding Window,6,0.967274492256379,0.8788237824975884,0.9835011399364919,2025-06-19_18-23-44
AR(1) + Output Gap (HP Filter) + Inflation (UCSV),Expanding Window,12,2.6111129947144422,0.6584363002722701,1.6158938686418864,2025-06-19_18-23-45
AR(1) + Output Gap (HP Filter) + Inflation (UCSV),Expanding Window,24,6.2097301830501515,0.1594290552134402,2.491933021381223,2025-06-19_18-23-45
AR(1) + Output Gap (HP Filter) + Inflation (UCSV),Expanding Window,36,8.487826767956712,-0.12737424227910887,2.9133875073454805,2025-06-19_18-23-45
AR(1) + Output Gap (HP Filter) + Inflation (UCSV),Expanding Window,48,9.924026402264907,-0.2839109551625487,3.150242276756648,2025-06-19_18-23-45
AR(1) + Output Gap (HP Filter) + Inflation (UCSV),Expanding Window,60,11.207209793860285,-0.4518626366293135,3.3477171018263006,2025-06-19_18-23-46
